START-OF-LOG: 3.0
CONTEST: CQ-WPX-RTTY
LOCATION: DX
CALLSIGN: DL3FCG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 3072
OPERATORS: DL3FCG
CLUB: Rhein Ruhr DX Association
NAME: Michael Moog
SOAPBOX: Only some QSOs on Sunday afternoon for the club competition.
QSO:  7051 RY 2014-02-09 1418 DL3FCG        599 0001   PD0ROC        599 198
QSO:  7050 RY 2014-02-09 1420 DL3FCG        599 0002   SP5UUD        599 309
QSO:  7050 RY 2014-02-09 1421 DL3FCG        599 0003   OK2UHP        599 353
QSO:  7049 RY 2014-02-09 1423 DL3FCG        599 0004   IV3AZV        599 271
QSO:  7048 RY 2014-02-09 1425 DL3FCG        599 0005   DK0KC         599 685
QSO:  7047 RY 2014-02-09 1426 DL3FCG        599 0006   DL2JAA        599 103
QSO:  7047 RY 2014-02-09 1428 DL3FCG        599 0007   IK3RET        599 024
QSO: 28131 RY 2014-02-09 1433 DL3FCG        599 0008   ZZ2T          599 1090
QSO: 28129 RY 2014-02-09 1443 DL3FCG        599 0009   VO2DX/9       599 415
QSO: 28123 RY 2014-02-09 1454 DL3FCG        599 0010   AA4V          599 105
QSO: 28120 RY 2014-02-09 1458 DL3FCG        599 0011   K3WW          599 875
QSO: 28117 RY 2014-02-09 1502 DL3FCG        599 0012   EF8S          599 1530
QSO: 28116 RY 2014-02-09 1504 DL3FCG        599 0013   AB0RX         599 1781
QSO: 28116 RY 2014-02-09 1509 DL3FCG        599 0014   J38XX         599 138
QSO: 28113 RY 2014-02-09 1515 DL3FCG        599 0015   KK9A          599 2000
QSO: 28126 RY 2014-02-09 1522 DL3FCG        599 0016   PJ2T          599 1368
QSO: 28138 RY 2014-02-09 1523 DL3FCG        599 0017   W4PK          599 1630
QSO: 28126 RY 2014-02-09 1525 DL3FCG        599 0018   N2BJ          599 1013
QSO: 28123 RY 2014-02-09 1527 DL3FCG        599 0019   KZ2R          599 455
QSO: 28091 RY 2014-02-09 1544 DL3FCG        599 0020   XE1H          599 336
QSO: 28091 RY 2014-02-09 1558 DL3FCG        599 0021   ZV2K          599 2041
QSO: 28090 RY 2014-02-09 1600 DL3FCG        599 0022   K4GMH         599 2479
QSO: 28077 RY 2014-02-09 1610 DL3FCG        599 0023   N3XL          599 318
QSO: 28074 RY 2014-02-09 1624 DL3FCG        599 0024   NR5M          599 1594
QSO: 14084 RY 2014-02-09 1744 DL3FCG        599 0025   W1AW/KH6      599 729
QSO: 14130 RY 2014-02-09 1759 DL3FCG        599 0026   N8BJQ         599 1107
QSO: 14127 RY 2014-02-09 1801 DL3FCG        599 0027   LN5O          599 647
QSO: 14121 RY 2014-02-09 1845 DL3FCG        599 0028   N2WQ/VE3      599 981
QSO: 14115 RY 2014-02-09 1848 DL3FCG        599 0029   LX7I          599 971
QSO: 14102 RY 2014-02-09 1853 DL3FCG        599 0030   ZZ80PE        599 483
QSO:  7067 RY 2014-02-09 2210 DL3FCG        599 0031   HK1T          599 1336
QSO:  7063 RY 2014-02-09 2213 DL3FCG        599 0032   DJ8OG         599 1858
END-OF-LOG:
