START-OF-LOG: 3.0
CALLSIGN: IS0FEZ
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 146060
NAME: MARIO CUCCU - IS0FEZ -
LOCATION: DX
OPERATORS: IS0FEZ IW0URG IS0GOI IS0QQA IS0SEU IS0HNS IS0DXX IS0FEV IS0GOH IS0DZU IS0ANZ
CLUB: Sez. ERA Prov. Cagliari
CERTIFICATE: NO
CREATED-BY: QARTest 6.8.1
SOAPBOX: Ci siamo divertiti.
SOAPBOX: Al prossimo Contest
QSO:  7000 PH 2016-10-29 0000 IS0FEZ        59  15     R4RH          59  16     0
QSO:  7000 PH 2016-10-29 0003 IS0FEZ        59  15     RA9J          59  16     0
QSO:  7000 PH 2016-10-29 0007 IS0FEZ        59  15     OM8A          59  15     0
QSO:  7000 PH 2016-10-29 0011 IS0FEZ        59  15     OH5NQ         59  15     0
QSO:  7000 PH 2016-10-29 0014 IS0FEZ        59  15     S57AL         59  15     0
QSO:  7000 PH 2016-10-29 0018 IS0FEZ        59  15     IW2HAJ        59  15     0
QSO:  7000 PH 2016-10-29 0024 IS0FEZ        59  15     HA8A          59  15     0
QSO:  7000 PH 2016-10-29 0026 IS0FEZ        59  15     HA8FM         59  15     0
QSO:  7000 PH 2016-10-29 0032 IS0FEZ        59  15     HG1S          59  15     0
QSO:  7000 PH 2016-10-29 0036 IS0FEZ        59  15     EA9LZ         59  33     0
QSO:  7000 PH 2016-10-29 0037 IS0FEZ        59  15     SJ0X          59  14     0
QSO:  7000 PH 2016-10-29 0039 IS0FEZ        59  15     SN8B          59  15     0
QSO:  7000 PH 2016-10-29 0043 IS0FEZ        59  15     IY1A          59  15     0
QSO:  7000 PH 2016-10-29 0048 IS0FEZ        59  15     CR3A          59  33     0
QSO:  7000 PH 2016-10-29 0052 IS0FEZ        59  15     UP2L          59  17     0
QSO:  7000 PH 2016-10-29 0054 IS0FEZ        59  15     HB9PUE        59  14     0
QSO: 14000 PH 2016-10-29 0113 IS0FEZ        59  15     TM4L          59  14     0
QSO:  7000 PH 2016-10-29 0132 IS0FEZ        59  15     RA4M          59  16     0
QSO:  7000 PH 2016-10-29 0133 IS0FEZ        59  15     RT4F          59  16     0
QSO:  7000 PH 2016-10-29 0135 IS0FEZ        59  15     IB3A          59  15     0
