START-OF-LOG: 3.0
CALLSIGN: PA3DTR
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 30720
NAME: Jaap Verheul
LOCATION: DX
CLUB: VERENIGING VAN RADIO ZEND AMATEURS
CERTIFICATE: NO
CREATED-BY: LM Version 4.10 (c) 1992, 2013 by DL8WAA
SOAPBOX: Nice to make this much QSO's although 10 wasn't open good.
QSO:  7000 PH 2016-10-29 0633 PA3DTR        59  14     HG7T          59  15     0
QSO:  7000 PH 2016-10-29 0634 PA3DTR        59  14     S56X          59  15     0
QSO:  7000 PH 2016-10-29 0635 PA3DTR        59  14     UA2F          59  15     0
QSO:  7000 PH 2016-10-29 0637 PA3DTR        59  14     9A7A          59  15     0
QSO:  7000 PH 2016-10-29 0641 PA3DTR        59  14     E7DX          59  15     0
QSO:  7000 PH 2016-10-29 0642 PA3DTR        59  14     SN8D          59  9      0
QSO:  7000 PH 2016-10-29 0644 PA3DTR        59  14     9A1P          59  15     0
QSO:  7000 PH 2016-10-29 0648 PA3DTR        59  14     LZ9W          59  20     0
QSO:  7000 PH 2016-10-29 0649 PA3DTR        59  14     CN2R          59  33     0
QSO:  7000 PH 2016-10-29 0650 PA3DTR        59  14     9A1A          59  9      0
QSO:  7000 PH 2016-10-29 0651 PA3DTR        59  14     IO2X          59  15     0
QSO:  7000 PH 2016-10-29 0652 PA3DTR        59  14     SP4PBI        59  15     0
QSO:  7000 PH 2016-10-29 0702 PA3DTR        59  14     OK7W          59  15     0
QSO:  7000 PH 2016-10-29 0707 PA3DTR        59  14     SN3A          59  15     0
QSO:  7000 PH 2016-10-29 0711 PA3DTR        59  14     US1I          59  16     0
QSO:  7000 PH 2016-10-29 0712 PA3DTR        59  14     K2LR          59  05     0
QSO:  7000 PH 2016-10-29 0714 PA3DTR        59  14     WE3C          59  05     0
QSO:  7000 PH 2016-10-29 0715 PA3DTR        59  14     SP5C          59  15     0
QSO:  7000 PH 2016-10-29 0719 PA3DTR        59  14     IK2YCW        59  15     0
QSO:  7000 PH 2016-10-29 0720 PA3DTR        59  14     SP9KAO        59  15     0
QSO:  7000 PH 2016-10-29 0723 PA3DTR        59  14     HB9OK         59  14     0
QSO:  7000 PH 2016-10-29 0724 PA3DTR        59  14     DM5TI         59  14     0
QSO:  7000 PH 2016-10-29 0725 PA3DTR        59  14     YP7P          59  20     0
QSO:  7000 PH 2016-10-29 0726 PA3DTR        59  14     YO9HP         59  20     0
QSO:  7000 PH 2016-10-29 0728 PA3DTR        59  14     OM7M          59  15     0
QSO:  7000 PH 2016-10-29 0729 PA3DTR        59  14     OK4K          59  15     0
QSO:  7000 PH 2016-10-29 0733 PA3DTR        59  14     E79D          59  15     0
QSO:  7000 PH 2016-10-29 0736 PA3DTR        59  14     YT5A          59  15     0
QSO:  7000 PH 2016-10-29 0738 PA3DTR        59  14     IK3UNA        59  15     0
QSO:  7000 PH 2016-10-29 0738 PA3DTR        59  14     YT0A          59  15     0
QSO:  7000 PH 2016-10-29 0740 PA3DTR        59  14     S51A          59  15     0
QSO:  7000 PH 2016-10-29 0741 PA3DTR        59  14     RU1A          59  16     0
QSO:  7000 PH 2016-10-29 0747 PA3DTR        59  14     F6DZU         59  14     0
QSO:  7000 PH 2016-10-29 0754 PA3DTR        59  14     CR7P          59  14     0
