START-OF-LOG: 3.0
CALLSIGN: G5O
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: TWO
CATEGORY-OVERLAY:
CLAIMED-SCORE: 2251535
NAME: Kieron Murphy
LOCATION: DX
OPERATORS: G3SHF G0LZL G0SYP M5KJM M0DCG M0TJU M1PTR
CLUB: G5O Contest Group
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5966.0
SOAPBOX: Enjoyable contest with some good openings on the lower bands.
QSO:  3732 PH 2016-10-29 0000 G5O           59  14     UT0AZA        59  16     0
QSO:  7066 PH 2016-10-29 0001 G5O           59  14     EF1W          59  14     1
QSO:  3722 PH 2016-10-29 0001 G5O           59  14     IY1A          59  15     0
QSO:  7065 PH 2016-10-29 0001 G5O           59  14     DF0WRTC       59  14     1
QSO:  7065 PH 2016-10-29 0001 G5O           59  14     LY2SA         59  15     1
QSO:  3708 PH 2016-10-29 0002 G5O           59  14     RV3FF         59  16     0
QSO:  7066 PH 2016-10-29 0002 G5O           59  14     UR0CB         59  16     1
QSO:  3691 PH 2016-10-29 0002 G5O           59  14     LY7Z          59  15     0
QSO:  7066 PH 2016-10-29 0002 G5O           59  14     P33W          59  20     1
QSO:  7066 PH 2016-10-29 0002 G5O           59  14     US3EW         59  16     1
QSO:  3650 PH 2016-10-29 0003 G5O           59  14     HB9TOC        59  14     0
QSO:  7066 PH 2016-10-29 0003 G5O           59  14     SP5C          59  15     1
QSO:  7066 PH 2016-10-29 0004 G5O           59  14     S51DX         59  15     1
QSO:  7074 PH 2016-10-29 0006 G5O           59  14     LZ5T          59  20     1
QSO:  7078 PH 2016-10-29 0007 G5O           59  14     YM9KM         59  20     1
QSO:  7081 PH 2016-10-29 0008 G5O           59  14     S58M          59  15     1
QSO:  3715 PH 2016-10-29 0008 G5O           59  14     SO4R          59  15     0
QSO:  7082 PH 2016-10-29 0009 G5O           59  14     IR3Z          59  15     1
QSO:  7084 PH 2016-10-29 0009 G5O           59  14     OK8WW         59  15     1
QSO:  3715 PH 2016-10-29 0010 G5O           59  14     SQ6H          59  15     0
QSO:  7090 PH 2016-10-29 0012 G5O           59  14     LZ5R          59  20     1
QSO: 14237 PH 2016-10-29 0012 G5O           59  14     S57DX         59  15     0
QSO: 14257 PH 2016-10-29 0013 G5O           59  14     IB4K          59  15     0
QSO: 14277 PH 2016-10-29 0014 G5O           59  14     OH8X          59  15     0
QSO:  7115 PH 2016-10-29 0015 G5O           59  14     Z3B           59  15     1
QSO:  7129 PH 2016-10-29 0016 G5O           59  14     IR4M          59  15     1
QSO: 14230 PH 2016-10-29 0017 G5O           59  14     MD1E          59  14     0
QSO:  7151 PH 2016-10-29 0018 G5O           59  14     A73A          59  21     1
QSO:  7161 PH 2016-10-29 0019 G5O           59  14     S54K          59  15     1
QSO:  7179 PH 2016-10-29 0020 G5O           59  14     E7DX          59  15     1
QSO: 14230 PH 2016-10-29 0021 G5O           59  14     SJ2W          59  14     0
QSO:  7189 PH 2016-10-29 0023 G5O           59  14     9A1P          59  15     1
