START-OF-LOG: 3.0
CALLSIGN: N5ZY
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: Marcus Sutliff
LOCATION: OK
CLUB:
CERTIFICATE: YES
CREATED-BY:
SOAPBOX: Radio is Icom IC-9100. Antennas are double-bazookas
SOAPBOX: mounted in inverted V in my attic 16 foot above ground.
SOAPBOX: See QRZ for photos.
QSO: 	7172 	PH 	2016-10-30 	2334 	N5ZY 	59 	04 	VE2BWL	 59 	05	 0
QSO: 	7135 	PH 	2016-10-30 	2319 	N5ZY 	59 	04 	VE3DC	 59 	04	 0
QSO: 	7128 	PH 	2016-10-30 	2308 	N5ZY 	59 	04 	WX3B	 59 	05	 0
QSO: 	14340 	PH 	2016-10-30 	2253 	N5ZY 	59 	04 	PJ4Q	 59 	09	 0
QSO: 	14332 	PH 	2016-10-30 	2228 	N5ZY 	59 	04 	K3ZJ	 59 	05	 0
QSO: 	14314 	PH 	2016-10-30 	2220 	N5ZY 	59 	04 	YN5Z	 59 	07	 0
QSO: 	14222 	PH 	2016-10-30 	2218 	N5ZY 	59 	04 	NA8V	 59 	04	 0
QSO: 	14311 	PH 	2016-10-30 	2213 	N5ZY 	59 	04 	V26B	 59 	08	 0
QSO: 	14310 	PH 	2016-10-30 	2211 	N5ZY 	59 	04 	KP4PR	 59 	08	 0
QSO: 	14306 	PH 	2016-10-30 	2208 	N5ZY 	59 	04 	KP2M	 59 	08	 0
QSO: 	14304 	PH 	2016-10-30 	2204 	N5ZY 	59 	04 	NP2P	 59 	08	 0
QSO: 	14290 	PH 	2016-10-30 	2159 	N5ZY 	59 	04 	KP3Z	 59 	08	 0
QSO: 	14261 	PH 	2016-10-30 	2155 	N5ZY 	59 	04 	V47T	 59 	08	 0
QSO: 	14284 	PH 	2016-10-30 	2144 	N5ZY 	59 	04 	VY2ZM	 59 	05	 0
QSO: 	14276 	PH 	2016-10-30 	2133 	N5ZY 	59 	04 	CR5C	 59 	14	 0
QSO: 	14267 	PH 	2016-10-30 	2120 	N5ZY 	59 	04 	NP3U	 59 	08	 0
QSO: 	14248 	PH 	2016-10-30 	2100 	N5ZY 	59 	04 	VE2BWL	 59 	05	 0
QSO: 	14159 	PH 	2016-10-30 	2007 	N5ZY 	59 	04 	W1NA	 59 	05	 0
QSO: 	14205 	PH 	2016-10-30 	1957 	N5ZY 	59 	04 	K1LZ	 59 	05	 0
QSO: 	14198 	PH 	2016-10-30 	1951 	N5ZY 	59 	04 	T46A	 59 	08	 0
QSO: 	14157 	PH 	2016-10-30 	1944 	N5ZY 	59 	04 	WE3C	 59 	05	 0
QSO: 	14347 	PH 	2016-10-30 	1941 	N5ZY 	59 	04 	VE4VT	 59 	04	 0
QSO: 	14338 	PH 	2016-10-30 	1939 	N5ZY 	59 	04 	T48K	 59 	08	 0
QSO: 	14314 	PH 	2016-10-30 	1845 	N5ZY 	59 	04 	N2PP	 59 	05	 0
QSO: 	14286 	PH 	2016-10-30 	1838 	N5ZY 	59 	04 	ED8W	 59 	33	 0
QSO: 	14209 	PH 	2016-10-30 	1809 	N5ZY 	59 	04 	CN3A	 59 	33	 0
QSO: 	14179 	PH 	2016-10-30 	1753 	N5ZY 	59 	04 	AA1K	 59 	05	 0
QSO: 	14169 	PH 	2016-10-30 	1751 	N5ZY 	59 	04 	W9RE	 59 	04	 0
QSO: 	14165 	PH 	2016-10-30 	1749 	N5ZY 	59 	04 	N1UR	 59 	05	 0
QSO: 	14159 	PH 	2016-10-30 	1747 	N5ZY 	59 	04 	W4RM	 59 	05	 0
QSO: 	14152 	PH 	2016-10-30 	1744 	N5ZY 	59 	04 	KC1XX	 59 	05	 0
QSO: 	14150 	PH 	2016-10-30 	1742 	N5ZY 	59 	04 	K3LR	 59 	05	 0
QSO: 	21403 	PH 	2016-10-30 	1733 	N5ZY 	59 	04 	CR3A	 59 	33	 0
QSO: 	21375 	PH 	2016-10-30 	1728 	N5ZY 	59 	04 	EF8R	 59 	33	 0
QSO: 	21340 	PH 	2016-10-30 	1717 	N5ZY 	59 	04 	VC7R	 59 	03	 0
QSO: 	21283 	PH 	2016-10-30 	1647 	N5ZY 	59 	04 	HI3K	 59 	08	 0
QSO: 	21315 	PH 	2016-10-30 	1641 	N5ZY 	59 	04 	VE2DXY	 59 	02	 0
QSO: 	21296 	PH 	2016-10-30 	1635 	N5ZY 	59 	04 	CN2AA	 59 	33	 0
QSO: 	21270 	PH 	2016-10-30 	1623 	N5ZY 	59 	04 	VE2IM	 59 	02	 0
QSO: 	21247 	PH 	2016-10-30 	1621 	N5ZY 	59 	04 	KP2XX	 59 	08	 0
QSO: 	21244 	PH 	2016-10-30 	1619 	N5ZY 	59 	04 	ZF9CW	 59 	08	 0
QSO: 	21218 	PH 	2016-10-30 	1616 	N5ZY 	59 	04 	V3A	 59 	07	 0
QSO: 	14177 	PH 	2016-10-30 	1553 	N5ZY 	59 	04 	VE4EV	 59 	04	 0
QSO: 	14173 	PH 	2016-10-30 	1543 	N5ZY 	59 	04 	VE3VEE	 59 	04	 0
QSO: 	14175 	PH 	2016-10-30 	1522 	N5ZY 	59 	04 	VA3MLV	 59 	04	 0
QSO: 	7178 	PH 	2016-10-30 	0216 	N5ZY 	59 	04 	VC2T	 59 	05	 0
QSO: 	7190 	PH 	2016-10-30 	0214 	N5ZY 	59 	04 	VE6AO	 59 	04	 0
QSO: 	7255 	PH 	2016-10-30 	0128 	N5ZY 	59 	04 	VE4VT	 59 	04	 0
QSO: 	7218 	PH 	2016-10-30 	0126 	N5ZY 	59 	04 	VE3EJ	 59 	04	 0
QSO: 	7249 	PH 	2016-10-30 	0113 	N5ZY 	59 	04 	VE6FI	 59 	04	 0
QSO: 	7237 	PH 	2016-10-30 	0112 	N5ZY 	59 	04 	VE6WZ	 59 	04	 0
QSO: 	7229 	PH 	2016-10-30 	0111 	N5ZY 	59 	04 	VC3R	 59 	04	 0
QSO: 	7225 	PH 	2016-10-30 	0110 	N5ZY 	59 	04 	XE2CQ	 59 	06	 0
QSO: 	7204 	PH 	2016-10-30 	0106 	N5ZY 	59 	04 	VE3RA	 59 	04	 0
QSO: 	21423 	PH 	2016-10-29 	2301 	N5ZY 	59 	04 	KH6J	 59 	31	 0
QSO: 	21348 	PH 	2016-10-29 	2252 	N5ZY 	59 	04 	YN5Z	 59 	07	 0
QSO: 	21260 	PH 	2016-10-29 	2242 	N5ZY 	59 	04 	XE1KK	 59 	06	 0
QSO: 	14329 	PH 	2016-10-29 	2230 	N5ZY 	59 	04 	8P5A	 59 	08	 0
QSO: 	14317 	PH 	2016-10-29 	2205 	N5ZY 	59 	04 	HI3TEJ	 59 	08	 0
QSO: 	14306 	PH 	2016-10-29 	2155 	N5ZY 	59 	04 	XE2B	 59 	06	 0
QSO: 	14255 	PH 	2016-10-29 	2138 	N5ZY 	59 	04 	PJ2T	 59 	09	 0
QSO: 	14224 	PH 	2016-10-29 	2133 	N5ZY 	59 	04 	VC2T	 59 	05	 0
QSO: 	14202 	PH 	2016-10-29 	2126 	N5ZY 	59 	04 	TF2LL	 59 	40	 0
QSO: 	14188 	PH 	2016-10-29 	2115 	N5ZY 	59 	04 	PJ4X	 59 	09	 0
QSO: 	14168 	PH 	2016-10-29 	2107 	N5ZY 	59 	04 	VE9CB	 59 	04	 0
QSO: 	14325 	PH 	2016-10-29 	2103 	N5ZY 	59 	04 	XL3A	 59 	04	 0
QSO: 	14317 	PH 	2016-10-29 	2100 	N5ZY 	59 	04 	WP3DX	 59 	08	 0
QSO: 	14277 	PH 	2016-10-29 	2035 	N5ZY 	59 	04 	VE3RA	 59 	04	 0
QSO: 	14197 	PH 	2016-10-29 	2014 	N5ZY 	59 	04 	VE3JAQ	 59 	04	 0
QSO: 	14192 	PH 	2016-10-29 	2013 	N5ZY 	59 	04 	TF3CW	 59 	40	 0
QSO: 	14171 	PH 	2016-10-29 	2001 	N5ZY 	59 	04 	VE9AA	 59 	05	 0
QSO: 	14218 	PH 	2016-10-29 	1602 	N5ZY 	59 	04 	VE3MIC	 59 	04	 0
QSO: 	14279 	PH 	2016-10-29 	1545 	N5ZY 	59 	04 	6Y4V	 59 	08	 0
QSO: 	14247 	PH 	2016-10-29 	1543 	N5ZY 	59 	04 	VE6AO	 59 	04	 0
QSO: 	14266 	PH 	2016-10-29 	1532 	N5ZY 	59 	04 	HI3K	 59 	08	 0
QSO: 	14252 	PH 	2016-10-29 	1531 	N5ZY 	59 	04 	VA7RR	 59 	03	 0
QSO: 	14195 	PH 	2016-10-29 	1524 	N5ZY 	59 	04 	TG9ANF	 59 	07	 0
QSO: 	14187 	PH 	2016-10-29 	1520 	N5ZY 	59 	04 	HK1T	 59 	09	 0
QSO: 	14168 	PH 	2016-10-29 	1518 	N5ZY 	59 	04 	VE6SV	 59 	04	 0
QSO: 	21225 	PH 	2016-10-29 	1502 	N5ZY 	59 	04 	VC2T	 59 	05	 0
QSO: 	21260 	PH 	2016-10-29 	1456 	N5ZY 	59 	04 	EF2A	 59 	14	 0
QSO: 	21369 	PH 	2016-10-29 	1453 	N5ZY 	59 	04 	CN3A	 59 	33	 0
QSO: 	21353 	PH 	2016-10-29 	1445 	N5ZY 	59 	04 	CR6T	 59 	14	 0
QSO: 	28501 	PH 	2016-10-29 	1435 	N5ZY 	59 	04 	LP1H	 59 	13	 0
QSO: 	28395 	PH 	2016-10-29 	1426 	N5ZY 	59 	04 	PV8DX	 59 	11	 0
END-OF-LOG:
