START-OF-LOG: 3.0
CALLSIGN: GI4SJQ
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 107163
NAME: George Frazer
LOCATION: DX
OPERATORS: GI4SJQ
CLUB: None
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5966.0
SOAPBOX: Band conditions! 10m opened.  15m & 20m very poor.
QSO:  7198 PH 2016-10-29 0818 GI4SJQ        59  14     HG7T          59  15
QSO:  7197 PH 2016-10-29 0819 GI4SJQ        59  14     UA2F          59  15
QSO:  7193 PH 2016-10-29 0821 GI4SJQ        59  14     ED1R          59  14
QSO:  7189 PH 2016-10-29 0821 GI4SJQ        59  14     WW4LL         59  05
QSO:  7186 PH 2016-10-29 0822 GI4SJQ        59  14     SP5C          59  15
QSO:  7181 PH 2016-10-29 0823 GI4SJQ        59  14     SK6AW         59  14
QSO:  7177 PH 2016-10-29 0824 GI4SJQ        59  14     DP6T          59  14
QSO:  7163 PH 2016-10-29 0828 GI4SJQ        59  14     OK7W          59  15
QSO:  7160 PH 2016-10-29 0828 GI4SJQ        59  14     DF0HQ         59  14
QSO:  7144 PH 2016-10-29 0829 GI4SJQ        59  14     K3LR          59  05
QSO:  7138 PH 2016-10-29 0830 GI4SJQ        59  14     OZ7X          59  14
QSO:  7130 PH 2016-10-29 0830 GI4SJQ        59  14     WE3C          59  05
QSO:  7127 PH 2016-10-29 0831 GI4SJQ        59  14     YT0A          59  15
QSO:  7123 PH 2016-10-29 0832 GI4SJQ        59  14     OK7K          59  15
QSO:  7116 PH 2016-10-29 0833 GI4SJQ        59  14     TM3R          59  14
QSO:  7114 PH 2016-10-29 0834 GI4SJQ        59  14     F4FSY         59  14
QSO:  7096 PH 2016-10-29 0836 GI4SJQ        59  14     ES6RW         59  15
QSO:  7080 PH 2016-10-29 0842 GI4SJQ        59  14     IB2VIG        59  15
QSO:  7103 PH 2016-10-29 0846 GI4SJQ        59  14     SK6HD         59  14
QSO:  7109 PH 2016-10-29 0847 GI4SJQ        59  14     OT5A          59  14
QSO:  7129 PH 2016-10-29 0848 GI4SJQ        59  14     YT9X          59  15
QSO:  7133 PH 2016-10-29 0849 GI4SJQ        59  14     LA5YJ         59  14
QSO:  7149 PH 2016-10-29 0849 GI4SJQ        59  14     9A7A          59  15
QSO:  7180 PH 2016-10-29 0851 GI4SJQ        59  14     PA0AGA        59  14
QSO:  7193 PH 2016-10-29 0852 GI4SJQ        59  14     S56X          59  15
QSO:  7175 PH 2016-10-29 0853 GI4SJQ        59  14     PA1BDO        59  14
QSO:  7169 PH 2016-10-29 0853 GI4SJQ        59  14     9A1A          59  15
QSO:  7143 PH 2016-10-29 0855 GI4SJQ        59  14     PI4D          59  14
QSO: 14101 PH 2016-10-29 0919 GI4SJQ        59  14     YM7KA         59  20
QSO: 14349 PH 2016-10-29 0923 GI4SJQ        59  14     IO5P          59  15
QSO: 14345 PH 2016-10-29 0924 GI4SJQ        59  14     A73A          59  21
QSO: 14343 PH 2016-10-29 0924 GI4SJQ        59  14     OL6P          59  15
QSO: 14336 PH 2016-10-29 0925 GI4SJQ        59  14     OE2S          59  15
QSO: 14330 PH 2016-10-29 0925 GI4SJQ        59  14     IU2EFL        59  15
QSO: 14328 PH 2016-10-29 0926 GI4SJQ        59  14     LZ7A          59  20
