START-OF-LOG: 3.0
CALLSIGN: KB1RI
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 134343
NAME: Eric Wagner
LOCATION: NC
OPERATORS: KB1RI
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.5966.0
SOAPBOX: Enjoyed operating this contest after a 24 hiatus from contesting.
SOAPBOX: Brought back great operating memories with my now SK friend
SOAPBOX: KZ1M(Jim Dalterio).  I'm sure he was looking over my shoulder
SOAPBOX: during the contest.  Looking forward to the next one.
QSO:  7135 PH 2016-10-29 0311 KB1RI         59  05     T46A          59  08
QSO:  7141 PH 2016-10-29 0316 KB1RI         59  05     CN3A          59  33
QSO:  7167 PH 2016-10-29 0333 KB1RI         59  05     IO2X          59  15
QSO:  7203 PH 2016-10-29 0349 KB1RI         59  05     KP4BD         59  08
QSO:  7222 PH 2016-10-29 0401 KB1RI         59  05     XE2CQ         59  06
QSO:  7231 PH 2016-10-29 0404 KB1RI         59  05     N5YA          59  04
QSO:  7234 PH 2016-10-29 0406 KB1RI         59  05     VE6SV         59  04
QSO:  7139 PH 2016-10-29 0419 KB1RI         59  05     T42A          59  08
QSO:  7164 PH 2016-10-29 0431 KB1RI         59  05     HI3K          59  08
QSO:  7174 PH 2016-10-29 0437 KB1RI         59  05     EC2DX         59  14
QSO:  7177 PH 2016-10-29 0439 KB1RI         59  05     EF8R          59  33
QSO:  7178 PH 2016-10-29 0443 KB1RI         59  05     ED8X          59  33
QSO:  7193 PH 2016-10-29 0447 KB1RI         59  05     EF8U          59  33
QSO:  7198 PH 2016-10-29 0450 KB1RI         59  05     EA3PT         59  14
QSO:  7210 PH 2016-10-29 0456 KB1RI         59  05     TI5M          59  07
QSO:  7228 PH 2016-10-29 0512 KB1RI         59  05     WP3C          59  08
QSO:  7237 PH 2016-10-29 0514 KB1RI         59  05     KH6LC         59  31
QSO:  7219 PH 2016-10-29 0520 KB1RI         59  05     YV4YC         59  09
QSO:  7126 PH 2016-10-29 0531 KB1RI         59  05     HK1AC         59  09
QSO:  3684 PH 2016-10-29 0545 KB1RI         59  05     P40L          59  09
QSO:  3667 PH 2016-10-29 0546 KB1RI         59  05     VE3EJ         59  04
QSO:  3678 PH 2016-10-29 0547 KB1RI         59  05     T48K          59  08
QSO: 21217 PH 2016-10-29 1536 KB1RI         59  05     IO2X          59  15
QSO: 21240 PH 2016-10-29 1539 KB1RI         59  05     HB0A          59  14
QSO: 21250 PH 2016-10-29 1545 KB1RI         59  05     ED1R          59  14
QSO: 21255 PH 2016-10-29 1600 KB1RI         59  05     KP2XX         59  08
QSO: 21261 PH 2016-10-29 1606 KB1RI         59  05     EF2A          59  14
QSO: 21277 PH 2016-10-29 1613 KB1RI         59  05     KP4PR         59  08
QSO: 21292 PH 2016-10-29 1620 KB1RI         59  05     ED7O          59  14
QSO: 21296 PH 2016-10-29 1621 KB1RI         59  05     EA5IDQ        59  14
QSO: 21305 PH 2016-10-29 1628 KB1RI         59  05     ZF1A          59  08
QSO: 21315 PH 2016-10-29 1632 KB1RI         59  05     TG9IIN        59  07
QSO: 21317 PH 2016-10-29 1633 KB1RI         59  05     6Y4V          59  08
QSO: 21330 PH 2016-10-29 1636 KB1RI         59  05     TM2T          59  14
QSO: 21333 PH 2016-10-29 1637 KB1RI         59  05     F5BZB         59  14
QSO: 21295 PH 2016-10-29 1827 KB1RI         59  05     P40L          59  09
QSO: 21308 PH 2016-10-29 1829 KB1RI         59  05     CO6HLP        59  08
QSO: 21313 PH 2016-10-29 1829 KB1RI         59  05     EF8U          59  33
QSO: 21322 PH 2016-10-29 1834 KB1RI         59  05     EF8R          59  33
QSO: 21354 PH 2016-10-29 1835 KB1RI         59  05     PJ4X          59  09
QSO: 21360 PH 2016-10-29 1835 KB1RI         59  05     T48K          59  08
QSO: 21362 PH 2016-10-29 1837 KB1RI         59  05     PT2CM         59  11
QSO: 21367 PH 2016-10-29 1838 KB1RI         59  05     P40A          59  09
QSO: 21386 PH 2016-10-29 1842 KB1RI         59  05     KP2M          59  08
QSO: 21393 PH 2016-10-29 1843 KB1RI         59  05     WP4WW         59  08
QSO: 21414 PH 2016-10-29 1844 KB1RI         59  05     YV6YV         59  09
QSO: 21417 PH 2016-10-29 1845 KB1RI         59  05     KP4RV         59  08
QSO: 21422 PH 2016-10-29 1846 KB1RI         59  05     D4C           59  35
QSO: 21442 PH 2016-10-29 1850 KB1RI         59  05     CR3A          59  33
QSO: 21400 PH 2016-10-29 1851 KB1RI         59  05     ZF9CW         59  08
QSO: 21381 PH 2016-10-29 1851 KB1RI         59  05     PJ2T          59  09
QSO: 21371 PH 2016-10-29 1853 KB1RI         59  05     PJ7PL         59  08
QSO: 21366 PH 2016-10-29 1854 KB1RI         59  05     NP2N          59  08
QSO: 21344 PH 2016-10-29 1855 KB1RI         59  05     HI3K          59  08
QSO: 21337 PH 2016-10-29 1856 KB1RI         59  05     VP5DX         59  08
QSO: 21328 PH 2016-10-29 1900 KB1RI         59  05     KP4/K6DTT     59  08
QSO: 21312 PH 2016-10-29 1909 KB1RI         59  05     PY2UD         59  11
QSO: 21307 PH 2016-10-29 1911 KB1RI         59  05     CB1W          59  12
QSO: 21302 PH 2016-10-29 1912 KB1RI         59  05     ZV5O          59  11
QSO: 21264 PH 2016-10-29 1920 KB1RI         59  05     LT1F          59  13
QSO: 21259 PH 2016-10-29 1920 KB1RI         59  05     ZX5J          59  11
QSO: 21250 PH 2016-10-29 1922 KB1RI         59  05     XE1KK         59  06
QSO: 21248 PH 2016-10-29 1922 KB1RI         59  05     PS2T          59  11
QSO: 21246 PH 2016-10-29 1923 KB1RI         59  05     HK1X          59  09
QSO: 21231 PH 2016-10-29 1925 KB1RI         59  05     YV2CAR        59  09
QSO: 21229 PH 2016-10-29 1926 KB1RI         59  05     HK3JJH        59  09
QSO: 21277 PH 2016-10-29 1936 KB1RI         59  05     PX2B          59  11
QSO: 21291 PH 2016-10-29 1943 KB1RI         59  05     CW1DC         59  13
QSO: 21300 PH 2016-10-29 1944 KB1RI         59  05     ZM4T          59  32
QSO: 21313 PH 2016-10-29 1945 KB1RI         59  05     HC2AO         59  10
QSO: 21314 PH 2016-10-29 1946 KB1RI         59  05     HK4CMB        59  09
QSO: 21335 PH 2016-10-29 1952 KB1RI         59  05     KP3Z          59  08
QSO: 21348 PH 2016-10-29 1953 KB1RI         59  05     YN5Z          59  07
QSO: 21357 PH 2016-10-29 1954 KB1RI         59  05     KH6LC         59  31
QSO: 21378 PH 2016-10-29 1958 KB1RI         59  05     V26B          59  08
QSO: 21404 PH 2016-10-29 1959 KB1RI         59  05     FY5KE         59  09
QSO: 21397 PH 2016-10-29 2002 KB1RI         59  05     WP3C          59  08
QSO: 21385 PH 2016-10-29 2003 KB1RI         59  05     P40W          59  09
QSO: 21375 PH 2016-10-29 2005 KB1RI         59  05     PZ5K          59  09
QSO: 21255 PH 2016-10-29 2020 KB1RI         59  05     TI1T          59  07
QSO: 21340 PH 2016-10-29 2026 KB1RI         59  05     8P5A          59  08
QSO: 21242 PH 2016-10-29 2037 KB1RI         59  05     VE5PV         59  04
QSO: 21275 PH 2016-10-29 2040 KB1RI         59  05     PV8DX         59  11
QSO: 21383 PH 2016-10-29 2044 KB1RI         59  05     WP3DX         59  08
QSO: 21399 PH 2016-10-29 2045 KB1RI         59  05     HI3TEJ        59  08
QSO: 21409 PH 2016-10-29 2047 KB1RI         59  05     HC0E          59  10
QSO: 21343 PH 2016-10-29 2048 KB1RI         59  05     V47T          59  08
QSO: 21294 PH 2016-10-29 2055 KB1RI         59  05     VE6SV         59  04
QSO: 21358 PH 2016-10-29 2059 KB1RI         59  05     OA6Q          59  10
QSO: 21268 PH 2016-10-29 2113 KB1RI         59  05     K5TR          59  04
QSO: 21264 PH 2016-10-29 2113 KB1RI         59  05     PW2D          59  11
QSO: 21245 PH 2016-10-29 2114 KB1RI         59  05     KP4KE         59  08
QSO: 14176 PH 2016-10-29 2153 KB1RI         59  05     W0AIH         59  04
QSO: 14180 PH 2016-10-29 2155 KB1RI         59  05     KH6J          59  31
QSO: 14184 PH 2016-10-29 2156 KB1RI         59  05     KP2XX         59  08
QSO: 14189 PH 2016-10-29 2157 KB1RI         59  05     PJ4X          59  09
QSO: 14192 PH 2016-10-29 2200 KB1RI         59  05     FG4KH         59  08
QSO: 14195 PH 2016-10-29 2203 KB1RI         59  05     TG9ANF        59  07
QSO: 14201 PH 2016-10-29 2207 KB1RI         59  05     OH8X          59  15
QSO: 14213 PH 2016-10-29 2209 KB1RI         59  05     HK2C          59  09
QSO: 14214 PH 2016-10-29 2209 KB1RI         59  05     HI3K          59  08
