START-OF-LOG: 3.0
CALLSIGN: N9BT
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 18568
NAME: William Thompson
LOCATION: IL
OPERATORS: N9BT
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5966.0
SOAPBOX: Could hardly hear any European stations.  I miss the sunspots.
QSO: 21262 PH 2016-10-29 1451 N9BT          59  4      YV2CAR        59  09
QSO: 21266 PH 2016-10-29 1453 N9BT          59  4      PJ4Q          59  09
QSO: 14253 PH 2016-10-29 1514 N9BT          59  4      VA7RR         59  03
QSO: 21381 PH 2016-10-29 1519 N9BT          59  4      PJ2T          59  09
QSO: 28442 PH 2016-10-29 1714 N9BT          59  4      HK3TK         59  09
QSO: 28427 PH 2016-10-29 1719 N9BT          59  4      XE1B          59  06
QSO: 28418 PH 2016-10-29 1721 N9BT          59  4      KP2M          59  08
QSO: 28395 PH 2016-10-29 1723 N9BT          59  4      XE2B          59  06
QSO: 28390 PH 2016-10-29 1724 N9BT          59  4      PJ4X          59  09
QSO: 28350 PH 2016-10-29 1728 N9BT          59  4      XE3N          59  06
QSO: 28430 PH 2016-10-29 1732 N9BT          59  4      CW5W          59  13
QSO: 28445 PH 2016-10-29 1735 N9BT          59  4      XE1H          59  06
QSO: 28000 PH 2016-10-29 2132 N9BT          59  4      PQ5B          59  11
QSO: 28000 PH 2016-10-29 2133 N9BT          59  4      OA4SS         59  10
QSO: 28000 PH 2016-10-29 2136 N9BT          59  4      PV2P          59  11
QSO: 21314 PH 2016-10-29 2147 N9BT          59  4      CO2HLP        59  08
QSO: 21308 PH 2016-10-29 2148 N9BT          59  4      CM2FRB        59  08
QSO: 21337 PH 2016-10-29 2200 N9BT          59  4      VP5DX         59  08
QSO: 21346 PH 2016-10-29 2203 N9BT          59  4      HI3K          59  08
QSO: 21368 PH 2016-10-29 2207 N9BT          59  4      T48K          59  08
QSO: 14343 PH 2016-10-29 2208 N9BT          59  4      T48K          59  08
QSO: 21371 PH 2016-10-29 2213 N9BT          59  4      PZ5K          59  09
QSO: 21386 PH 2016-10-29 2215 N9BT          59  4      KP2M          59  08
QSO: 21419 PH 2016-10-29 2218 N9BT          59  4      ZF9CW         59  08
QSO: 21269 PH 2016-10-29 2225 N9BT          59  4      PY2UD         59  11
QSO: 21264 PH 2016-10-29 2226 N9BT          59  4      PW2D          59  11
QSO: 21237 PH 2016-10-29 2228 N9BT          59  4      PX2B          59  11
QSO:  7171 PH 2016-10-30 0147 N9BT          59  4      TI5W          59  07
QSO:  7237 PH 2016-10-30 0201 N9BT          59  4      VE6WZ         59  04
QSO:  3746 PH 2016-10-30 0218 N9BT          59  4      XL3A          59  04
QSO:  3739 PH 2016-10-30 0220 N9BT          59  4      VE2IDX        59  02
QSO: 28477 PH 2016-10-30 1654 N9BT          59  4      NP3U          59  08
QSO: 28330 PH 2016-10-30 1705 N9BT          59  4      PY2YU         59  11
QSO: 28320 PH 2016-10-30 1706 N9BT          59  4      YN5Z          59  07
QSO: 21240 PH 2016-10-30 1709 N9BT          59  4      T42A          59  08
QSO: 21302 PH 2016-10-30 1715 N9BT          59  4      HI3TEJ        59  08
QSO: 21332 PH 2016-10-30 1719 N9BT          59  4      T46A          59  08
QSO: 21375 PH 2016-10-30 1721 N9BT          59  4      EF8RC         59  33
QSO: 21398 PH 2016-10-30 1723 N9BT          59  4      XE1KK         59  06
QSO: 21404 PH 2016-10-30 1724 N9BT          59  4      CR3A          59  33
QSO: 14188 PH 2016-10-30 1729 N9BT          59  4      VE6WZL        59  04
QSO: 14209 PH 2016-10-30 1731 N9BT          59  4      VE6KD         59  04
QSO: 14243 PH 2016-10-30 1733 N9BT          59  4      VE6AO         59  04
QSO: 14267 PH 2016-10-30 1734 N9BT          59  4      VC2T          59  05
QSO: 14332 PH 2016-10-30 1737 N9BT          59  4      VE6FI         59  04
QSO: 21365 PH 2016-10-30 1747 N9BT          59  4      HP3SS         59  07
QSO: 21404 PH 2016-10-30 1917 N9BT          59  4      KP2XX         59  08
QSO: 21373 PH 2016-10-30 1923 N9BT          59  4      PJ4X          59  09
QSO: 21348 PH 2016-10-30 1925 N9BT          59  4      V3A           59  07
QSO: 28485 PH 2016-10-30 1928 N9BT          59  4      ZP6A          59  11
QSO: 28447 PH 2016-10-30 1935 N9BT          59  4      P40L          59  09
QSO: 21408 PH 2016-10-30 1944 N9BT          59  4      V47T          59  08
QSO: 21323 PH 2016-10-30 1946 N9BT          59  4      LT1F          59  13
QSO: 21264 PH 2016-10-30 1957 N9BT          59  4      FM5DN         59  08
QSO: 21400 PH 2016-10-30 1958 N9BT          59  4      FY5KE         59  09
QSO: 21263 PH 2016-10-30 2003 N9BT          59  4      ZF1A          59  08
QSO: 21284 PH 2016-10-30 2020 N9BT          59  4      VA7CRZ        59  03
QSO: 21300 PH 2016-10-30 2024 N9BT          59  4      CR6K          59  14
QSO: 21437 PH 2016-10-30 2031 N9BT          59  4      PQ5B          59  11
QSO: 21217 PH 2016-10-30 2101 N9BT          59  4      KH7M          59  31
QSO: 21381 PH 2016-10-30 2105 N9BT          59  4      P40L          59  09
QSO: 21392 PH 2016-10-30 2109 N9BT          59  4      YW4D          59  09
QSO: 14273 PH 2016-10-30 2129 N9BT          59  4      VE5PV         59  04
QSO: 14165 PH 2016-10-30 2135 N9BT          59  4      VE9CB         59  05
QSO: 14212 PH 2016-10-30 2141 N9BT          59  4      6Y4V          59  08
QSO: 14240 PH 2016-10-30 2145 N9BT          59  4      HI3K          59  08
QSO: 14245 PH 2016-10-30 2146 N9BT          59  4      VE6AO         59  04
QSO: 14261 PH 2016-10-30 2151 N9BT          59  4      V47T          59  08
QSO: 14203 PH 2016-10-30 2158 N9BT          59  4      P40L          59  09
QSO: 14219 PH 2016-10-30 2203 N9BT          59  4      TI1T          59  07
QSO: 14260 PH 2016-10-30 2227 N9BT          59  4      VA7FC         59  03
QSO: 14263 PH 2016-10-30 2229 N9BT          59  4      NP3U          59  08
QSO: 14291 PH 2016-10-30 2231 N9BT          59  4      KP3Z          59  08
QSO: 14303 PH 2016-10-30 2233 N9BT          59  4      PQ5B          59  11
QSO: 14305 PH 2016-10-30 2235 N9BT          59  4      LA6VQ         59  14
QSO: 14307 PH 2016-10-30 2236 N9BT          59  4      KP2M          59  08
QSO: 14311 PH 2016-10-30 2238 N9BT          59  4      V26B          59  08
QSO: 14315 PH 2016-10-30 2240 N9BT          59  4      YN5Z          59  07
QSO: 14317 PH 2016-10-30 2241 N9BT          59  4      YW4D          59  09
QSO: 14326 PH 2016-10-30 2244 N9BT          59  4      P40W          59  09
QSO: 14345 PH 2016-10-30 2254 N9BT          59  4      8P5A          59  08
QSO: 14322 PH 2016-10-30 2258 N9BT          59  4      PS2T          59  11
QSO: 21284 PH 2016-10-30 2301 N9BT          59  4      PS2T          59  11
QSO: 21242 PH 2016-10-30 2306 N9BT          59  4      ZX5J          59  11
QSO: 21294 PH 2016-10-30 2312 N9BT          59  4      HC0E          59  10
QSO: 21318 PH 2016-10-30 2315 N9BT          59  4      CB1H          59  12
QSO:  7235 PH 2016-10-30 2350 N9BT          59  4      VY2ZM         59  05
QSO:  7155 PH 2016-10-30 2359 N9BT          59  4      CN2R          59  33
END-OF-LOG:
