START-OF-LOG: 3.0
CALLSIGN: JH0KHR
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 83085
NAME: Shigeyuki Hasegawa
LOCATION: DX
OPERATORS: JH0KHR
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.4486.0
SOAPBOX: Bad CONDX! Only enjoyed making contacts with friends of mine.
QSO: 21346 PH 2016-10-29 0228 JH0KHR        59  25     BM0DX         59  24
QSO: 21341 PH 2016-10-29 0228 JH0KHR        59  25     AH2R          59  27
QSO: 21190 PH 2016-10-29 0232 JH0KHR        59  25     YC2TDA        59  28
QSO: 21247 PH 2016-10-29 0233 JH0KHR        59  25     ZL7G          59  32
QSO: 21200 PH 2016-10-29 0234 JH0KHR        59  25     T8TH          59  27
QSO: 21233 PH 2016-10-29 0235 JH0KHR        59  25     HS0ZIA        59  26
QSO: 21243 PH 2016-10-29 0236 JH0KHR        59  25     VR2EH         59  24
QSO: 21245 PH 2016-10-29 0236 JH0KHR        59  25     AH0K          59  27
QSO: 21276 PH 2016-10-29 0241 JH0KHR        59  25     BV2A/3        59  24
QSO: 21279 PH 2016-10-29 0242 JH0KHR        59  25     VK4KW         59  30
QSO: 21311 PH 2016-10-29 0243 JH0KHR        59  25     VK4NM         59  30
QSO: 21328 PH 2016-10-29 0244 JH0KHR        59  25     BX3AC         59  24
QSO: 14177 PH 2016-10-29 0248 JH0KHR        59  25     AH0K          59  27
QSO: 14196 PH 2016-10-29 0249 JH0KHR        59  25     BH4QYX        59  24
QSO: 14203 PH 2016-10-29 0250 JH0KHR        59  25     RW9USA        59  18
QSO: 14218 PH 2016-10-29 0250 JH0KHR        59  25     BY5HB         59  24
QSO: 14233 PH 2016-10-29 0251 JH0KHR        59  25     B7P           59  24
QSO: 14272 PH 2016-10-29 0252 JH0KHR        59  25     JF9JTS        59  25
QSO: 14269 PH 2016-10-29 0257 JH0KHR        59  25     KL7RA         59  01
QSO: 14241 PH 2016-10-29 0258 JH0KHR        59  25     BY5CD         59  24
QSO: 14199 PH 2016-10-29 0708 JH0KHR        59  25     4O3A          59  15
QSO: 14224 PH 2016-10-29 0714 JH0KHR        59  25     LU8YE         59  13
QSO: 14141 PH 2016-10-29 0717 JH0KHR        59  25     V6Z           59  27
QSO: 14162 PH 2016-10-29 0717 JH0KHR        59  25     A31MM         59  32
QSO: 14204 PH 2016-10-29 0721 JH0KHR        59  25     CB1W          59  12
QSO: 14238 PH 2016-10-29 0733 JH0KHR        59  25     ZL7G          59  32
QSO: 21248 PH 2016-10-29 0745 JH0KHR        59  25     A73A          59  21
QSO: 21283 PH 2016-10-29 0754 JH0KHR        59  25     SX9C          59  20
QSO: 21316 PH 2016-10-29 0755 JH0KHR        59  25     JT5DX         59  23
QSO:  7170 PH 2016-10-29 0801 JH0KHR        59  25     W7WA          59  03
QSO:  7174 PH 2016-10-29 0801 JH0KHR        59  25     K5TR          59  04
QSO:  7176 PH 2016-10-29 0805 JH0KHR        59  25     OA4O          59  10
QSO:  7188 PH 2016-10-29 0807 JH0KHR        59  25     XE2CQ         59  06
QSO:  7190 PH 2016-10-29 0807 JH0KHR        59  25     K6XX          59  03
QSO:  7199 PH 2016-10-29 0808 JH0KHR        59  25     PS2T          59  09
QSO:  7128 PH 2016-10-29 0809 JH0KHR        59  25     N7AT          59  03
QSO:  7130 PH 2016-10-29 0810 JH0KHR        59  25     K3EST         59  03
QSO:  7134 PH 2016-10-29 0810 JH0KHR        59  25     N2IC          59  04
QSO:  7146 PH 2016-10-29 0811 JH0KHR        59  25     RW0CN         59  19
QSO:  7148 PH 2016-10-29 0812 JH0KHR        59  25     N5FO          59  04
QSO:  7151 PH 2016-10-29 0813 JH0KHR        59  25     KH7M          59  31
QSO:  7158 PH 2016-10-29 0815 JH0KHR        59  25     ZF1A          59  08
QSO:  7161 PH 2016-10-29 0817 JH0KHR        59  25     WL7E          59  01
QSO:  7162 PH 2016-10-29 0818 JH0KHR        59  25     CB1H          59  12
QSO:  7179 PH 2016-10-29 0820 JH0KHR        59  25     W6YX          59  03
QSO:  7185 PH 2016-10-29 0820 JH0KHR        59  25     PQ5B          59  11
QSO:  7184 PH 2016-10-29 0827 JH0KHR        59  25     T8TH          59  27
QSO:  7120 PH 2016-10-29 1037 JH0KHR        59  25     ZM1A          59  32
QSO:  7131 PH 2016-10-29 1042 JH0KHR        59  25     K7RI          59  03
QSO:  7138 PH 2016-10-29 1044 JH0KHR        59  25     KH6J          59  31
QSO:  7148 PH 2016-10-29 1046 JH0KHR        59  25     V84O          59  28
QSO:  7148 PH 2016-10-29 1047 JH0KHR        59  25     NR6Q          59  03
QSO:  7152 PH 2016-10-29 1048 JH0KHR        59  25     HC0E          59  10
QSO:  7161 PH 2016-10-29 1052 JH0KHR        59  25     KH6LC         59  31
QSO:  7171 PH 2016-10-29 1054 JH0KHR        59  25     RT0F          59  19
QSO:  7180 PH 2016-10-29 1059 JH0KHR        59  25     VK6NC         59  29
QSO:  7068 PH 2016-10-29 1103 JH0KHR        59  25     XU7AJA        59  26
QSO:  7188 PH 2016-10-29 1107 JH0KHR        59  25     BM0DX         59  24
QSO:  7190 PH 2016-10-29 1108 JH0KHR        59  25     AH2R          59  27
QSO:  7087 PH 2016-10-29 1113 JH0KHR        59  25     9M8K          59  28
QSO:  7097 PH 2016-10-29 1114 JH0KHR        59  25     B1W           59  24
QSO:  7102 PH 2016-10-29 1116 JH0KHR        59  25     DX2R          59  27
QSO:  7114 PH 2016-10-29 1117 JH0KHR        59  25     ZM4T          59  32
QSO:  7153 PH 2016-10-29 1124 JH0KHR        59  25     WE6DX         59  03
QSO:  7116 PH 2016-10-29 1132 JH0KHR        59  25     BX3AC         59  24
QSO:  7120 PH 2016-10-29 1133 JH0KHR        59  25     OA4/XQ3SA     59  10
QSO:  7177 PH 2016-10-29 1134 JH0KHR        59  25     9M4DX         59  28
QSO:  7168 PH 2016-10-29 1138 JH0KHR        59  25     TI5W          59  07
QSO: 28513 PH 2016-10-29 2234 JH0KHR        59  25     KH6J          59  31
QSO: 28513 PH 2016-10-29 2234 JH0KHR        59  25     KH6J          59  31
QSO: 28537 PH 2016-10-29 2235 JH0KHR        59  25     LT7F          59  13
QSO: 28433 PH 2016-10-29 2236 JH0KHR        59  25     LU7HN         59  13
QSO: 28420 PH 2016-10-29 2236 JH0KHR        59  25     LW7DJ         59  13
QSO: 28405 PH 2016-10-29 2237 JH0KHR        59  25     LU7DH         59  13
QSO: 28395 PH 2016-10-29 2239 JH0KHR        59  25     LW1EX         59  13
QSO: 28428 PH 2016-10-29 2243 JH0KHR        59  25     N6SS          59  03
QSO: 21204 PH 2016-10-29 2247 JH0KHR        59  25     N9RV          59  04
QSO: 21210 PH 2016-10-29 2247 JH0KHR        59  25     N2IC          59  04
QSO: 21215 PH 2016-10-29 2247 JH0KHR        59  25     N7AT          59  03
QSO: 21218 PH 2016-10-29 2249 JH0KHR        59  25     HP3SS         59  07
QSO: 21220 PH 2016-10-29 2250 JH0KHR        59  25     NX1P          59  03
QSO: 21224 PH 2016-10-29 2251 JH0KHR        59  25     NR6Q          59  03
QSO: 21233 PH 2016-10-29 2251 JH0KHR        59  25     BY5HB         59  24
QSO: 21243 PH 2016-10-29 2252 JH0KHR        59  25     CB1H          59  12
QSO: 21249 PH 2016-10-29 2252 JH0KHR        59  25     KA6BIM        59  03
QSO: 21253 PH 2016-10-29 2253 JH0KHR        59  25     K6XX          59  03
QSO: 21263 PH 2016-10-29 2254 JH0KHR        59  25     ZX5J          59  11
QSO: 21227 PH 2016-10-29 2256 JH0KHR        59  25     OA6Q          59  10
QSO: 21270 PH 2016-10-29 2257 JH0KHR        59  25     WE6DX         59  03
QSO: 21277 PH 2016-10-29 2258 JH0KHR        59  25     KH7M          59  31
QSO: 21283 PH 2016-10-29 2259 JH0KHR        59  25     JR2IOB        59  25
QSO: 21290 PH 2016-10-29 2300 JH0KHR        59  25     WA7NB         59  03
QSO: 21292 PH 2016-10-29 2301 JH0KHR        59  25     K6SRZ         59  03
QSO: 21306 PH 2016-10-29 2302 JH0KHR        59  25     KI6QDH        59  03
QSO: 21309 PH 2016-10-29 2303 JH0KHR        59  25     W6AFA         59  03
QSO: 21325 PH 2016-10-29 2304 JH0KHR        59  25     KX7M          59  03
QSO: 21328 PH 2016-10-29 2305 JH0KHR        59  25     W8WOM         59  03
QSO: 21328 PH 2016-10-29 2306 JH0KHR        59  25     HC0E          59  10
QSO: 21351 PH 2016-10-29 2308 JH0KHR        59  25     3W2DK         59  26
QSO: 14151 PH 2016-10-29 2314 JH0KHR        59  25     K3LR          59  05
QSO: 14153 PH 2016-10-29 2314 JH0KHR        59  25     N7DD          59  03
QSO: 14173 PH 2016-10-29 2315 JH0KHR        59  25     W0AIH         59  04
QSO: 14175 PH 2016-10-29 2316 JH0KHR        59  25     W3LPL         59  05
QSO: 14178 PH 2016-10-29 2320 JH0KHR        59  25     KP2XX         59  08
QSO: 14200 PH 2016-10-29 2324 JH0KHR        59  25     PJ4X          59  09
QSO: 14220 PH 2016-10-29 2327 JH0KHR        59  25     V84O          59  28
QSO: 14230 PH 2016-10-29 2329 JH0KHR        59  25     DU1AV         59  27
QSO: 14232 PH 2016-10-29 2330 JH0KHR        59  25     KV0Q          59  04
QSO: 14242 PH 2016-10-29 2331 JH0KHR        59  25     BW/JN3MXT     59  24
QSO: 14249 PH 2016-10-29 2332 JH0KHR        59  25     BA4TB         59  24
QSO: 14264 PH 2016-10-29 2333 JH0KHR        59  25     E2A           59  26
QSO: 14348 PH 2016-10-29 2335 JH0KHR        59  25     JA7ZFN        59  25
QSO: 21363 PH 2016-10-29 2338 JH0KHR        59  25     K7E           59  03
QSO: 28478 PH 2016-10-29 2348 JH0KHR        59  25     NH6WZ         59  31
QSO: 28450 PH 2016-10-30 0032 JH0KHR        59  25     XX9O          59  24
QSO: 28461 PH 2016-10-30 0033 JH0KHR        59  25     AH2R          59  27
QSO: 28474 PH 2016-10-30 0041 JH0KHR        59  25     VK4KW         59  30
QSO: 28492 PH 2016-10-30 0042 JH0KHR        59  25     YB3EDD        59  28
QSO: 28447 PH 2016-10-30 0049 JH0KHR        59  25     E2OWXA        59  26
QSO: 28530 PH 2016-10-30 0050 JH0KHR        59  25     B7P           59  24
QSO: 28496 PH 2016-10-30 0556 JH0KHR        59  25     AH0K          59  27
QSO: 28484 PH 2016-10-30 0558 JH0KHR        59  25     XU7AJA        59  26
QSO: 28532 PH 2016-10-30 0559 JH0KHR        59  25     9W6WZ         59  28
QSO: 21180 PH 2016-10-30 0600 JH0KHR        59  25     VR2XMT        59  24
QSO: 21192 PH 2016-10-30 0602 JH0KHR        59  25     9M6IH         59  28
QSO: 21198 PH 2016-10-30 0603 JH0KHR        59  25     XV9NPS        59  26
QSO: 21205 PH 2016-10-30 0603 JH0KHR        59  25     V84O          59  28
QSO: 21212 PH 2016-10-30 0604 JH0KHR        59  25     DX1EVM        59  27
QSO: 21231 PH 2016-10-30 0608 JH0KHR        59  25     VU2YVK        59  22
QSO: 21242 PH 2016-10-30 0609 JH0KHR        59  25     HZ1TL         59  21
QSO: 21277 PH 2016-10-30 0611 JH0KHR        59  25     FR4NT         59  39
QSO: 21344 PH 2016-10-30 0617 JH0KHR        59  25     C4A           59  20
QSO: 21381 PH 2016-10-30 0620 JH0KHR        59  25     RT4D          59  16
QSO: 21322 PH 2016-10-30 0621 JH0KHR        59  25     YM7KA         59  20
QSO: 21401 PH 2016-10-30 0623 JH0KHR        59  25     4X2M          59  20
QSO: 14186 PH 2016-10-30 0625 JH0KHR        59  25     UP0L          59  17
QSO: 14278 PH 2016-10-30 0634 JH0KHR        59  25     AH2R          59  27
QSO: 14290 PH 2016-10-30 0641 JH0KHR        59  25     BM0DX         59  24
QSO: 14291 PH 2016-10-30 0643 JH0KHR        59  25     OE2S          59  15
QSO: 14172 PH 2016-10-30 0648 JH0KHR        59  25     ZV5O          59  11
QSO: 14189 PH 2016-10-30 0651 JH0KHR        59  25     J42T          59  20
QSO: 14198 PH 2016-10-30 0652 JH0KHR        59  25     P33W          59  20
QSO: 14201 PH 2016-10-30 0653 JH0KHR        59  25     3G3O          59  12
QSO: 14321 PH 2016-10-30 0658 JH0KHR        59  25     JA8RWU        59  25
QSO: 14325 PH 2016-10-30 0658 JH0KHR        59  25     S50G          59  15
QSO: 21227 PH 2016-10-30 0700 JH0KHR        59  25     VK3JA         59  30
QSO: 21234 PH 2016-10-30 0702 JH0KHR        59  25     UA4M          59  16
QSO: 21254 PH 2016-10-30 0703 JH0KHR        59  25     UN7PGA        59  17
QSO: 21269 PH 2016-10-30 0704 JH0KHR        59  25     R7AB          59  16
QSO: 21275 PH 2016-10-30 0705 JH0KHR        59  25     UT7E          59  16
QSO: 21195 PH 2016-10-30 0707 JH0KHR        59  25     9V1XX         59  28
QSO:  7180 PH 2016-10-30 0715 JH0KHR        59  25     KH7CW         59  31
QSO: 21390 PH 2016-10-30 0719 JH0KHR        59  25     YU5R          59  15
QSO: 21367 PH 2016-10-30 0720 JH0KHR        59  25     RA7A          59  16
QSO: 14156 PH 2016-10-30 0727 JH0KHR        59  25     IT9HBT        59  15
QSO: 14208 PH 2016-10-30 0733 JH0KHR        59  25     EU1A          59  16
QSO: 14227 PH 2016-10-30 0734 JH0KHR        59  25     ZM1A          59  32
QSO: 14229 PH 2016-10-30 0735 JH0KHR        59  25     IO5P          59  15
QSO: 14233 PH 2016-10-30 0735 JH0KHR        59  25     YT5A          59  15
QSO: 14236 PH 2016-10-30 0736 JH0KHR        59  25     9A1P          59  15
QSO: 14241 PH 2016-10-30 0736 JH0KHR        59  25     RW3XZ         59  16
QSO: 14255 PH 2016-10-30 0737 JH0KHR        59  25     YT1A          59  15
QSO: 14300 PH 2016-10-30 0740 JH0KHR        59  25     SO6X          59  15
QSO: 14319 PH 2016-10-30 0741 JH0KHR        59  25     OK2RZ         59  15
QSO:  7157 PH 2016-10-30 0750 JH0KHR        59  25     A31MM         59  32
QSO:  7162 PH 2016-10-30 0758 JH0KHR        59  25     TI5M          59  07
QSO:  7158 PH 2016-10-30 0759 JH0KHR        59  25     W0RIC         59  04
QSO:  7132 PH 2016-10-30 0803 JH0KHR        59  25     ZP6A          59  11
QSO:  7194 PH 2016-10-30 0809 JH0KHR        59  25     K7ZS          59  03
QSO:  7183 PH 2016-10-30 0810 JH0KHR        59  25     V6Z           59  27
QSO:  7150 PH 2016-10-30 0813 JH0KHR        59  25     LP1H          59  13
QSO:  7137 PH 2016-10-30 1203 JH0KHR        59  25     AH0K          59  27
QSO:  7152 PH 2016-10-30 1206 JH0KHR        59  25     DU3T          59  27
QSO:  7092 PH 2016-10-30 1223 JH0KHR        59  25     JT5DX         59  23
QSO:  7118 PH 2016-10-30 1226 JH0KHR        59  25     XW1IC         59  26
QSO:  7123 PH 2016-10-30 1226 JH0KHR        59  25     UI8J          59  17
QSO:  7115 PH 2016-10-30 1228 JH0KHR        59  25     RW0A          59  18
QSO:  7128 PH 2016-10-30 1229 JH0KHR        59  25     VR2XAN        59  24
QSO:  7102 PH 2016-10-30 1240 JH0KHR        59  25     A73A          59  21
QSO:  7161 PH 2016-10-30 1250 JH0KHR        59  25     UA4M          59  16
QSO:  7178 PH 2016-10-30 1251 JH0KHR        59  25     UP2L          59  17
QSO:  7000 PH 2016-10-30 1322 JH0KHR        59  25     VU2RCT        59  22
END-OF-LOG:
