START-OF-LOG: 3.0
CALLSIGN: 9H3KZ
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: ROB McTAIT
LOCATION: DX
OPERATORS:  
CLUB: NONE
CERTIFICATE: YES
CREATED-BY: CQWW Adif2Cabrillo Converter (LZ2FQ)
SOAPBOX: Operated when possible. Interesting using dipole and only 100 watts!
QSO: 14000 PH 2016-10-29 0716  9H3KZ         59  15     EF8U          59  033    0
QSO: 28000 PH 2016-10-29 0719  9H3KZ         59  15     A93JA         59  021    0
QSO: 21000 PH 2016-10-29 0722  9H3KZ         59  15     EA5IDQ        59  014    0
QSO: 21000 PH 2016-10-29 0724  9H3KZ         59  15     H2T           59  020    0
QSO: 21000 PH 2016-10-29 0730  9H3KZ         59  15     4Z5LY         59  020    0
QSO: 21000 PH 2016-10-29 0736  9H3KZ         59  15     A61A          59  021    0
QSO: 21000 PH 2016-10-29 0743  9H3KZ         59  15     BA4DL         59  024    0
QSO: 21000 PH 2016-10-29 0745  9H3KZ         59  15     M6T           59  014    0
QSO: 21000 PH 2016-10-29 0754  9H3KZ         59  15     CN8MAA        59  033    0
QSO: 21000 PH 2016-10-29 0755  9H3KZ         59  15     9H6A          59  015    0
QSO: 21000 PH 2016-10-29 0759  9H3KZ         59  15     7Z1HL         59  021    0
QSO: 21000 PH 2016-10-29 0801  9H3KZ         59  15     4X6TT         59  020    0
QSO: 21000 PH 2016-10-29 0805  9H3KZ         59  15     A92GE         59  021    0
QSO: 21000 PH 2016-10-29 0806  9H3KZ         59  15     H2X           59  020    0
QSO: 21000 PH 2016-10-29 0808  9H3KZ         59  15     CT3HF         59  033    0
QSO: 21000 PH 2016-10-29 0810  9H3KZ         59  15     TA5FA         59  020    0
QSO: 21000 PH 2016-10-29 0816  9H3KZ         59  15     UW2M          59  016    0
QSO: 21000 PH 2016-10-29 0818  9H3KZ         59  15     CN2R          59  033    0
QSO: 21000 PH 2016-10-29 0820  9H3KZ         59  15     UB7K          59  016    0
QSO: 28000 PH 2016-10-29 1147  9H3KZ         59  15     CN3A          59  033    0
QSO: 28000 PH 2016-10-29 1156  9H3KZ         59  15     MM8Z          59  014    0
QSO: 28000 PH 2016-10-29 1159  9H3KZ         59  15     EF8U          59  033    0
QSO: 28000 PH 2016-10-29 1206  9H3KZ         59  15     GM9N          59  014    0
QSO: 28000 PH 2016-10-29 1210  9H3KZ         59  15     4Z5LY         59  020    0
QSO:  7000 PH 2016-10-29 2034  9H3KZ         59  15     S53M          59  015    0
QSO:  7000 PH 2016-10-29 2035  9H3KZ         59  15     HG1S          59  015    0
QSO:  7000 PH 2016-10-29 2036  9H3KZ         59  15     TC2C          59  020    0
QSO:  7000 PH 2016-10-29 2039  9H3KZ         59  15     G2F           59  014    0
QSO:  7000 PH 2016-10-29 2041  9H3KZ         59  15     ED8X          59  033    0
QSO:  7000 PH 2016-10-29 2045  9H3KZ         59  15     EC2DX         59  014    0
QSO:  7000 PH 2016-10-29 2051  9H3KZ         59  15     DR1A          59  014    0
QSO:  7000 PH 2016-10-29 2055  9H3KZ         59  15     DF0HQ         59  014    0
QSO:  7000 PH 2016-10-29 2102  9H3KZ         59  15     4L0A          59  021    0
QSO:  7000 PH 2016-10-29 2105  9H3KZ         59  15     OK5W          59  015    0
QSO:  7000 PH 2016-10-29 2110  9H3KZ         59  15     F4ENK         59  014    0
QSO:  7000 PH 2016-10-29 2113  9H3KZ         59  15     EA5CTE        59  014    0
QSO:  7000 PH 2016-10-29 2115  9H3KZ         59  15     4O7CC         59  016    0
QSO:  7000 PH 2016-10-29 2120  9H3KZ         59  15     YU5R          59  015    0
QSO: 14000 PH 2016-10-29 2124  9H3KZ         59  15     OT5A          59  014    0
QSO: 14000 PH 2016-10-29 2126  9H3KZ         59  15     YT1A          59  015    0
QSO: 14000 PH 2016-10-29 2128  9H3KZ         59  15     HG8R          59  015    0
QSO: 14000 PH 2016-10-29 2136  9H3KZ         59  15     SP3P          59  015    0
QSO: 14000 PH 2016-10-29 2145  9H3KZ         59  15     E73SF         59  015    0
QSO: 14000 PH 2016-10-29 2148  9H3KZ         59  15     YU6DX         59  015    0
QSO: 14000 PH 2016-10-29 2150  9H3KZ         59  15     HG7T          59  015    0
