START-OF-LOG: 3.0
CALLSIGN: OE1HHB
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 351267
NAME: Harald Hofbauer
LOCATION: DX
OPERATORS: OE1HHB
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5966.0
SOAPBOX: 100 W and a vertical on the 6th floor balcony
QSO:  7000 PH 2016-10-29 0150 OE1HHB        59  15     RT4F          59  16
QSO: 14000 PH 2016-10-29 0154 OE1HHB        59  15     OZ2RF         59  14
QSO:  7000 PH 2016-10-29 0158 OE1HHB        59  15     UT0U          59  16
QSO:  7000 PH 2016-10-29 0159 OE1HHB        59  15     LZ5T          59  20
QSO:  7000 PH 2016-10-29 0200 OE1HHB        59  15     LY2MM         59  15
QSO:  7000 PH 2016-10-29 0201 OE1HHB        59  15     RK4FL         59  16
QSO:  3500 PH 2016-10-29 0202 OE1HHB        59  15     DB2B          59  14
QSO:  3500 PH 2016-10-29 0203 OE1HHB        59  15     HA6NL         59  15
QSO:  3500 PH 2016-10-29 0204 OE1HHB        59  15     PA3GVI        59  14
QSO:  3500 PH 2016-10-29 0208 OE1HHB        59  15     SO9Q          59  15
QSO:  7000 PH 2016-10-29 0211 OE1HHB        59  15     DF0HQ         59  14
QSO:  7000 PH 2016-10-29 0212 OE1HHB        59  15     UP2L          59  17
QSO:  7000 PH 2016-10-29 0212 OE1HHB        59  15     UP0L          59  17
QSO:  7000 PH 2016-10-29 0215 OE1HHB        59  15     OK7W          59  15
QSO:  7000 PH 2016-10-29 0217 OE1HHB        59  15     DP4M          59  14
QSO:  7000 PH 2016-10-29 0218 OE1HHB        59  15     OM0WR         59  15
QSO:  7000 PH 2016-10-29 0220 OE1HHB        59  15     RL4A          59  16
QSO:  7000 PH 2016-10-29 0221 OE1HHB        59  15     SO9Q          59  15
QSO:  1800 PH 2016-10-29 0222 OE1HHB        59  15     DM7C          59  14
QSO:  1800 PH 2016-10-29 0225 OE1HHB        59  15     HG7T          59  15
QSO:  3500 PH 2016-10-29 0236 OE1HHB        59  15     SQ6H          59  15
QSO:  3500 PH 2016-10-29 0238 OE1HHB        59  15     IO2X          59  15
QSO:  3500 PH 2016-10-29 0245 OE1HHB        59  15     YT5A          59  15
QSO:  3500 PH 2016-10-29 0248 OE1HHB        59  15     SP9AQF        59  15
QSO:  3500 PH 2016-10-29 0249 OE1HHB        59  15     OK6T          59  15
QSO:  3500 PH 2016-10-29 0251 OE1HHB        59  15     ED1T          59  14
QSO:  3500 PH 2016-10-29 0252 OE1HHB        59  15     ED2C          59  14
QSO:  3500 PH 2016-10-29 0252 OE1HHB        59  15     OE5BGN        59  15
QSO:  3500 PH 2016-10-29 0253 OE1HHB        59  15     IY1A          59  15
QSO:  7000 PH 2016-10-29 0257 OE1HHB        59  15     RT2A          59  16
QSO:  3500 PH 2016-10-29 0305 OE1HHB        59  15     EI7M          59  14
QSO:  3500 PH 2016-10-29 0306 OE1HHB        59  15     OK4A          59  15
