START-OF-LOG: 3.0
CALLSIGN: KE1U
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 2074
NAME: Joe Hutcheson
LOCATION: EMA
OPERATORS: KE1U
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.5966.0
SOAPBOX: Awful conditions on Saturday, but somewhat better on Sunday.
QSO: 21330 PH 2016-10-29 1538 KE1U          59  05     TM2T          59  14
QSO: 21250 PH 2016-10-29 1546 KE1U          59  05     ED1R          59  14
QSO: 21336 PH 2016-10-29 1548 KE1U          59  05     EC2DX         59  14
QSO: 21350 PH 2016-10-29 1632 KE1U          59  05     EA3PT         59  14
QSO: 21337 PH 2016-10-29 1840 KE1U          59  05     VP5DX         59  08
QSO: 21308 PH 2016-10-29 1842 KE1U          59  05     CO6HLP        59  08
QSO: 28377 PH 2016-10-29 1926 KE1U          59  05     WP4SK         59  08
QSO: 21243 PH 2016-10-29 2000 KE1U          59  05     T42A          59  08
QSO: 21285 PH 2016-10-29 2008 KE1U          59  05     TI5M          59  07
QSO:  7163 PH 2016-10-30 0111 KE1U          59  05     VE9AA         59  05
QSO:  7165 PH 2016-10-30 0114 KE1U          59  05     KP4BD         59  08
QSO:  7171 PH 2016-10-30 0115 KE1U          59  05     TI5W          59  07
QSO:  7214 PH 2016-10-30 0121 KE1U          59  05     V47T          59  08
QSO: 21283 PH 2016-10-30 1649 KE1U          59  05     HI3K          59  08
QSO: 21310 PH 2016-10-30 1652 KE1U          59  05     TM6M          59  14
QSO: 21228 PH 2016-10-30 1810 KE1U          59  05     ZF9CW         59  08
QSO: 14192 PH 2016-10-30 1811 KE1U          59  05     HK1T          59  09
QSO: 14276 PH 2016-10-30 1815 KE1U          59  05     KP2M          59  08
QSO: 14286 PH 2016-10-30 1816 KE1U          59  05     ED8W          59  33
QSO: 14183 PH 2016-10-30 1820 KE1U          59  05     ZF1A          59  08
QSO: 14168 PH 2016-10-30 2222 KE1U          59  05     AA9A          59  04
QSO: 14240 PH 2016-10-30 2225 KE1U          59  05     HI3K          59  08
QSO: 14345 PH 2016-10-30 2235 KE1U          59  05     VP5A          59  08
QSO:  7155 PH 2016-10-30 2242 KE1U          59  05     CN2R          59  33
QSO:  7161 PH 2016-10-30 2244 KE1U          59  05     VA3SZ         59  04
QSO:  7163 PH 2016-10-30 2247 KE1U          59  05     HI3K          59  08
QSO:  7166 PH 2016-10-30 2248 KE1U          59  05     CR3A          59  33
END-OF-LOG:
