START-OF-LOG: 3.0
CALLSIGN: K3ZJ
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 20M
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 190704
NAME: David Siddall
LOCATION: WV
OPERATORS: K3ZJ
CLUB: Potomac Valley Radio Club
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.5969.0
SOAPBOX: The 20 meter reflector fell off the C31XR tribander the day
SOAPBOX: before the contest. But the remaining director & driven element
SOAPBOX: seemed to be useable as a 2-element beam with the short 13.6 foot
SOAPBOX: (4.14 meter) spacing. Given the predicted poor propagation, I
SOAPBOX: decided on 20 meter SOSB notwithstanding the impaired antenna.
SOAPBOX: Most QSOs were S&P because I never was able to run despite
SOAPBOX: multiple tries.  All weekend I had trouble even working EU.
SOAPBOX: But there were a couple of notable hours during which I felt
SOAPBOX: that the antenna worked miracles. Early Sunday morning, during an
SOAPBOX: hour or two of Pacific propagation, I worked multiple VK/ZL as
SOAPBOX: well as rarer VP6AH, A31MM, T32AZ, VK6NZ for zone 29, and FR4NT
SOAPBOX: long path for zone 39. Then, near the end of the contest, UP2L in
SOAPBOX: zone 17 broke through VERY late at 2230 and an hour later B7K in
SOAPBOX: zone 24 answered my first call through a deep pileup.
SOAPBOX: The final score is less than half the score I made two decades
SOAPBOX: ago when I last operated 20 meters single band in this contest.
SOAPBOX: But it always is a pleasure to get on the air and greet friends
SOAPBOX: and acquaintances old and new, no matter the score.
QSO: 14304 PH 2016-10-29 0008 K3ZJ          59  5      LQ7E          59  13
QSO: 14340 PH 2016-10-29 0009 K3ZJ          59  5      HR2DMR        59  07
QSO: 14347 PH 2016-10-29 0010 K3ZJ          59  5      ZZ2T          59  11
QSO: 14158 PH 2016-10-29 0011 K3ZJ          59  5      KH6LC         59  31
QSO: 14170 PH 2016-10-29 0013 K3ZJ          59  5      HK3C          59  09
QSO: 14188 PH 2016-10-29 0016 K3ZJ          59  5      KH6J          59  31
QSO: 14200 PH 2016-10-29 0017 K3ZJ          59  5      PP1CZ         59  11
QSO: 14210 PH 2016-10-29 0018 K3ZJ          59  5      TG9IGI        59  07
QSO: 14260 PH 2016-10-29 0024 K3ZJ          59  5      XE2AA         59  06
QSO: 14167 PH 2016-10-29 0028 K3ZJ          59  5      VP5DX         59  08
QSO: 14174 PH 2016-10-29 0028 K3ZJ          59  5      PY2YU         59  11
QSO: 14185 PH 2016-10-29 0033 K3ZJ          59  5      CE3NR         59  12
QSO: 14190 PH 2016-10-29 0034 K3ZJ          59  5      LT5X          59  13
QSO: 14210 PH 2016-10-29 0035 K3ZJ          59  5      NP3U          59  08
QSO: 14224 PH 2016-10-29 0040 K3ZJ          59  5      LP1H          59  13
QSO: 14168 PH 2016-10-29 0047 K3ZJ          59  5      CX4BW         59  13
QSO: 14181 PH 2016-10-29 0049 K3ZJ          59  5      CB1H          59  12
QSO: 14198 PH 2016-10-29 0052 K3ZJ          59  5      T48K          59  08
QSO: 14207 PH 2016-10-29 0057 K3ZJ          59  5      CE3CT         59  12
QSO: 14239 PH 2016-10-29 0103 K3ZJ          59  5      PS2T          59  11
QSO: 14243 PH 2016-10-29 0105 K3ZJ          59  5      ZY2A          59  11
QSO: 14172 PH 2016-10-29 0113 K3ZJ          59  5      ZP5CGL        59  11
QSO: 14213 PH 2016-10-29 0115 K3ZJ          59  5      PQ5B          59  11
QSO: 14229 PH 2016-10-29 0120 K3ZJ          59  5      K7HJE         59  05
QSO: 14219 PH 2016-10-29 0200 K3ZJ          59  5      OA4SS         59  10
QSO: 14183 PH 2016-10-29 0223 K3ZJ          59  5      CB3R          59  12
QSO: 14200 PH 2016-10-29 0224 K3ZJ          59  5      LU8YE         59  13
QSO: 14235 PH 2016-10-29 0230 K3ZJ          59  5      LU9MBY        59  13
QSO:  3799 PH 2016-10-29 0412 K3ZJ          59  5      E7DX          59  15
QSO:  3796 PH 2016-10-29 0413 K3ZJ          59  5      KP2DX         59  08
QSO:  3764 PH 2016-10-29 0420 K3ZJ          59  5      PJ2T          59  09
QSO:  3758 PH 2016-10-29 0420 K3ZJ          59  5      PJ4Q          59  09
QSO:  3749 PH 2016-10-29 0422 K3ZJ          59  5      XE2X          59  06
QSO:  3740 PH 2016-10-29 0423 K3ZJ          59  5      VC2T          59  05
QSO:  3709 PH 2016-10-29 0427 K3ZJ          59  5      VP2MDG        59  08
QSO:  3673 PH 2016-10-29 0428 K3ZJ          59  5      XL3A          59  04
QSO:  3670 PH 2016-10-29 0429 K3ZJ          59  5      HI3TEJ        59  08
QSO:  3660 PH 2016-10-29 0430 K3ZJ          59  5      EA3CI         59  14
QSO:  3651 PH 2016-10-29 0431 K3ZJ          59  5      EF1W          59  14
QSO:  3641 PH 2016-10-29 0432 K3ZJ          59  5      V47T          59  08
QSO:  3627 PH 2016-10-29 0433 K3ZJ          59  5      KP2M          59  08
QSO:  3619 PH 2016-10-29 0434 K3ZJ          59  5      VE9AA         59  05
QSO:  3613 PH 2016-10-29 0436 K3ZJ          59  5      P40W          59  09
QSO:  7177 PH 2016-10-29 0438 K3ZJ          59  5      EF8R          59  33
QSO: 14197 PH 2016-10-29 1116 K3ZJ          59  5      F5MUX         59  14
QSO: 14199 PH 2016-10-29 1120 K3ZJ          59  5      9A1A          59  15
QSO: 14199 PH 2016-10-29 1120 K3ZJ          59  5      F4FFH         59  14
QSO: 14240 PH 2016-10-29 1125 K3ZJ          59  5      TM4L          59  14
QSO: 14241 PH 2016-10-29 1126 K3ZJ          59  5      TM6M          59  14
QSO: 14215 PH 2016-10-29 1127 K3ZJ          59  5      HI3K          59  08
QSO: 14271 PH 2016-10-29 1139 K3ZJ          59  5      EC7WA         59  14
QSO: 14284 PH 2016-10-29 1141 K3ZJ          59  5      DR1A          59  14
QSO: 14288 PH 2016-10-29 1142 K3ZJ          59  5      M8C           59  14
QSO: 14301 PH 2016-10-29 1143 K3ZJ          59  5      HG8R          59  15
QSO: 14310 PH 2016-10-29 1143 K3ZJ          59  5      CN2AA         59  33
QSO: 14314 PH 2016-10-29 1144 K3ZJ          59  5      HB9EOU        59  14
QSO: 14336 PH 2016-10-29 1146 K3ZJ          59  5      IT9STX        59  15
QSO: 14162 PH 2016-10-29 1148 K3ZJ          59  5      S57DX         59  15
