START-OF-LOG: 3.0
CALLSIGN: VK3ER
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 3780
NAME: Eastern & Mountain District Radio Club
LOCATION: DX
OPERATORS: VK3BQ VK3MHY VK3FMPW
CLUB: VK CONTEST CLUB
CERTIFICATE: NO
CREATED-BY: VK3AVV VK Contest Log (Ver 3.14)
SOAPBOX: CLub Station of the eastern and Mountain District radio club
QSO: 14238 PH 2016-10-29 0754 VK3ER         59  30     ZL7G          59  32     0
QSO: 14216 PH 2016-10-29 0756 VK3ER         59  30     VK4QH         59  30     0
QSO: 14158 PH 2016-10-29 0759 VK3ER         59  30     A31MM         59  30     0
QSO: 14150 PH 2016-10-29 0800 VK3ER         59  30     K3LR          59  05     0
QSO: 14270 PH 2016-10-29 0804 VK3ER         59  30     ZL1DK         59  32     0
QSO: 14285 PH 2016-10-29 0809 VK3ER         59  30     JA3YBK        59  25     0
QSO: 14233 PH 2016-10-29 0813 VK3ER         59  30     B7P           59  24     0
QSO: 14177 PH 2016-10-29 0819 VK3ER         59  30     JI2ZJS        59  25     0
QSO: 14190 PH 2016-10-29 0824 VK3ER         59  30     9MIH          59  28     0
QSO: 14257 PH 2016-10-29 0833 VK3ER         59  30     E51AND        59  32     0
QSO: 14273 PH 2016-10-29 0834 VK3ER         59  30     JA7SFN        59  25     0
QSO: 14285 PH 2016-10-29 0836 VK3ER         59  30     JA3YDK        59  24     0
QSO: 14260 PH 2016-10-29 0842 VK3ER         59  30     ZL1SLO        59  32     0
QSO: 14260 PH 2016-10-29 0844 VK3ER         59  30     JK1NJH        59  25     0
QSO:  7149 PH 2016-10-29 0904 VK3ER         59  30     NR6Q          59  03     0
QSO:  7171 PH 2016-10-29 0920 VK3ER         59  30     RT0F          59  19     0
QSO:  7179 PH 2016-10-29 0928 VK3ER         59  30     N2IC          59  04     0
QSO:  7134 PH 2016-10-29 0930 VK3ER         59  30     WE3C          59  05     0
QSO:  7194 PH 2016-10-29 0932 VK3ER         59  30     VK4NM         59  30     0
QSO:  7130 PH 2016-10-29 0934 VK3ER         59  30     K3EST         59  03     0
QSO:  7140 PH 2016-10-29 0935 VK3ER         59  30     VK3GK         59  30     0
QSO:  7166 PH 2016-10-29 0937 VK3ER         59  30     YD9SBP        59  28     0
QSO:  7107 PH 2016-10-29 0941 VK3ER         59  30     ZL7G          59  32     0
QSO:  7174 PH 2016-10-29 0944 VK3ER         59  30     K5TR          59  04     0
QSO:  7155 PH 2016-10-29 0949 VK3ER         59  30     K3LR          59  05     0
QSO: 14223 PH 2016-10-29 1004 VK3ER         59  30     UP2L          59  17     0
QSO: 14284 PH 2016-10-29 1011 VK3ER         59  30     RT8U          59  18     0
QSO: 14278 PH 2016-10-29 1014 VK3ER         59  30     JE6RPM        59  25     0
QSO: 14268 PH 2016-10-29 1014 VK3ER         59  30     JH4UTP        59  25     0
QSO: 14254 PH 2016-10-29 1015 VK3ER         59  30     JR5YCE        59  25     0
QSO: 14238 PH 2016-10-29 1018 VK3ER         59  30     JJ2YKZ        59  25     0
QSO: 14238 PH 2016-10-29 1025 VK3ER         59  30     YE4IJ         59  28     0
QSO:  3797 PH 2016-10-29 1029 VK3ER         59  30     WE3C          59  05     0
QSO:  7120 PH 2016-10-29 1033 VK3ER         59  30     ZM1A          59  32     0
QSO:  7194 PH 2016-10-29 1057 VK3ER         59  30     VK4KW         59  32     0
QSO:  7150 PH 2016-10-29 1118 VK3ER         59  30     T42A          59  08     0
QSO:  7152 PH 2016-10-29 1119 VK3ER         59  30     JI1ICF        59  25     0
QSO:  7148 PH 2016-10-29 1137 VK3ER         59  30     VK6NC         59  29     0
QSO:  7155 PH 2016-10-29 1142 VK3ER         59  30     W7RN          59  03     0
QSO:  7168 PH 2016-10-29 1146 VK3ER         59  30     TI5W          59  07     0
QSO:  7181 PH 2016-10-29 1156 VK3ER         59  30     W3LPL         59  05     0
END-OF-LOG:
