START-OF-LOG: 3.0
CALLSIGN: VA3PDG
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: ROOKIE
CLAIMED-SCORE: 14805
NAME: Peter Darg
LOCATION: ONS
OPERATORS: VA3PDG
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5924.0
SOAPBOX: Enjoyed making those tough long contats on 15M this year with my
SOAPBOX: wire - horrible conditions but great fun all the same.
QSO: 14000 PH 2016-10-29 1259 VA3PDG        59  4      GW4BLE        59  14
QSO: 14000 PH 2016-10-29 1301 VA3PDG        59  4      HC0E          59  10
QSO: 14000 PH 2016-10-29 1302 VA3PDG        59  4      KN5TX         59  04
QSO: 14000 PH 2016-10-29 1312 VA3PDG        59  4      6Y4V          59  08
QSO: 14000 PH 2016-10-29 1313 VA3PDG        59  4      9A7A          59  15
QSO: 14000 PH 2016-10-29 1323 VA3PDG        59  4      TM7F          59  14
QSO: 14000 PH 2016-10-29 1325 VA3PDG        59  4      HK1T          59  09
QSO: 14000 PH 2016-10-29 1326 VA3PDG        59  4      PJ2T          59  09
QSO: 28000 PH 2016-10-29 1333 VA3PDG        59  4      ZF1A          59  08
QSO: 28000 PH 2016-10-29 1334 VA3PDG        59  4      NP3LY         59  08
QSO: 21000 PH 2016-10-29 1353 VA3PDG        59  4      VP5S          59  08
QSO: 14000 PH 2016-10-29 1402 VA3PDG        59  4      MD2C          59  14
QSO: 14000 PH 2016-10-29 1408 VA3PDG        59  4      K5TR          59  04
QSO: 14000 PH 2016-10-29 1412 VA3PDG        59  4      HK3C          59  09
QSO: 14000 PH 2016-10-29 1415 VA3PDG        59  4      EI7M          59  14
QSO: 14000 PH 2016-10-29 1416 VA3PDG        59  4      TM4L          59  14
QSO:  3500 PH 2016-10-29 1431 VA3PDG        59  4      K3LR          59  05
QSO: 14000 PH 2016-10-29 1437 VA3PDG        59  4      M4A           59  14
QSO: 14000 PH 2016-10-29 1444 VA3PDG        59  4      DM5TI         59  14
QSO: 14000 PH 2016-10-29 1447 VA3PDG        59  4      YT0W          59  15
QSO: 14000 PH 2016-10-29 1451 VA3PDG        59  4      N7DD          59  03
QSO: 14000 PH 2016-10-29 1616 VA3PDG        59  4      TM6M          59  14
QSO: 21000 PH 2016-10-29 1632 VA3PDG        59  4      ZF9CW         59  08
QSO: 21000 PH 2016-10-29 1639 VA3PDG        59  4      TI1T          59  07
QSO: 21000 PH 2016-10-29 1643 VA3PDG        59  4      T48K          59  08
QSO: 21000 PH 2016-10-29 1644 VA3PDG        59  4      IR4M          59  15
QSO: 21000 PH 2016-10-29 1646 VA3PDG        59  4      ED3X          59  14
QSO: 21000 PH 2016-10-29 1647 VA3PDG        59  4      CR6T          59  14
QSO: 21000 PH 2016-10-29 1708 VA3PDG        59  4      VC7R          59  03
QSO:  7000 PH 2016-10-29 1721 VA3PDG        59  4      K3LR          59  05
QSO: 14000 PH 2016-10-29 1727 VA3PDG        59  4      S50G          59  15
QSO: 14000 PH 2016-10-29 1730 VA3PDG        59  4      CR5C          59  14
QSO: 14000 PH 2016-10-29 2231 VA3PDG        59  4      N5CR          59  03
QSO:  7000 PH 2016-10-29 2241 VA3PDG        59  4      VE9AA         59  05
QSO:  7000 PH 2016-10-29 2243 VA3PDG        59  4      WW4LL         59  05
QSO:  7000 PH 2016-10-29 2247 VA3PDG        59  4      6Y4V          59  08
QSO:  7000 PH 2016-10-29 2248 VA3PDG        59  4      CN2AA         59  33
QSO:  7000 PH 2016-10-29 2250 VA3PDG        59  4      N0IJ          59  04
QSO:  7000 PH 2016-10-29 2251 VA3PDG        59  4      N4XL          59  05
QSO:  7000 PH 2016-10-29 2251 VA3PDG        59  4      N1YCQ         59  05
QSO:  7000 PH 2016-10-29 2255 VA3PDG        59  4      W9RN          59  04
QSO:  7000 PH 2016-10-29 2256 VA3PDG        59  4      W0AIH         59  04
QSO:  7000 PH 2016-10-29 2258 VA3PDG        59  4      W4EEY         59  05
QSO:  7000 PH 2016-10-29 2258 VA3PDG        59  4      K0KX          59  04
QSO:  3500 PH 2016-10-29 2301 VA3PDG        59  4      K2PM          59  04
QSO:  3500 PH 2016-10-29 2306 VA3PDG        59  4      VE3DC         59  04
QSO:  3500 PH 2016-10-29 2336 VA3PDG        59  4      WA3EKL        59  05
QSO:  3500 PH 2016-10-29 2342 VA3PDG        59  4      K1LZ          59  05
QSO:  3500 PH 2016-10-29 2345 VA3PDG        59  4      N1DD          59  05
QSO:  3500 PH 2016-10-29 2345 VA3PDG        59  4      AB3CV         59  05
QSO:  3500 PH 2016-10-29 2346 VA3PDG        59  4      KD8QYE        59  04
QSO:  3500 PH 2016-10-29 2346 VA3PDG        59  4      KC2YEA        59  05
QSO:  3500 PH 2016-10-29 2346 VA3PDG        59  4      W1CTN         59  05
QSO:  3500 PH 2016-10-29 2346 VA3PDG        59  4      W3NO          59  05
QSO:  3500 PH 2016-10-29 2346 VA3PDG        59  4      WX3B          59  05
QSO:  3500 PH 2016-10-29 2347 VA3PDG        59  4      WZ8P          59  04
QSO:  3500 PH 2016-10-29 2347 VA3PDG        59  4      NA2U          59  05
QSO:  3500 PH 2016-10-29 2347 VA3PDG        59  4      K3PA          59  04
QSO:  3500 PH 2016-10-29 2347 VA3PDG        59  4      N0FW          59  04
QSO:  3500 PH 2016-10-29 2347 VA3PDG        59  4      AA3B          59  05
QSO:  3500 PH 2016-10-29 2348 VA3PDG        59  4      WA2CP         59  05
QSO:  3500 PH 2016-10-29 2348 VA3PDG        59  4      N8XCO         59  04
QSO:  3500 PH 2016-10-29 2348 VA3PDG        59  4      WB2AIV        59  05
QSO:  3500 PH 2016-10-29 2349 VA3PDG        59  4      K3IPK         59  05
QSO:  3500 PH 2016-10-29 2349 VA3PDG        59  4      WA3QWA        59  05
QSO:  3500 PH 2016-10-29 2349 VA3PDG        59  4      K5FUV         59  04
QSO:  3500 PH 2016-10-29 2350 VA3PDG        59  4      KC1BOH        59  05
QSO:  3500 PH 2016-10-29 2350 VA3PDG        59  4      K8AC          59  05
QSO:  3500 PH 2016-10-29 2350 VA3PDG        59  4      N1IBM         59  05
QSO:  3500 PH 2016-10-29 2350 VA3PDG        59  4      K3DMG         59  04
QSO:  3500 PH 2016-10-29 2351 VA3PDG        59  4      W5PR          59  04
QSO:  3500 PH 2016-10-29 2351 VA3PDG        59  4      K8MFO         59  04
QSO:  3500 PH 2016-10-29 2351 VA3PDG        59  4      W0AIH         59  04
QSO:  3500 PH 2016-10-29 2351 VA3PDG        59  4      W3KB          59  05
QSO:  3500 PH 2016-10-29 2352 VA3PDG        59  4      N3JON         59  05
QSO:  3500 PH 2016-10-29 2352 VA3PDG        59  4      AB3CX         59  05
QSO:  3500 PH 2016-10-29 2353 VA3PDG        59  4      AC9GK         59  04
QSO:  3500 PH 2016-10-29 2353 VA3PDG        59  4      N3JG          59  05
QSO:  3500 PH 2016-10-29 2353 VA3PDG        59  4      W2CG          59  05
QSO:  3500 PH 2016-10-29 2354 VA3PDG        59  4      WB2P          59  05
QSO:  3500 PH 2016-10-29 2354 VA3PDG        59  4      NE3F          59  05
QSO:  3500 PH 2016-10-29 2355 VA3PDG        59  4      WI9Z          59  04
QSO:  3500 PH 2016-10-29 2355 VA3PDG        59  4      AJ4A          59  04
QSO:  3500 PH 2016-10-29 2356 VA3PDG        59  4      K9NO          59  04
QSO:  3500 PH 2016-10-29 2356 VA3PDG        59  4      W3ZX          59  05
QSO:  3500 PH 2016-10-29 2356 VA3PDG        59  4      WE9V          59  04
QSO:  3500 PH 2016-10-29 2356 VA3PDG        59  4      N8OQ          59  05
QSO:  3500 PH 2016-10-29 2358 VA3PDG        59  4      WE3C          59  05
QSO:  3500 PH 2016-10-29 2358 VA3PDG        59  4      K9IMM         59  04
QSO:  3500 PH 2016-10-29 2359 VA3PDG        59  4      VE3FI         59  04
QSO:  3500 PH 2016-10-30 0000 VA3PDG        59  4      K5EK          59  05
QSO:  3500 PH 2016-10-30 0000 VA3PDG        59  4      VA3UG         59  04
QSO:  3500 PH 2016-10-30 0001 VA3PDG        59  4      KE4S          59  05
QSO:  3500 PH 2016-10-30 0001 VA3PDG        59  4      K0ACP         59  04
QSO:  3500 PH 2016-10-30 0001 VA3PDG        59  4      VA3MGN        59  04
QSO:  3500 PH 2016-10-30 0002 VA3PDG        59  4      K3ORC         59  05
QSO:  3500 PH 2016-10-30 0002 VA3PDG        59  4      NZ3O          59  05
QSO:  3500 PH 2016-10-30 0002 VA3PDG        59  4      K3MAW         59  05
QSO:  3500 PH 2016-10-30 0002 VA3PDG        59  4      W1HI          59  05
QSO:  3500 PH 2016-10-30 0003 VA3PDG        59  4      K7LU          59  05
QSO:  3500 PH 2016-10-30 0003 VA3PDG        59  4      KQ4LA         59  05
QSO: 21000 PH 2016-10-30 1235 VA3PDG        59  4      KP4KE         59  08
QSO: 21000 PH 2016-10-30 1250 VA3PDG        59  4      EF8R          59  33
QSO: 21000 PH 2016-10-30 1253 VA3PDG        59  4      AD4Z          59  05
QSO: 21000 PH 2016-10-30 1256 VA3PDG        59  4      ED8W          59  33
QSO: 21000 PH 2016-10-30 1300 VA3PDG        59  4      NP2P          59  08
QSO: 21000 PH 2016-10-30 1302 VA3PDG        59  4      WP3C          59  08
QSO: 21000 PH 2016-10-30 1303 VA3PDG        59  4      FG4KH         59  08
QSO: 21000 PH 2016-10-30 2204 VA3PDG        59  4      HC2AO         59  10
QSO: 21000 PH 2016-10-30 2205 VA3PDG        59  4      PT2CM         59  11
QSO: 21000 PH 2016-10-30 2208 VA3PDG        59  4      KH6J          59  31
END-OF-LOG:
