START-OF-LOG: 3.0
CALLSIGN: XE2G
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: ROOKIE
CLAIMED-SCORE: 75284
NAME: Carlos G. Hernandez B.
LOCATION: DX
OPERATORS: XE2G
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5966.0
SOAPBOX: Very glad to participate first time with an  electronic log.
SOAPBOX: Thanks for the Q's and your patience.
QSO: 14000 PH 2016-10-29 0148 XE2G          59  6      CW5W          59  13
QSO: 14000 PH 2016-10-29 0153 XE2G          59  6      LT1F          59  13
QSO: 14000 PH 2016-10-29 0204 XE2G          59  6      KK6CPH        59  03
QSO: 14000 PH 2016-10-29 0205 XE2G          59  6      KM6G          59  03
QSO: 14000 PH 2016-10-29 0206 XE2G          59  6      KM6CTH        59  03
QSO: 14000 PH 2016-10-29 0251 XE2G          59  6      XE2AU         59  06
QSO: 14000 PH 2016-10-29 0317 XE2G          59  6      LU8YE         59  13
QSO: 14000 PH 2016-10-29 0321 XE2G          59  6      HC0E          59  10
QSO: 14000 PH 2016-10-29 0325 XE2G          59  6      PY6FO         59  11
QSO: 14000 PH 2016-10-29 0332 XE2G          59  6      CW1DC         59  13
QSO: 14000 PH 2016-10-29 0334 XE2G          59  6      CB1W          59  12
QSO: 14000 PH 2016-10-29 0343 XE2G          59  6      N5YA          59  04
QSO: 14000 PH 2016-10-29 0346 XE2G          59  6      PY2YU         59  11
QSO: 14000 PH 2016-10-29 0352 XE2G          59  6      XE2AMS        59  06
QSO:  7000 PH 2016-10-29 0456 XE2G          59  6      NN3W          59  05
QSO:  7000 PH 2016-10-29 0456 XE2G          59  6      PQ5B          59  11
QSO:  3500 PH 2016-10-29 0509 XE2G          59  6      P40L          59  09
QSO:  3500 PH 2016-10-29 0512 XE2G          59  6      W0AIH         59  04
QSO:  3500 PH 2016-10-29 0524 XE2G          59  6      XE2LVM        59  06
QSO:  3500 PH 2016-10-29 0529 XE2G          59  6      K5WA          59  04
QSO:  3500 PH 2016-10-29 0529 XE2G          59  6      KM5WM         59  04
QSO:  3500 PH 2016-10-29 0548 XE2G          59  6      SK6AW         59  14
QSO: 14000 PH 2016-10-29 0553 XE2G          59  6      9Y4D          59  00
QSO: 14000 PH 2016-10-29 1314 XE2G          59  6      W9RE          59  04
QSO: 14000 PH 2016-10-29 1319 XE2G          59  6      ED8W          59  33
QSO: 14000 PH 2016-10-29 1322 XE2G          59  6      KN5TX         59  04
QSO: 14000 PH 2016-10-29 1326 XE2G          59  6      IR4M          59  15
QSO: 14000 PH 2016-10-29 1340 XE2G          59  6      IB4K          59  15
QSO: 14000 PH 2016-10-29 1340 XE2G          59  6      CR5C          59  14
QSO: 14000 PH 2016-10-29 1353 XE2G          59  6      KC5DI         59  04
QSO: 28000 PH 2016-10-29 1402 XE2G          59  6      HK3TK         59  09
QSO: 28000 PH 2016-10-29 1406 XE2G          59  6      YV6CR         59  09
QSO: 28000 PH 2016-10-29 1410 XE2G          59  6      ZF1A          59  08
QSO: 28000 PH 2016-10-29 1412 XE2G          59  6      CB1W          59  12
QSO: 28000 PH 2016-10-29 1416 XE2G          59  6      8P1W          59  08
QSO: 28000 PH 2016-10-29 1423 XE2G          59  6      W1RY          59  05
QSO: 28000 PH 2016-10-29 1426 XE2G          59  6      5H3EE         59  37
QSO: 28000 PH 2016-10-29 1434 XE2G          59  6      EE8V          59  33
QSO: 28000 PH 2016-10-29 1437 XE2G          59  6      T48K          59  08
QSO: 28000 PH 2016-10-29 1442 XE2G          59  6      HI3TEJ        59  08
QSO: 28000 PH 2016-10-29 1446 XE2G          59  6      FY5KE         59  09
QSO: 28000 PH 2016-10-29 1448 XE2G          59  6      WX3B          59  05
QSO: 28000 PH 2016-10-29 1452 XE2G          59  6      PW2D          59  11
QSO: 28000 PH 2016-10-29 1502 XE2G          59  6      TI1T          59  07
QSO: 28000 PH 2016-10-29 1507 XE2G          59  6      CX2DK         59  13
QSO: 28000 PH 2016-10-29 1523 XE2G          59  6      WE3C          59  05
QSO: 28000 PH 2016-10-29 1524 XE2G          59  6      LU7HN         59  13
QSO: 28000 PH 2016-10-29 1538 XE2G          59  6      TI5/W4TTT     59  07
QSO: 14000 PH 2016-10-30 0103 XE2G          59  6      9Y4D          59  09
QSO: 14000 PH 2016-10-30 0106 XE2G          59  6      VA7FC         59  03
QSO: 14000 PH 2016-10-30 0111 XE2G          59  6      N7XP          59  03
QSO: 14000 PH 2016-10-30 0112 XE2G          59  6      K7ZS          59  03
QSO: 14000 PH 2016-10-30 0112 XE2G          59  6      W6MOB         59  03
QSO: 14000 PH 2016-10-30 0118 XE2G          59  6      N5AW          59  04
QSO: 14000 PH 2016-10-30 0120 XE2G          59  6      K3ZJ          59  05
QSO: 14000 PH 2016-10-30 0121 XE2G          59  6      VA7CRZ        59  03
QSO: 14000 PH 2016-10-30 0121 XE2G          59  6      WE6EZ         59  04
QSO: 14000 PH 2016-10-30 0122 XE2G          59  6      W7XQ          59  03
QSO: 14000 PH 2016-10-30 0123 XE2G          59  6      KG7MXL        59  03
QSO: 14000 PH 2016-10-30 0124 XE2G          59  6      W7CAR         59  03
QSO: 14000 PH 2016-10-30 0125 XE2G          59  6      NC7M          59  03
QSO: 14000 PH 2016-10-30 0126 XE2G          59  6      WC0PL         59  04
QSO: 14000 PH 2016-10-30 0132 XE2G          59  6      N7DD          59  03
QSO: 14000 PH 2016-10-30 0133 XE2G          59  6      N5KWE         59  04
QSO: 14000 PH 2016-10-30 0136 XE2G          59  6      N0OST         59  04
QSO: 14000 PH 2016-10-30 0136 XE2G          59  6      KE3X          59  05
QSO: 14000 PH 2016-10-30 0137 XE2G          59  6      W3LPL         59  05
QSO: 14000 PH 2016-10-30 0137 XE2G          59  6      N3NR          59  05
QSO: 14000 PH 2016-10-30 0137 XE2G          59  6      AA3J          59  05
QSO: 14000 PH 2016-10-30 0138 XE2G          59  6      K5KG          59  05
QSO: 14000 PH 2016-10-30 0138 XE2G          59  6      K3LR          59  05
QSO: 14000 PH 2016-10-30 0138 XE2G          59  6      WA3C          59  04
QSO: 14000 PH 2016-10-30 0139 XE2G          59  6      AF7EL         59  03
QSO: 14000 PH 2016-10-30 0139 XE2G          59  6      W8PR          59  04
QSO: 14000 PH 2016-10-30 0139 XE2G          59  6      N5VU          59  04
QSO: 14000 PH 2016-10-30 0140 XE2G          59  6      K9ES          59  04
QSO: 14000 PH 2016-10-30 0140 XE2G          59  6      WE3C          59  05
QSO: 14000 PH 2016-10-30 0141 XE2G          59  6      AA7V          59  03
QSO: 14000 PH 2016-10-30 0141 XE2G          59  6      W5TKO         59  04
QSO: 14000 PH 2016-10-30 0143 XE2G          59  6      N7AT          59  03
QSO: 14000 PH 2016-10-30 0143 XE2G          59  6      K5SPP         59  04
QSO: 14000 PH 2016-10-30 0145 XE2G          59  6      KJ5Y          59  04
QSO: 14000 PH 2016-10-30 0146 XE2G          59  6      K7LLA         59  03
QSO: 14000 PH 2016-10-30 0148 XE2G          59  6      A5XD          59  22
