START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: DF5BM
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
LOCATION: DX
CLAIMED-SCORE: 177514
CREATED-BY: UcxLog 7.64
NAME: Uwe Bobolz
CLUB: RHEIN RUHR DX ASSOCIATION
SOAPBOX: Poor conditions, most of the QSO's with EU.
SOAPBOX: However, I enjoyed the contest. Thank you to all. DF5BM
QSO:  7000 PH 2016-10-29 0001 DF5BM         59  14     SX9C          59  20     0
QSO:  7000 PH 2016-10-29 0005 DF5BM         59  14     EW6W          59  16     0
QSO:  7000 PH 2016-10-29 0011 DF5BM         59  14     IQ2DN         59  15     0
QSO:  7000 PH 2016-10-29 0012 DF5BM         59  14     3V8SS         59  33     0
QSO:  7000 PH 2016-10-29 0015 DF5BM         59  14     ES6RW         59  15     0
QSO:  7000 PH 2016-10-29 0016 DF5BM         59  14     8P5A          59  08     0
QSO:  7000 PH 2016-10-29 0020 DF5BM         59  14     IO5O          59  15     0
QSO:  7000 PH 2016-10-29 0021 DF5BM         59  14     SN7H          59  15     0
QSO:  7000 PH 2016-10-29 0022 DF5BM         59  14     IR4M          59  15     0
QSO:  7000 PH 2016-10-29 0025 DF5BM         59  14     UW2M          59  16     0
QSO:  7000 PH 2016-10-29 0025 DF5BM         59  14     UW1M          59  16     0
QSO:  7000 PH 2016-10-29 0033 DF5BM         59  14     RG6G          59  16     0
QSO:  7000 PH 2016-10-29 0036 DF5BM         59  14     HG7T          59  15     0
QSO:  7000 PH 2016-10-29 0042 DF5BM         59  14     HG6N          59  15     0
QSO:  7000 PH 2016-10-29 0043 DF5BM         59  14     SN8B          59  15     0
QSO:  7000 PH 2016-10-29 0045 DF5BM         59  14     EA9LZ         59  33     0
QSO:  7000 PH 2016-10-29 0055 DF5BM         59  14     9K2HN         59  21     0
QSO:  7000 PH 2016-10-29 0059 DF5BM         59  14     IT9DGG        59  15     0
QSO:  7000 PH 2016-10-29 0100 DF5BM         59  14     YP7P          59  20     0
QSO:  7000 PH 2016-10-29 0100 DF5BM         59  14     OM8A          59  15     0
QSO:  7000 PH 2016-10-29 0103 DF5BM         59  14     V47T          59  08     0
QSO:  7000 PH 2016-10-29 0107 DF5BM         59  14     OM7M          59  15     0
QSO:  7000 PH 2016-10-29 0109 DF5BM         59  14     YT0A          59  15     0
QSO:  7000 PH 2016-10-29 0112 DF5BM         59  14     HG1S          59  15     0
QSO: 14000 PH 2016-10-29 0117 DF5BM         59  14     OH8L          59  15     0
QSO: 14000 PH 2016-10-29 0118 DF5BM         59  14     YT1A          59  15     0
QSO: 14000 PH 2016-10-29 0118 DF5BM         59  14     YT5A          59  15     0
QSO: 14000 PH 2016-10-29 0119 DF5BM         59  14     OH8X          59  15     0
QSO:  3500 PH 2016-10-29 0129 DF5BM         59  14     TM1A          59  14     0
QSO:  3500 PH 2016-10-29 0131 DF5BM         59  14     YP0C          59  20     0
QSO:  3500 PH 2016-10-29 0132 DF5BM         59  14     IR3Z          59  15     0
QSO:  3500 PH 2016-10-29 0132 DF5BM         59  14     YT4T          59  15     0
QSO:  3500 PH 2016-10-29 0133 DF5BM         59  14     IR8P          59  15     0
QSO:  3500 PH 2016-10-29 0135 DF5BM         59  14     US0HZ         59  16     0
QSO:  3500 PH 2016-10-29 0135 DF5BM         59  14     EA3CI         59  14     0
QSO:  3500 PH 2016-10-29 0137 DF5BM         59  14     YP7P          59  20     0
QSO:  3500 PH 2016-10-29 0138 DF5BM         59  14     S56Y          59  15     0
QSO:  3500 PH 2016-10-29 0139 DF5BM         59  14     HB2K          59  14     0
QSO:  3500 PH 2016-10-29 0140 DF5BM         59  14     RV3FF         59  16     0
QSO:  3500 PH 2016-10-29 0140 DF5BM         59  14     F4FFZ         59  14     0
QSO:  3500 PH 2016-10-29 0143 DF5BM         59  14     S58N          59  15     0
QSO:  3500 PH 2016-10-29 0144 DF5BM         59  14     HG1G          59  15     0
QSO:  3500 PH 2016-10-29 0145 DF5BM         59  14     EA2LMI        59  14     0
QSO:  3500 PH 2016-10-29 0146 DF5BM         59  14     IT9RBW        59  15     0
QSO:  3500 PH 2016-10-29 0148 DF5BM         59  14     II1K          59  15     0
QSO:  3500 PH 2016-10-29 0149 DF5BM         59  14     LY4A          59  15     0
QSO:  3500 PH 2016-10-29 0150 DF5BM         59  14     SO4R          59  15     0
QSO:  3500 PH 2016-10-29 0151 DF5BM         59  14     UB7K          59  16     0
QSO:  3500 PH 2016-10-29 0152 DF5BM         59  14     UW2M          59  16     0
QSO:  3500 PH 2016-10-29 0153 DF5BM         59  14     YT8A          59  15     0
QSO:  3500 PH 2016-10-29 0153 DF5BM         59  14     S54ZZ         59  15     0
QSO:  3500 PH 2016-10-29 0156 DF5BM         59  14     9A8M          59  15     0
QSO:  3500 PH 2016-10-29 0157 DF5BM         59  14     IO2X          59  15     0
QSO:  3500 PH 2016-10-29 0159 DF5BM         59  14     EA3PT         59  14     0
QSO:  3500 PH 2016-10-29 0200 DF5BM         59  14     9A1A          59  15     0
QSO:  3500 PH 2016-10-29 0204 DF5BM         59  14     S57AW         59  15     0
QSO:  3500 PH 2016-10-29 0204 DF5BM         59  14     TM6M          59  14     0
QSO:  3500 PH 2016-10-29 0205 DF5BM         59  14     9A703B        59  15     0
QSO:  3500 PH 2016-10-29 0205 DF5BM         59  14     HG7T          59  15     0
