START-OF-LOG: 3.0
CALLSIGN: G4MAD
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 224
NAME: Paddy O'Reilly
LOCATION: DX
OPERATORS: G4MAD
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5327.0
SOAPBOX: Just a scant half hour for a bit of fun
QSO:  7000 PH 2016-10-30 1020 G4MAD         59  14     OK7K          59  15
QSO:  7000 PH 2016-10-30 1021 G4MAD         59  14     DF0HQ         59  14
QSO:  7000 PH 2016-10-30 1023 G4MAD         59  14     PI4M          59  14
QSO: 14000 PH 2016-10-30 1025 G4MAD         59  14     RW3XZ         59  16
QSO: 14000 PH 2016-10-30 1030 G4MAD         59  14     RT5K          59  16
QSO: 14000 PH 2016-10-30 1032 G4MAD         59  14     EF1W          59  14
QSO: 14000 PH 2016-10-30 1033 G4MAD         59  14     IR6T          59  15
QSO: 14000 PH 2016-10-30 1035 G4MAD         59  14     OK2RZ         59  15
QSO: 14000 PH 2016-10-30 1035 G4MAD         59  14     UA3ABJ        59  16
QSO: 14000 PH 2016-10-30 1037 G4MAD         59  14     UT0U          59  16
QSO: 14000 PH 2016-10-30 1039 G4MAD         59  14     RT2A          59  16
QSO: 14000 PH 2016-10-30 1040 G4MAD         59  14     OM7M          59  15
QSO: 14000 PH 2016-10-30 1042 G4MAD         59  14     UR3GU         59  16
QSO: 14000 PH 2016-10-30 1043 G4MAD         59  14     RM5A          59  16
QSO: 14000 PH 2016-10-30 1044 G4MAD         59  14     EC7WA         59  14
QSO: 14000 PH 2016-10-30 1045 G4MAD         59  14     EA2DR         59  14
END-OF-LOG:
