START-OF-LOG: 3.0
CALLSIGN: WP2SC
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: ROOKIE
CLAIMED-SCORE: 20615
NAME: Sean Cullinan
LOCATION: VI
OPERATORS: WP2SC
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5966.0
SOAPBOX: First licensed 10/1/2015 so Rookie overlay requested.  Great time!
QSO: 14250 PH 2016-10-29 0058 WP2SC         59  8      PW2D          59  11
QSO: 14239 PH 2016-10-29 0100 WP2SC         59  8      PS2T          59  11
QSO: 14282 PH 2016-10-29 0101 WP2SC         59  8      ZW8T          59  11
QSO:  7243 PH 2016-10-29 0108 WP2SC         59  8      AA9A          59  04
QSO:  7198 PH 2016-10-29 0109 WP2SC         59  8      EI7M          59  14
QSO:  7179 PH 2016-10-29 0114 WP2SC         59  8      E7DX          59  15
QSO:  7191 PH 2016-10-29 0116 WP2SC         59  8      II2S          59  15
QSO:  7194 PH 2016-10-29 0117 WP2SC         59  8      OK7W          59  15
QSO:  7218 PH 2016-10-29 0119 WP2SC         59  8      NP2N          59  08
QSO:  3844 PH 2016-10-29 0122 WP2SC         59  8      PJ2T          59  09
QSO:  1856 PH 2016-10-29 0125 WP2SC         59  8      NP2J          59  08
QSO: 14255 PH 2016-10-29 0128 WP2SC         59  8      PZ5K          59  09
QSO: 14266 PH 2016-10-29 0129 WP2SC         59  8      FY5KE         59  09
QSO:  7175 PH 2016-10-29 0134 WP2SC         59  8      9A7A          59  15
QSO:  7230 PH 2016-10-29 0153 WP2SC         59  8      KG8CW         59  04
QSO:  7208 PH 2016-10-29 0156 WP2SC         59  8      PQ5B          59  11
QSO:  7187 PH 2016-10-29 0200 WP2SC         59  8      ED7O          59  14
QSO:  7178 PH 2016-10-29 0324 WP2SC         59  8      HG1S          59  15
QSO:  7236 PH 2016-10-29 0332 WP2SC         59  8      XL3A          59  04
QSO:  7247 PH 2016-10-29 0333 WP2SC         59  8      W0AIH         59  04
QSO:  7275 PH 2016-10-29 0335 WP2SC         59  8      ZZ2T          59  11
QSO:  7179 PH 2016-10-29 0338 WP2SC         59  8      S56X          59  15
QSO:  7217 PH 2016-10-29 0344 WP2SC         59  8      P40L          59  09
QSO:  7200 PH 2016-10-29 0347 WP2SC         59  8      S58M          59  15
QSO:  7199 PH 2016-10-29 0352 WP2SC         59  8      HA8FM         59  15
QSO:  7194 PH 2016-10-29 0407 WP2SC         59  8      EA9LZ         59  33
QSO: 21300 PH 2016-10-29 1230 WP2SC         59  8      4X6TT         59  20
QSO: 21313 PH 2016-10-29 1231 WP2SC         59  8      9A1A          59  15
QSO: 21330 PH 2016-10-29 1231 WP2SC         59  8      PC2T          59  14
QSO: 21385 PH 2016-10-29 1233 WP2SC         59  8      UB7K          59  16
QSO: 21403 PH 2016-10-29 1233 WP2SC         59  8      KP2M          59  08
QSO: 21441 PH 2016-10-29 1234 WP2SC         59  8      CR2B          59  14
QSO: 21309 PH 2016-10-29 1235 WP2SC         59  8      LZ9W          59  20
QSO: 21293 PH 2016-10-29 1236 WP2SC         59  8      TM6M          59  14
QSO: 28455 PH 2016-10-29 1239 WP2SC         59  8      KP2M          59  08
QSO: 28410 PH 2016-10-29 1240 WP2SC         59  8      ZW8T          59  11
QSO: 21339 PH 2016-10-29 1245 WP2SC         59  8      S50K          59  15
QSO: 21341 PH 2016-10-29 1246 WP2SC         59  8      DL1T          59  14
QSO: 21379 PH 2016-10-29 1247 WP2SC         59  8      9A1P          59  15
QSO: 28499 PH 2016-10-29 1251 WP2SC         59  8      ED7O          59  14
QSO: 28419 PH 2016-10-29 1423 WP2SC         59  8      6W1RY         59  35
QSO: 28537 PH 2016-10-29 1427 WP2SC         59  8      WA1F          59  05
QSO: 28532 PH 2016-10-29 1428 WP2SC         59  8      EF8R          59  33
QSO: 21418 PH 2016-10-29 1432 WP2SC         59  8      P33W          59  20
QSO: 21354 PH 2016-10-29 1435 WP2SC         59  8      CR6T          59  14
QSO: 21343 PH 2016-10-29 1436 WP2SC         59  8      OK3C          59  15
QSO: 21333 PH 2016-10-29 1437 WP2SC         59  8      IZ8IEV        59  15
QSO: 21330 PH 2016-10-29 1437 WP2SC         59  8      TM2T          59  14
QSO: 21327 PH 2016-10-29 1438 WP2SC         59  8      TG9IIN        59  07
QSO: 21317 PH 2016-10-29 1442 WP2SC         59  8      6Y4V          59  08
QSO: 21275 PH 2016-10-29 1442 WP2SC         59  8      IO5O          59  15
QSO: 14264 PH 2016-10-29 1446 WP2SC         59  8      9Y4D          59  09
QSO: 14226 PH 2016-10-29 1451 WP2SC         59  8      HK3C          59  09
QSO: 21285 PH 2016-10-29 1629 WP2SC         59  8      DF0HQ         59  14
QSO: 21290 PH 2016-10-29 1629 WP2SC         59  8      IZ5CMI        59  15
QSO: 21292 PH 2016-10-29 1631 WP2SC         59  8      ED7O          59  14
QSO: 21322 PH 2016-10-29 1632 WP2SC         59  8      E7DX          59  15
QSO: 21316 PH 2016-10-29 1657 WP2SC         59  8      EA7ATX        59  14
QSO: 21306 PH 2016-10-29 1658 WP2SC         59  8      EA5RM         59  14
QSO: 21295 PH 2016-10-29 1658 WP2SC         59  8      EA7KB         59  14
QSO: 21275 PH 2016-10-29 1659 WP2SC         59  8      ED8W          59  33
QSO: 21442 PH 2016-10-29 1704 WP2SC         59  8      CR3A          59  33
QSO: 21438 PH 2016-10-29 1706 WP2SC         59  8      N2RJ          59  05
QSO: 21342 PH 2016-10-29 1708 WP2SC         59  8      CQ8M          59  14
QSO: 21306 PH 2016-10-29 1709 WP2SC         59  8      EA5RM         59  14
QSO: 21284 PH 2016-10-29 1735 WP2SC         59  8      EA4TX         59  14
QSO: 21277 PH 2016-10-29 1752 WP2SC         59  8      PX2B          59  11
QSO:  7213 PH 2016-10-30 0811 WP2SC         59  8      P40L          59  09
QSO:  7200 PH 2016-10-30 0811 WP2SC         59  8      PZ5K          59  09
QSO:  7192 PH 2016-10-30 0814 WP2SC         59  8      KP2M          59  08
QSO:  7183 PH 2016-10-30 0814 WP2SC         59  8      PJ4Q          59  09
QSO:  3804 PH 2016-10-30 0822 WP2SC         59  8      KP2M          59  08
QSO:  7176 PH 2016-10-30 0827 WP2SC         59  8      ED8W          59  33
QSO:  7200 PH 2016-10-30 0828 WP2SC         59  8      PZ5K          59  09
QSO:  7204 PH 2016-10-30 0830 WP2SC         59  8      K1KI          59  05
QSO: 21420 PH 2016-10-30 1754 WP2SC         59  8      PZ5K          59  09
QSO: 21385 PH 2016-10-30 1755 WP2SC         59  8      D4C           59  35
QSO: 21334 PH 2016-10-30 1757 WP2SC         59  8      VE9CB         59  05
QSO: 21328 PH 2016-10-30 1757 WP2SC         59  8      NP2N          59  08
QSO: 21321 PH 2016-10-30 1758 WP2SC         59  8      EF8U          59  33
QSO: 21293 PH 2016-10-30 1800 WP2SC         59  8      K5WA          59  04
QSO: 14276 PH 2016-10-30 1802 WP2SC         59  8      KP2M          59  08
QSO: 14336 PH 2016-10-30 1803 WP2SC         59  8      CR5C          59  14
QSO: 14348 PH 2016-10-30 1804 WP2SC         59  8      CT3HF         59  33
QSO: 28463 PH 2016-10-30 1806 WP2SC         59  8      PW2D          59  11
QSO: 28377 PH 2016-10-30 1807 WP2SC         59  8      CX2DK         59  13
