START-OF-LOG: 3.0
LOCATION: DX
CONTEST: CQ-WW-SSB
CALLSIGN: JI3CJO
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-MODE: SSB
CATEGORY-POWER: QRP
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 10M
CLAIMED-SCORE: 468
OPERATORS:
CLUB:
CREATED-BY: CTESTWIN by JI1AQY
NAME: Motoi Ishiyama
SOAPBOX: I enjoyed the contest by QRP using homebrew 2EL HB9CV beam.
QSO: 28000 PH 2016-10-29 0216 JI3CJO        59  25     KH6J          59  31     0
QSO: 28000 PH 2016-10-29 2304 JI3CJO        59  25     CX2DK         59  13     0
QSO: 28000 PH 2016-10-29 2347 JI3CJO        59  25     LU7HN         59  13     0
QSO: 28000 PH 2016-10-29 2348 JI3CJO        59  25     KH6LC         59  31     0
QSO: 28000 PH 2016-10-30 0007 JI3CJO        59  25     LU9FHF        59  13     0
QSO: 28000 PH 2016-10-30 0010 JI3CJO        59  25     LU3HS         59  13     0
QSO: 28000 PH 2016-10-30 0024 JI3CJO        59  25     CV7S          59  13     0
QSO: 28000 PH 2016-10-30 0026 JI3CJO        59  25     AH2R          59  27     0
QSO: 28000 PH 2016-10-30 0230 JI3CJO        59  25     B1W           59  24     0
QSO: 28000 PH 2016-10-30 0232 JI3CJO        59  25     JT5DX         59  23     0
QSO: 28000 PH 2016-10-30 0403 JI3CJO        59  25     BY2AA         59  24     0
QSO: 28000 PH 2016-10-30 0512 JI3CJO        59  25     AH0K          59  27     0
QSO: 28000 PH 2016-10-30 2257 JI3CJO        59  25     KH7CW         59  31     0
QSO: 28000 PH 2016-10-30 2310 JI3CJO        59  25     CX4DX         59  13     0
QSO: 28000 PH 2016-10-30 2332 JI3CJO        59  25     LW1EUD        59  13     0
END-OF-LOG:
