START-OF-LOG: 3.0
CALLSIGN: W6BHZ
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 51876
NAME: Cal Poly Amateur Radio Club
LOCATION: SB
OPERATORS: W6BHZ
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.5966.0
SOAPBOX: Enjoyable weekend. Hope to hear everyone again next year!
QSO: 14000 PH 2016-10-29 0031 W6BHZ         59  03     TI5M          59  07
QSO: 21000 PH 2016-10-29 0041 W6BHZ         59  03     VK4NM         59  30
QSO: 21000 PH 2016-10-29 0044 W6BHZ         59  03     VK4KW         59  30
QSO: 21000 PH 2016-10-29 0048 W6BHZ         59  03     NH2DX         59  27
QSO: 21000 PH 2016-10-29 0049 W6BHZ         59  03     JA7ZFN        59  25
QSO: 21000 PH 2016-10-29 0052 W6BHZ         59  03     ZL3TE         59  32
QSO: 21000 PH 2016-10-29 0053 W6BHZ         59  03     KH6CJJ        59  31
QSO: 21000 PH 2016-10-29 0056 W6BHZ         59  03     AH2R          59  27
QSO: 21000 PH 2016-10-29 0057 W6BHZ         59  03     JA7YRR        59  25
QSO: 21000 PH 2016-10-29 0058 W6BHZ         59  03     V6Z           59  27
QSO: 14000 PH 2016-10-29 0106 W6BHZ         59  03     PS2T          59  11
QSO: 14000 PH 2016-10-29 0110 W6BHZ         59  03     LP1H          59  13
QSO: 14000 PH 2016-10-29 0112 W6BHZ         59  03     W0AIH         59  04
QSO: 14000 PH 2016-10-29 0122 W6BHZ         59  03     VE7SCC        59  03
QSO: 14000 PH 2016-10-29 0125 W6BHZ         59  03     OH8XQ         59  15
QSO: 14000 PH 2016-10-29 0127 W6BHZ         59  03     JA8RWU        59  25
QSO: 14000 PH 2016-10-29 0130 W6BHZ         59  03     JA7YRR        59  25
QSO:  7000 PH 2016-10-29 0136 W6BHZ         59  03     VE7SCC        59  03
QSO:  7000 PH 2016-10-29 0141 W6BHZ         59  03     PJ4X          59  09
QSO: 14000 PH 2016-10-29 0154 W6BHZ         59  03     NH6WZ         59  31
QSO: 14000 PH 2016-10-29 0204 W6BHZ         59  03     JJ0JML        59  25
QSO: 14000 PH 2016-10-29 0205 W6BHZ         59  03     JE6RPM        59  25
QSO: 14000 PH 2016-10-29 0208 W6BHZ         59  03     B7K           59  24
