START-OF-LOG: 3.0
CALLSIGN: DN3CX
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 12096
NAME: Nele Brunner
LOCATION: DX
OPERATORS: DE1NBK
CLUB: Bavarian Contest Club
CERTIFICATE: NO
CREATED-BY: Win-Test 4.20.0
SOAPBOX: Much fun and 73 until 2017 de Nele (!0 years) DE1NBK/DN3CX
QSO: 21237 PH 2016-10-29 1607 DN3CX         59  14     6W1RY         59  35     0
QSO: 14114 PH 2016-10-29 1609 DN3CX         59  14     6W1RY         59  35     0
QSO: 14107 PH 2016-10-29 1610 DN3CX         59  14     VY2ZM         59  05     0
QSO: 14167 PH 2016-10-29 1611 DN3CX         59  14     K1KI          59  05     0
QSO: 14155 PH 2016-10-29 1613 DN3CX         59  14     EA9KB         59  33     0
QSO: 14123 PH 2016-10-29 1616 DN3CX         59  14     ON3ND         59  14     0
QSO: 14123 PH 2016-10-29 1617 DN3CX         59  14     F4EIH         59  14     0
QSO: 14123 PH 2016-10-29 1617 DN3CX         59  14     9A1AD         59  15     0
QSO: 14123 PH 2016-10-29 1618 DN3CX         59  14     G3TKK         59  14     0
QSO: 14123 PH 2016-10-29 1618 DN3CX         59  14     CN2AA         59  33     0
QSO: 14123 PH 2016-10-29 1618 DN3CX         59  14     GM2T          59  14     0
QSO: 14123 PH 2016-10-29 1619 DN3CX         59  14     SP8IMG        59  15     0
QSO: 14123 PH 2016-10-29 1620 DN3CX         59  14     EO25F         59  16     0
QSO: 14123 PH 2016-10-29 1620 DN3CX         59  14     ON5NQ         59  14     0
QSO: 14123 PH 2016-10-29 1621 DN3CX         59  14     F6HMQ         59  14     0
QSO: 14123 PH 2016-10-29 1622 DN3CX         59  14     GK3MPD        59  14     0
QSO: 14123 PH 2016-10-29 1623 DN3CX         59  14     OH1F          59  15     0
QSO: 14123 PH 2016-10-29 1623 DN3CX         59  14     PE1FTV        59  14     0
QSO: 14123 PH 2016-10-29 1624 DN3CX         59  14     M4A           59  14     0
QSO: 14123 PH 2016-10-29 1625 DN3CX         59  14     F/KX6H        59  14     0
QSO: 14123 PH 2016-10-29 1626 DN3CX         59  14     F6KFA         59  14     0
QSO: 14123 PH 2016-10-29 1626 DN3CX         59  14     DK0IW         59  14     0
QSO: 14123 PH 2016-10-29 1627 DN3CX         59  14     IT9TFX        59  15     0
QSO: 14123 PH 2016-10-29 1628 DN3CX         59  14     DL9DRA        59  14     0
QSO: 14123 PH 2016-10-29 1628 DN3CX         59  14     EA5FWW        59  14     0
QSO: 14123 PH 2016-10-29 1629 DN3CX         59  14     P33W          59  20     0
QSO: 14123 PH 2016-10-29 1629 DN3CX         59  14     F4GYI         59  14     0
QSO: 14123 PH 2016-10-29 1629 DN3CX         59  14     EA3NA         59  14     0
QSO:  1860 PH 2016-10-29 1632 DN3CX         59  14     DL5IAH        59  14     0
QSO:  1860 PH 2016-10-29 1632 DN3CX         59  14     DD7ZN         59  14     0
QSO:  1860 PH 2016-10-29 1633 DN3CX         59  14     LZ9W          59  20     0
QSO: 14227 PH 2016-10-30 0745 DN3CX         59  14     ZM1A          59  32     0
QSO: 14231 PH 2016-10-30 0748 DN3CX         59  14     EA9ACF        59  33     0
QSO: 14261 PH 2016-10-30 0752 DN3CX         59  14     A61BM         59  21     0
QSO: 14314 PH 2016-10-30 0753 DN3CX         59  14     A73A          59  21     0
QSO: 14279 PH 2016-10-30 0755 DN3CX         59  14     3V8SS         59  33     0
QSO: 14213 PH 2016-10-30 0756 DN3CX         59  14     CN3A          59  33     0
QSO: 14146 PH 2016-10-30 0800 DN3CX         59  14     UX2U          59  16     0
QSO: 14146 PH 2016-10-30 0801 DN3CX         59  14     UP2L          59  17     0
QSO: 14178 PH 2016-10-30 0805 DN3CX         59  14     EF8R          59  33     0
QSO: 14134 PH 2016-10-30 0806 DN3CX         59  14     EF8U          59  33     0
QSO: 14218 PH 2016-10-30 0808 DN3CX         59  14     9H6A          59  15     0
QSO: 14325 PH 2016-10-30 0811 DN3CX         59  14     4Z5LY         59  20     0
QSO: 14311 PH 2016-10-30 0811 DN3CX         59  14     OD5PY         59  20     0
QSO: 14246 PH 2016-10-30 0813 DN3CX         59  14     ZW8T          59  11     0
QSO: 14182 PH 2016-10-30 0815 DN3CX         59  14     CN2R          59  33     0
QSO: 14126 PH 2016-10-30 0816 DN3CX         59  14     ZD8W          59  36     0
QSO: 14203 PH 2016-10-30 0821 DN3CX         59  14     CB1H          59  12     0
QSO: 14152 PH 2016-10-30 0824 DN3CX         59  14     IR9Z          59  15     0
QSO: 14152 PH 2016-10-30 0826 DN3CX         59  14     JG4AKL        59  25     0
QSO: 14333 PH 2016-10-30 1535 DN3CX         59  14     SP4DZT        59  15     0
QSO:  7098 PH 2016-10-30 1543 DN3CX         59  14     A73A          59  21     0
