START-OF-LOG: 3.0
CALLSIGN: VY1AAA
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 7208
NAME: GERRY HULL
LOCATION: NT
OPERATORS: VY1JA W1VE K2LE KE1J
CLUB: YANKEE CLIPPER CONTEST CLUB
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5952.0
SOAPBOX: Terrible Conditions!  Thanks to those who could make a QSO!
QSO:  7202 PH 2016-10-29 0240 VY1AAA        59  1      K3EST         59  03     0
QSO:  7176 PH 2016-10-29 0310 VY1AAA        59  1      VA7FC         59  03     0
QSO:  7179 PH 2016-10-29 0312 VY1AAA        59  1      VE7RSV        59  03     0
QSO:  7179 PH 2016-10-29 0313 VY1AAA        59  1      KL7RA         59  01     0
QSO:  7198 PH 2016-10-29 0410 VY1AAA        59  1      K7XC          59  03     0
QSO:  7198 PH 2016-10-29 0411 VY1AAA        59  1      W0RIC         59  03     0
QSO:  7198 PH 2016-10-29 0412 VY1AAA        59  1      WA6MRK        59  03     0
QSO:  7198 PH 2016-10-29 0412 VY1AAA        59  1      N6WS          59  03     0
QSO:  7198 PH 2016-10-29 0413 VY1AAA        59  1      KK6PXT        59  03     0
QSO:  7198 PH 2016-10-29 0413 VY1AAA        59  1      K7FYI         59  03     0
QSO:  7198 PH 2016-10-29 0413 VY1AAA        59  1      AA7V          59  03     0
QSO:  7198 PH 2016-10-29 0413 VY1AAA        59  1      N7TW          59  03     0
QSO:  7198 PH 2016-10-29 0413 VY1AAA        59  1      KA6U          59  03     0
QSO:  7198 PH 2016-10-29 0413 VY1AAA        59  1      AH6EZ/W7      59  03     0
QSO:  7198 PH 2016-10-29 0414 VY1AAA        59  1      N6NEE         59  03     0
QSO:  7198 PH 2016-10-29 0414 VY1AAA        59  1      N6ETO         59  03     0
QSO:  7198 PH 2016-10-29 0414 VY1AAA        59  1      K6YK          59  03     0
QSO:  7198 PH 2016-10-29 0415 VY1AAA        59  1      K0GEO         59  04     0
QSO:  7198 PH 2016-10-29 0415 VY1AAA        59  1      K2RD          59  03     0
QSO:  7198 PH 2016-10-29 0415 VY1AAA        59  1      N6ENO         59  03     0
QSO:  7198 PH 2016-10-29 0416 VY1AAA        59  1      AI6LY         59  03     0
QSO:  7198 PH 2016-10-29 0416 VY1AAA        59  1      N3DEB         59  03     0
QSO:  7198 PH 2016-10-29 0416 VY1AAA        59  1      AA6XX         59  03     0
QSO:  7198 PH 2016-10-29 0417 VY1AAA        59  1      VE7SK         59  03     0
QSO:  7198 PH 2016-10-29 0417 VY1AAA        59  1      K7RI          59  03     0
QSO:  7198 PH 2016-10-29 0417 VY1AAA        59  1      K6MBD         59  03     0
QSO:  7198 PH 2016-10-29 0417 VY1AAA        59  1      KB7ABJ        59  03     0
QSO:  7198 PH 2016-10-29 0418 VY1AAA        59  1      KE6KJD        59  03     0
QSO:  7198 PH 2016-10-29 0418 VY1AAA        59  1      NW6P          59  03     0
QSO:  7198 PH 2016-10-29 0419 VY1AAA        59  1      N5ZC          59  04     0
QSO:  7198 PH 2016-10-29 0419 VY1AAA        59  1      VX7C          59  03     0
QSO:  7198 PH 2016-10-29 0419 VY1AAA        59  1      VE6KD         59  04     0
QSO:  7198 PH 2016-10-29 0423 VY1AAA        59  1      N6HK          59  03     0
QSO:  7198 PH 2016-10-29 0423 VY1AAA        59  1      W1SRD         59  03     0
QSO:  7198 PH 2016-10-29 0423 VY1AAA        59  1      W7RN          59  03     0
QSO:  7198 PH 2016-10-29 0428 VY1AAA        59  1      AL4Y          59  01     0
QSO:  7198 PH 2016-10-29 0428 VY1AAA        59  1      KL4SD         59  01     0
QSO:  7198 PH 2016-10-29 0429 VY1AAA        59  1      VE7SO         59  03     0
QSO:  7198 PH 2016-10-29 0430 VY1AAA        59  1      VE8AP         59  01     0
QSO:  7198 PH 2016-10-29 0434 VY1AAA        59  1      NL7W          59  01     0
QSO:  7198 PH 2016-10-29 0435 VY1AAA        59  1      N6JV          59  03     0
QSO:  7198 PH 2016-10-29 0435 VY1AAA        59  1      K7UT          59  03     0
QSO:  7198 PH 2016-10-29 0437 VY1AAA        59  1      K6XV          59  03     0
