START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: RW3AI
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 55332
CLUB: RU-QRP CLUB
CREATED-BY: AATest v.1.86
NAME: Valery Bobrov
SOAPBOX: Icom 7800 pwr 5w , Ant: ECO vertical, LW
QSO:  1800 PH 2016-10-29 0001 RW3AI         59  16     LY9Y          59  15
QSO:  1800 PH 2016-10-29 0002 RW3AI         59  16     EU4A          59  16
QSO:  1800 PH 2016-10-29 0004 RW3AI         59  16     UP2L          59  17
QSO:  1800 PH 2016-10-29 0007 RW3AI         59  16     UX3HA         59  16
QSO:  1800 PH 2016-10-29 0009 RW3AI         59  16     LY7M          59  15
QSO:  3500 PH 2016-10-29 0011 RW3AI         59  16     S56W          59  15
QSO:  3500 PH 2016-10-29 0013 RW3AI         59  16     UB7K          59  16
QSO:  7000 PH 2016-10-29 0021 RW3AI         59  16     IR3Z          59  15
QSO:  7000 PH 2016-10-29 0024 RW3AI         59  16     UW2M          59  16
QSO:  7000 PH 2016-10-29 0026 RW3AI         59  16     UW1M          59  16
QSO:  3500 PH 2016-10-29 0041 RW3AI         59  16     YT8A          59  15
QSO:  3500 PH 2016-10-29 0108 RW3AI         59  16     SP9KDA        59  15
QSO:  3500 PH 2016-10-29 0109 RW3AI         59  16     US7IA         59  16
QSO:  3500 PH 2016-10-29 0109 RW3AI         59  16     SP9AQF        59  15
QSO: 14000 PH 2016-10-29 0809 RW3AI         59  16     UP0L          59  17
QSO: 14000 PH 2016-10-29 0810 RW3AI         59  16     YT1A          59  15
QSO: 14000 PH 2016-10-29 0810 RW3AI         59  16     IB4A          59  15
QSO: 14000 PH 2016-10-29 0813 RW3AI         59  16     9A1A          59  15
QSO: 14000 PH 2016-10-29 0814 RW3AI         59  16     RT8U          59  18
QSO: 14000 PH 2016-10-29 0815 RW3AI         59  16     S57DX         59  15
QSO: 14000 PH 2016-10-29 0816 RW3AI         59  16     SO9Q          59  15
QSO: 14000 PH 2016-10-29 0819 RW3AI         59  16     IR6A          59  15
QSO: 14000 PH 2016-10-29 0820 RW3AI         59  16     F4FSY         59  14
QSO: 14000 PH 2016-10-29 0823 RW3AI         59  16     II2S          59  15
QSO: 14000 PH 2016-10-29 0823 RW3AI         59  16     RW9USA        59  18
QSO: 14000 PH 2016-10-29 0824 RW3AI         59  16     S52OT         59  15
QSO: 14000 PH 2016-10-29 0826 RW3AI         59  16     UP2L          59  17
QSO: 14000 PH 2016-10-29 0828 RW3AI         59  16     IR6T          59  15
QSO: 14000 PH 2016-10-29 0828 RW3AI         59  16     TM6M          59  14
QSO: 14000 PH 2016-10-29 0829 RW3AI         59  16     S58Y          59  15
QSO: 14000 PH 2016-10-29 0854 RW3AI         59  16     HG7T          59  15
QSO: 14000 PH 2016-10-29 0855 RW3AI         59  16     IK2YCW        59  15
QSO: 14000 PH 2016-10-29 0856 RW3AI         59  16     DR1A          59  14
QSO: 14000 PH 2016-10-29 0858 RW3AI         59  16     IB4K          59  15
QSO: 14000 PH 2016-10-29 0859 RW3AI         59  16     HG8R          59  15
QSO: 14000 PH 2016-10-29 0859 RW3AI         59  16     IO1C          59  15
QSO: 14000 PH 2016-10-29 0900 RW3AI         59  16     DM4X          59  14
QSO: 14000 PH 2016-10-29 0901 RW3AI         59  16     IO5O          59  15
QSO: 14000 PH 2016-10-29 0902 RW3AI         59  16     RC9O          59  18
QSO: 21000 PH 2016-10-29 0903 RW3AI         59  16     EE3A          59  14
QSO: 21000 PH 2016-10-29 0904 RW3AI         59  16     YT5A          59  15
QSO: 21000 PH 2016-10-29 0905 RW3AI         59  16     LZ2HA         59  20
QSO: 21000 PH 2016-10-29 0907 RW3AI         59  16     UW5ZM         59  16
QSO: 21000 PH 2016-10-29 0908 RW3AI         59  16     II9P          59  15
QSO: 21000 PH 2016-10-29 0910 RW3AI         59  16     HG7T          59  15
QSO: 28000 PH 2016-10-29 0912 RW3AI         59  16     RA3DAD        59  16
QSO: 28000 PH 2016-10-29 0947 RW3AI         59  16     4O3A          59  15
QSO: 28000 PH 2016-10-29 0948 RW3AI         59  16     LZ2PL         59  20
QSO: 28000 PH 2016-10-29 0949 RW3AI         59  16     OL1Z          59  15
QSO: 21000 PH 2016-10-29 0950 RW3AI         59  16     OK2KJU        59  15
QSO: 21000 PH 2016-10-29 0950 RW3AI         59  16     OM8A          59  15
QSO: 21000 PH 2016-10-29 0951 RW3AI         59  16     OM1DK         59  15
QSO: 21000 PH 2016-10-29 0952 RW3AI         59  16     OK3C          59  15
QSO: 21000 PH 2016-10-29 0952 RW3AI         59  16     S50K          59  15
QSO: 21000 PH 2016-10-29 0953 RW3AI         59  16     YU5R          59  15
QSO: 21000 PH 2016-10-29 0954 RW3AI         59  16     S53M          59  15
QSO: 21000 PH 2016-10-29 0955 RW3AI         59  16     OM7M          59  15
QSO: 21000 PH 2016-10-29 1000 RW3AI         59  16     9A7A          59  15
QSO: 14000 PH 2016-10-29 1004 RW3AI         59  16     RC6U          59  16
QSO: 14000 PH 2016-10-29 1005 RW3AI         59  16     I1NVU         59  15
QSO: 14000 PH 2016-10-29 1006 RW3AI         59  16     IO2X          59  15
QSO: 14000 PH 2016-10-29 1007 RW3AI         59  16     HB9AWS        59  14
QSO: 14000 PH 2016-10-29 1106 RW3AI         59  16     HG1S          59  15
QSO: 14000 PH 2016-10-29 1109 RW3AI         59  16     UT8IO         59  16
QSO: 14000 PH 2016-10-29 1110 RW3AI         59  16     M7O           59  14
