START-OF-LOG: 3.0
CALLSIGN: F5ASD
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 223822
NAME: AOUTIN jerome
LOCATION: DX
OPERATORS: F5ASD
CLUB:
CERTIFICATE: YES
CREATED-BY: Win-Test 4.15.0
SOAPBOX: thanks for all qso's! nice contest 2016 ! 73's F5ASD j��r��me
QSO:  7000 PH 2016-10-29 0913 F5ASD         59  14     S5C           59  15     0
QSO:  7000 PH 2016-10-29 0913 F5ASD         59  14     OK2KOJ        59  15     0
QSO:  7000 PH 2016-10-29 0914 F5ASD         59  14     DD2TC         59  14     0
QSO:  7000 PH 2016-10-29 0915 F5ASD         59  14     DH5WB         59  14     0
QSO:  7000 PH 2016-10-29 0916 F5ASD         59  14     M0RBE         59  14     0
QSO:  7000 PH 2016-10-29 0916 F5ASD         59  14     IN3HUU        59  15     0
QSO:  7000 PH 2016-10-29 0918 F5ASD         59  14     G8KEK/P       59  14     0
QSO:  7000 PH 2016-10-29 0923 F5ASD         59  14     DL2KX         59  14     0
QSO:  7000 PH 2016-10-29 0924 F5ASD         59  14     G5OV          59  14     0
QSO:  7000 PH 2016-10-29 0924 F5ASD         59  14     DL3DRN        59  14     0
QSO:  7000 PH 2016-10-29 0924 F5ASD         59  14     IZ4XAI        59  15     0
QSO:  7000 PH 2016-10-29 0925 F5ASD         59  14     GW4EVX        59  14     0
QSO:  7000 PH 2016-10-29 0926 F5ASD         59  14     G1T           59  14     0
QSO:  7000 PH 2016-10-29 0951 F5ASD         59  14     DJ6OZ         59  14     0
QSO:  7000 PH 2016-10-29 0952 F5ASD         59  14     DL1JCM        59  14     0
QSO:  7000 PH 2016-10-29 0953 F5ASD         59  14     9G0DRM        59  14     0
QSO:  7000 PH 2016-10-29 0954 F5ASD         59  14     EB1ADD        59  14     0
QSO:  7000 PH 2016-10-29 0955 F5ASD         59  14     M0ICR         59  34     0
QSO:  7000 PH 2016-10-29 0955 F5ASD         59  14     MM2R          59  14     0
QSO:  7000 PH 2016-10-29 0957 F5ASD         59  14     M0SHK         59  14     0
QSO:  7000 PH 2016-10-29 0958 F5ASD         59  14     PA6GR         59  14     0
QSO:  7000 PH 2016-10-29 0958 F5ASD         59  14     S51DX         59  15     0
QSO:  7000 PH 2016-10-29 0959 F5ASD         59  14     DL1NKS        59  14     0
QSO:  7000 PH 2016-10-29 0959 F5ASD         59  14     OL9R          59  15     0
QSO:  7000 PH 2016-10-29 1001 F5ASD         59  14     DG0LFF        59  14     0
QSO:  7000 PH 2016-10-29 1004 F5ASD         59  14     DL4VAI        59  14     0
QSO:  7000 PH 2016-10-29 1004 F5ASD         59  14     IW3HXR        59  15     0
QSO:  7000 PH 2016-10-29 1010 F5ASD         59  14     G3PXT         59  14     0
QSO:  7000 PH 2016-10-29 1010 F5ASD         59  14     GW0UZK        59  14     0
QSO:  7000 PH 2016-10-29 1011 F5ASD         59  14     DF6BB         59  14     0
QSO:  7000 PH 2016-10-29 1013 F5ASD         59  14     DK6PB         59  14     0
QSO:  7000 PH 2016-10-29 1014 F5ASD         59  14     G7SKR         59  14     0
QSO:  7000 PH 2016-10-29 1015 F5ASD         59  14     DK5KK         59  14     0
QSO:  7000 PH 2016-10-29 1017 F5ASD         59  14     2E0KPD        59  14     0
QSO:  7000 PH 2016-10-29 1019 F5ASD         59  14     DK4WO         59  14     0
QSO:  7000 PH 2016-10-29 1019 F5ASD         59  14     DG4FCN        59  14     0
QSO:  7000 PH 2016-10-29 1020 F5ASD         59  14     OH5NQ         59  15     0
QSO:  7000 PH 2016-10-29 1021 F5ASD         59  14     DL0PE         59  14     0
QSO:  7000 PH 2016-10-29 1023 F5ASD         59  14     DL1DQC        59  14     0
QSO:  7000 PH 2016-10-29 1024 F5ASD         59  14     PA1BDO        59  14     0
QSO:  7000 PH 2016-10-29 1025 F5ASD         59  14     G8HGP         59  14     0
QSO:  7000 PH 2016-10-29 1027 F5ASD         59  14     G0WLG         59  14     0
QSO:  7000 PH 2016-10-29 1027 F5ASD         59  14     DG7BST        59  14     0
QSO:  7000 PH 2016-10-29 1028 F5ASD         59  14     M3ZZF         59  14     0
QSO: 14000 PH 2016-10-29 1109 F5ASD         59  14     UT3UFH        59  16     0
QSO: 14000 PH 2016-10-29 1112 F5ASD         59  14     RW3AI         59  16     0
QSO: 14000 PH 2016-10-29 1112 F5ASD         59  14     YU1KN         59  15     0
QSO: 14000 PH 2016-10-29 1113 F5ASD         59  14     UA3OQ         59  16     0
QSO: 14000 PH 2016-10-29 1115 F5ASD         59  14     LZ3SD         59  20     0
QSO: 14000 PH 2016-10-29 1116 F5ASD         59  14     RZ4AG         59  16     0
QSO: 14000 PH 2016-10-29 1116 F5ASD         59  14     SP1JQJ        59  15     0
QSO: 14000 PH 2016-10-29 1117 F5ASD         59  14     RO3A          59  16     0
QSO: 14000 PH 2016-10-29 1118 F5ASD         59  14     LZ2PS         59  20     0
QSO: 14000 PH 2016-10-29 1119 F5ASD         59  14     UY2UQ         59  16     0
QSO: 28000 PH 2016-10-29 1123 F5ASD         59  14     IO9A          59  14     0
QSO: 28000 PH 2016-10-29 1124 F5ASD         59  14     IB9P          59  15     0
QSO: 28000 PH 2016-10-29 1124 F5ASD         59  14     II9P          59  15     0
QSO: 28000 PH 2016-10-29 1129 F5ASD         59  14     CN2R          59  33     0
QSO: 28000 PH 2016-10-29 1134 F5ASD         59  14     CN3A          59  33     0
QSO: 28000 PH 2016-10-29 1138 F5ASD         59  14     IW7DKS        59  14     0
QSO: 21000 PH 2016-10-29 1148 F5ASD         59  14     PY2UD         59  11     0
QSO: 21000 PH 2016-10-29 1154 F5ASD         59  14     CT1FHL        59  14     0
QSO: 21000 PH 2016-10-29 1155 F5ASD         59  14     P33W          59  20     0
QSO: 21000 PH 2016-10-29 1156 F5ASD         59  14     YT5A          59  15     0
QSO: 21000 PH 2016-10-29 1157 F5ASD         59  14     E77A          59  15     0
QSO: 21000 PH 2016-10-29 1158 F5ASD         59  14     EA5KV         59  14     0
QSO: 21000 PH 2016-10-29 1159 F5ASD         59  14     EF8R          59  33     0
QSO: 21000 PH 2016-10-29 1200 F5ASD         59  14     9A5D          59  15     0
QSO: 21000 PH 2016-10-29 1201 F5ASD         59  14     HG1S          59  15     0
QSO: 21000 PH 2016-10-29 1202 F5ASD         59  14     CR6T          59  14     0
QSO: 21000 PH 2016-10-29 1202 F5ASD         59  14     HG7T          59  15     0
