START-OF-LOG: 3.0
CALLSIGN: K9PG
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 154128
NAME: Paul Gentry
LOCATION: IL
OPERATORS: K9PG
CLUB: Society Of Midwest Contesters
CERTIFICATE: NO
CREATED-BY: N1MM Logger V14.2.0
SOAPBOX: Are Condx gonna get any worse before they get better?
QSO: 14293 PH 2016-10-29 0002 K9PG          59  4      VE7GL         59  03
QSO:  7196 PH 2016-10-29 0002 K9PG          59  4      EF8U          59  33
QSO:  7199 PH 2016-10-29 0013 K9PG          59  4      P40A          59  09
QSO:  7214 PH 2016-10-29 0018 K9PG          59  4      KP3Z          59  08
QSO:  7233 PH 2016-10-29 0019 K9PG          59  4      VE4VT         59  04
QSO: 14262 PH 2016-10-29 0021 K9PG          59  4      VA7RR         59  03
QSO:  3736 PH 2016-10-29 0110 K9PG          59  4      KP2M          59  08
QSO:  7201 PH 2016-10-29 0214 K9PG          59  4      PS2T          59  11
QSO:  7225 PH 2016-10-29 0215 K9PG          59  4      HI3TEJ        59  08
QSO:  7217 PH 2016-10-29 0216 K9PG          59  4      P40L          59  09
QSO:  7212 PH 2016-10-29 0216 K9PG          59  4      NP2N          59  08
QSO:  7207 PH 2016-10-29 0217 K9PG          59  4      WP3C          59  08
QSO:  7208 PH 2016-10-29 0218 K9PG          59  4      PQ5B          59  11
QSO:  7210 PH 2016-10-29 0218 K9PG          59  4      TI5M          59  07
QSO:  7232 PH 2016-10-29 0220 K9PG          59  4      8P5A          59  08
QSO:  7244 PH 2016-10-29 0221 K9PG          59  4      6Y4V          59  08
QSO:  7256 PH 2016-10-29 0222 K9PG          59  4      VE7SV         59  03
QSO:  7202 PH 2016-10-29 0253 K9PG          59  4      T48K          59  08
QSO:  7204 PH 2016-10-29 0304 K9PG          59  4      TI5W          59  07
QSO:  7199 PH 2016-10-29 0304 K9PG          59  4      NP2P          59  08
QSO:  7203 PH 2016-10-29 0445 K9PG          59  4      KP4BD         59  08
QSO:  7226 PH 2016-10-29 0446 K9PG          59  4      YN5Z          59  07
QSO:  3765 PH 2016-10-29 0448 K9PG          59  4      PJ2T          59  09
QSO:  3744 PH 2016-10-29 0504 K9PG          59  4      T48K          59  08
QSO:  7158 PH 2016-10-29 0629 K9PG          59  4      ZF1A          59  08
QSO:  7174 PH 2016-10-29 0631 K9PG          59  4      PZ5K          59  09
QSO:  3643 PH 2016-10-29 0634 K9PG          59  4      KP3Z          59  08
QSO:  3671 PH 2016-10-29 0636 K9PG          59  4      P40W          59  09
QSO:  7182 PH 2016-10-29 0653 K9PG          59  4      PJ4X          59  09
QSO:  3749 PH 2016-10-29 0659 K9PG          59  4      8P5A          59  08
QSO:  3740 PH 2016-10-29 0701 K9PG          59  4      P40L          59  09
