START-OF-LOG: 3.0
CALLSIGN: G4DYA
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: Richard Lamont
LOCATION: DX
CLUB:
CERTIFICATE: NO
CREATED-BY:
SOAPBOX: I hate this contest. I'm entering this derisory log
SOAPBOX: to express my disgust at the disruption it causes
SOAPBOX: to the HF bands for normal hams for the whole weekend.
SOAPBOX: Shame on CQ comic for sponsoring this annual orgy of QRM.
QSO:  3746 PH 2016-10-29 0001  G4DYA         59  14     9A7A          59  15    0
QSO:  7074 PH 2016-10-29 0006  G4DYA         59  14     LZ5T          59  20    0
QSO:  3798 PH 2016-10-29 0014  G4DYA         59  14     OL0M          59  15    0
QSO:  7053 PH 2016-10-29 0022  G4DYA         59  14     P40L          59  09    0
QSO:  7058 PH 2016-10-29 0024  G4DYA         59  14     8P5A          59  08    0
QSO:  7061 PH 2016-10-29 0031  G4DYA         59  14     UW5U          59  16    0
QSO:  7064 PH 2016-10-29 0032  G4DYA         59  14     UZ3A          59  16    0
QSO:  7111 PH 2016-10-29 0041  G4DYA         59  14     YU1UN         59  15    0
QSO:  3715 PH 2016-10-29 0059  G4DYA         59  14     OK7O          59  15    0
QSO:  3703 PH 2016-10-29 0103  G4DYA         59  14     TM0R          59  14    0
QSO:  7116 PH 2016-10-29 0108  G4DYA         59  14     TI5W          59  07    0
QSO: 21385 PH 2016-10-30 1323  G4DYA         59  14     IS0BSR        59  15    0
QSO: 21387 PH 2016-10-30 1330  G4DYA         59  14     D4C           59  35    0
QSO: 14136 PH 2016-10-30 1357  G4DYA         59  14     4L2M          59  21    0
END-OF-LOG:
