START-OF-LOG: 3.0
CALLSIGN: W9YK
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 66676
NAME: E F Benson
LOCATION: IL
OPERATORS: W9YK
CLUB: Society of Midwest Contesters
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5966.0
SOAPBOX: Always good to work the world & keep on hamming!
QSO:  7179 PH 2016-10-29 0000 W9YK          59  4      EF8R          59  33
QSO:  7187 PH 2016-10-29 0001 W9YK          59  4      ED7O          59  14
QSO:  7185 PH 2016-10-29 0119 W9YK          59  4      CN2R          59  33
QSO:  7189 PH 2016-10-29 0121 W9YK          59  4      KA9O          59  04
QSO:  7170 PH 2016-10-29 0124 W9YK          59  4      ED8X          59  33
QSO:  7165 PH 2016-10-29 0126 W9YK          59  4      CR3A          59  33
QSO:  7156 PH 2016-10-29 0137 W9YK          59  4      VE7GL         59  03
QSO:  7153 PH 2016-10-29 0139 W9YK          59  4      PJ2T          59  09
QSO:  7145 PH 2016-10-29 0139 W9YK          59  4      EF8U          59  33
QSO:  7139 PH 2016-10-29 0141 W9YK          59  4      T42A          59  08
QSO:  7168 PH 2016-10-29 0150 W9YK          59  4      KP4BD         59  08
QSO:  7173 PH 2016-10-29 0152 W9YK          59  4      NP3U          59  08
QSO:  7182 PH 2016-10-29 0153 W9YK          59  4      PJ4X          59  09
QSO:  7192 PH 2016-10-29 0155 W9YK          59  4      ED8W          59  33
QSO:  7217 PH 2016-10-29 0159 W9YK          59  4      P40L          59  09
QSO:  7216 PH 2016-10-29 0237 W9YK          59  4      PJ4Q          59  09
QSO:  7232 PH 2016-10-29 0244 W9YK          59  4      8P5A          59  08
QSO:  7234 PH 2016-10-29 0244 W9YK          59  4      CE3CT         59  12
QSO:  7236 PH 2016-10-29 0246 W9YK          59  4      D4E           59  35
QSO:  7244 PH 2016-10-29 0247 W9YK          59  4      6Y4V          59  08
QSO:  7214 PH 2016-10-29 0250 W9YK          59  4      KP3Z          59  08
QSO:  7208 PH 2016-10-29 0251 W9YK          59  4      PQ5B          59  11
QSO:  7199 PH 2016-10-29 0253 W9YK          59  4      NP2P          59  08
QSO:  7204 PH 2016-10-29 0259 W9YK          59  4      TI5W          59  07
QSO:  7196 PH 2016-10-29 0301 W9YK          59  4      EA9LZ         59  33
QSO:  7149 PH 2016-10-29 0307 W9YK          59  4      K5WA          59  04
QSO:  7141 PH 2016-10-29 0308 W9YK          59  4      CN3A          59  33
QSO:  7135 PH 2016-10-29 0309 W9YK          59  4      T46A          59  08
QSO:  7126 PH 2016-10-29 0311 W9YK          59  4      HK1AC         59  09
QSO:  3708 PH 2016-10-29 0316 W9YK          59  4      WD9CIR        59  04
QSO:  3712 PH 2016-10-29 0317 W9YK          59  4      W4RM          59  05
QSO:  3718 PH 2016-10-29 0319 W9YK          59  4      T48K          59  08
QSO:  3704 PH 2016-10-29 0322 W9YK          59  4      YW4D          59  09
QSO:  3700 PH 2016-10-29 0352 W9YK          59  4      VE7SCC        59  03
QSO:  3742 PH 2016-10-29 1019 W9YK          59  4      KP2M          59  08
QSO:  3737 PH 2016-10-29 1036 W9YK          59  4      XE2X          59  06
QSO:  3756 PH 2016-10-29 1039 W9YK          59  4      HC2AO         59  10
QSO:  3759 PH 2016-10-29 1048 W9YK          59  4      N7AT          59  03
QSO:  3764 PH 2016-10-29 1049 W9YK          59  4      VE3EJ         59  04
QSO:  3774 PH 2016-10-29 1050 W9YK          59  4      VE3MIS        59  04
QSO:  3779 PH 2016-10-29 1051 W9YK          59  4      VE9AA         59  05
QSO:  3787 PH 2016-10-29 1052 W9YK          59  4      N0FCD         59  04
QSO:  3792 PH 2016-10-29 1054 W9YK          59  4      K3LR          59  05
QSO:  3785 PH 2016-10-29 1055 W9YK          59  4      VE7GL         59  03
QSO:  3775 PH 2016-10-29 1057 W9YK          59  4      T32AZ         59  31
QSO:  3772 PH 2016-10-29 1115 W9YK          59  4      VC2T          59  05
QSO:  3783 PH 2016-10-29 1124 W9YK          59  4      VK3IO         59  30
QSO:  3753 PH 2016-10-29 1130 W9YK          59  4      KH6J          59  31
