START-OF-LOG: 2.0
CATEGORY: Single-OP low
CONTEST: WAE CW
ARRL-SECTION: MDC
CALLSIGN: AC5XK
OPERATORS:
CLUB:
CREATED-BY: CabConverter 2.05, recipe RSGB-AFS 1.0, modified by DXHF upload.
QSO: 14034 CW 2020-08-08 0019 AC5XK 599   1 DM6V 599  66
QSO: 14036 CW 2020-08-08 0022 AC5XK 599   2 OG6N 599  34
QSO: 14037 CW 2020-08-08 0026 AC5XK 599   3 TM6M 599  71
QSO: 14022 CW 2020-08-08 0046 AC5XK 599   4 EI7M 599 127
QSO: 14039 CW 2020-08-08 1717 AC5XK 599   5 OM5ZW 599  29
QSO: 14048 CW 2020-08-08 1720 AC5XK 599   6 OH0T 599 186
QSO: 14029 CW 2020-08-08 1733 AC5XK 599   7 DK8ZB 599 636
QSO: 14025 CW 2020-08-08 1808 AC5XK 599   8 HG8A 599 856
QSO: 14040 CW 2020-08-08 1815 AC5XK 599   9 F6IRA 599 196
QSO: 14029 CW 2020-08-08 1822 AC5XK 599  10 DM1A 599 775
QSO: 14052 CW 2020-08-08 1830 AC5XK 599  11 RU1A 599 709
QSO: 14012 CW 2020-08-08 2024 AC5XK 599  12 OK2BTJ 599 182
QSO: 14015 CW 2020-08-08 2030 AC5XK 599  13 IZ4ZZB 599 136
QSO: 14028 CW 2020-08-08 2034 AC5XK 599  14 IR2Q 599 615
QSO: 14052 CW 2020-08-08 2042 AC5XK 599  15 IR6T 599 707
QSO: 14001 CW 2020-08-08 2044 AC5XK 599  16 OM3BH 599 663
QSO: 14017 CW 2020-08-08 2058 AC5XK 599  17 DL1NKS 599 303
QSO: 14021 CW 2020-08-08 2111 AC5XK 599  18 LX7I 599 899
QSO: 14035 CW 2020-08-08 2115 AC5XK 599  19 II9P 599 781
QSO: 14050 CW 2020-08-08 2137 AC5XK 599  20 HA3NU 599 796
QSO: 14040 CW 2020-08-08 2138 AC5XK 599  21 DP6A 599 843
QSO: 14007 CW 2020-08-08 2144 AC5XK 599  22 LZ1QN 599 326
QSO: 14030 CW 2020-08-09 1844 AC5XK 599  23 DA2X 599 1229
QSO: 14047 CW 2020-08-09 1920 AC5XK 599  24 US1Q 599 1102
QSO: 14014 CW 2020-08-09 1932 AC5XK 599  25 DL3UB 599 775
QSO: 14036 CW 2020-08-09 1948 AC5XK 599  26 EA2W 599 1119
QSO: 14020 CW 2020-08-09 2010 AC5XK 599  27 CT7/DL6IAK 599 700
END-OF-LOG:
