START-OF-LOG: 3.0
CATEGORY: Single-OP high
CONTEST: WAE CW
CREATED-BY: Win-Test 4.31.0, modified by DXHF upload.
CALLSIGN: F6IRE
CLAIMED-SCORE: 288
OPERATORS:
CERTIFICATE: NO
QSO: 14013 CW 2020-08-09 1035 F6IRE         599 0001   KP2M          599 1270
QSO: 14017 CW 2020-08-09 1116 F6IRE         599 0002   K5ZD          599 925
QSO: 14057 CW 2020-08-09 1324 F6IRE         599 0003   JG7PSJ        599 263
QSO: 14047 CW 2020-08-09 1328 F6IRE         599 0004   BD4TUC        599 303
QSO: 14044 CW 2020-08-09 1331 F6IRE         599 0005   RA0AY         599 280
QSO: 14024 CW 2020-08-09 1334 F6IRE         599 0006   VE5MX         599 733
QSO: 14031 CW 2020-08-09 1341 F6IRE         599 0007   CX5UA         599 114
QSO: 14018 CW 2020-08-09 1349 F6IRE         599 0008   JO4JKL        599 089
QSO: 14032 CW 2020-08-09 1422 F6IRE         599 0009   VR2XAN        599 660
QSO: 14066 CW 2020-08-09 1426 F6IRE         599 0010   9M2YDX        599 396
QSO: 14044 CW 2020-08-09 1433 F6IRE         599 0011   JA0FVU        599 574
QSO: 14043 CW 2020-08-09 1443 F6IRE         599 0012   JI3MJK        599 056
END-OF-LOG:
