START-OF-LOG: 2.0
REF-SECTION: 75
CALLSIGN: F10298
CATEGORY: SWL ALL 
CLAIMED-SCORE:  59664
CONTEST: REF-SSB
CREATED-BY: WINREF-HF V9.0.1
NAME: DUTHEIL  JEANPIERRE
OFFTIME: 2018-02-24 2242 2018-02-25 0659
OFFTIME: 2018-02-24 1251 2018-02-24 1740
OFFTIME: 2018-02-25 0843 2018-02-25 1326
OFFTIME: 2018-02-24 1925 2018-02-24 2156
OFFTIME: 2018-02-24 1130 2018-02-24 1242
OFFTIME: 2018-02-24 1740 2018-02-24 1849
OFFTIME: 2018-02-24 1024 2018-02-24 1124
RIG:  FT 847  FT897
RIG:  FT 847  FT897 ANTENNE LW  50 METRES
RIG: LW  50 METRE    MINI WIHP   BOULLE MAGNETIC  14 21 28
RIG: 1
QSO: 3500  PH 2018-02-24 0652 F4CWN         59  75     F6REF         59  00   
QSO: 3500  PH 2018-02-24 0653 F6REF         59  75     F4CWN         59  32   
QSO: 3500  PH 2018-02-24 0654 F4BYA         59  75     F4KIY         59  57   
QSO: 3500  PH 2018-02-24 0654 F4KIY         59  75     F4BYA         59  02   
QSO: 3500  PH 2018-02-24 0656 F4HGH         59  75     F6GOE         59  19   
QSO: 3500  PH 2018-02-24 0656 F6GOE         59  75     F4HGH         59  02   
QSO: 3500  PH 2018-02-24 0658 F6KPQ         59  75     F1UVN         59  62   
QSO: 3500  PH 2018-02-24 0658 F5UTN         59  75     TM2F          59  02   
QSO: 3500  PH 2018-02-24 0658 TM2F          59  75     F5UTN         59  27   
QSO: 3500  PH 2018-02-24 0701 F5LXN         59  75     F4HJO         59  76   
QSO: 3500  PH 2018-02-24 0701 F4HLO         59  75     F5LXN         59  38   
QSO: 3500  PH 2018-02-24 0704 F8ATS         59  75     TM40KMX       59  94   
QSO: 3500  PH 2018-02-24 0704 TM40KMX       59  75     F8ATS         59  91   
QSO: 3500  PH 2018-02-24 0720 F4ETT         59  75     F6KJU         59  59   
QSO: 3500  PH 2018-02-24 0720 F6KJU         59  75     F4ETT         59  58   
QSO: 3500  PH 2018-02-24 0722 F4GOT         59  75     F6KOP         59  77   
QSO: 3500  PH 2018-02-24 0724 F4FPF         59  75     F8AAN         59  33   
