START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.20.0
CONTEST: REF-SSB
LOCATION: 77
CALLSIGN: F6KOP
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: CLUB
CLAIMED-SCORE: 3068016
OPERATORS: F4AJQ IU0BMX F4BDG F6GHC F4GYM F8UHU F5IYU F4TTR F4EAT F5NQL
CLUB: F6KOP
NAME: Radio Club de Provins
CERTIFICATE: NO
SOAPBOX: 
RIG: 5X FT1000 MP + PC en réseau et PA
QSO:  3767 PH 2018-02-24 0604 F6KOP         59  77     OM6TX         59  003   
QSO:  7099 PH 2018-02-24 0607 F6KOP         59  77     HA5PL         59  002   
QSO:  7099 PH 2018-02-24 0607 F6KOP         59  77     F8APH         59  91    
QSO: 14250 PH 2018-02-24 0609 F6KOP         59  77     F4HRJ         59  75    
QSO:  7099 PH 2018-02-24 0610 F6KOP         59  77     HK6CF         59  001   
QSO:  3748 PH 2018-02-24 0613 F6KOP         59  77     TM4E          59  83    
QSO:  7099 PH 2018-02-24 0613 F6KOP         59  77     RZ3Z          59  001   
QSO:  7099 PH 2018-02-24 0616 F6KOP         59  77     TA1API        59  001   
QSO:  3742 PH 2018-02-24 0617 F6KOP         59  77     F1UVN         59  62    
QSO:  7099 PH 2018-02-24 0619 F6KOP         59  77     DL3GAO        59  001   
QSO: 14250 PH 2018-02-24 0620 F6KOP         59  77     F4KIY         59  57    
QSO: 14250 PH 2018-02-24 0623 F6KOP         59  77     RN4HAB        59  001   
QSO:  3757 PH 2018-02-24 0624 F6KOP         59  77     FG4KH         59  FG    
QSO:  3761 PH 2018-02-24 0625 F6KOP         59  77     F6CLQ         59  89    
QSO: 14250 PH 2018-02-24 0626 F6KOP         59  77     UA6YN         59  001   
QSO:  3771 PH 2018-02-24 0627 F6KOP         59  77     F8DSN         59  88    
QSO:  3775 PH 2018-02-24 0632 F6KOP         59  77     TM5TT         59  41    
QSO: 14250 PH 2018-02-24 0632 F6KOP         59  77     RT9K/6        59  001   
QSO:  3781 PH 2018-02-24 0633 F6KOP         59  77     TM2O          59  81    
QSO: 14250 PH 2018-02-24 0633 F6KOP         59  77     RN4HKH        59  004   
QSO:  3778 PH 2018-02-24 0636 F6KOP         59  77     F2FZ          59  47    
QSO:  3778 PH 2018-02-24 0637 F6KOP         59  77     SE4E          59  017   
QSO:  3778 PH 2018-02-24 0638 F6KOP         59  77     DR6R          59  015   
QSO:  3778 PH 2018-02-24 0639 F6KOP         59  77     F4BXW         59  65    
QSO:  3778 PH 2018-02-24 0640 F6KOP         59  77     F4HCT         59  95    
QSO: 14250 PH 2018-02-24 0640 F6KOP         59  77     RC7LK         59  001   
QSO:  7099 PH 2018-02-24 0640 F6KOP         59  77     SP8ONU        59  004   
QSO:  3778 PH 2018-02-24 0641 F6KOP         59  77     F6BHI         59  19    
QSO:  3778 PH 2018-02-24 0641 F6KOP         59  77     F4IVV         59  38    
QSO:  3778 PH 2018-02-24 0642 F6KOP         59  77     F4HGF         59  89    
QSO:  3778 PH 2018-02-24 0642 F6KOP         59  77     TM5L          59  71    
QSO:  3778 PH 2018-02-24 0644 F6KOP         59  77     F4CWT         59  47    
QSO:  3778 PH 2018-02-24 0645 F6KOP         59  77     F6KJX         59  41    
QSO:  3778 PH 2018-02-24 0646 F6KOP         59  77     F4GGQ         59  29    
QSO:  3778 PH 2018-02-24 0646 F6KOP         59  77     TM40KMX       59  94    
QSO:  3778 PH 2018-02-24 0647 F6KOP         59  77     F4KJP         59  08    
QSO: 14250 PH 2018-02-24 0647 F6KOP         59  77     RZ3Z          59  002   
QSO:  3778 PH 2018-02-24 0648 F6KOP         59  77     F4GAJ         59  14    
QSO:  3778 PH 2018-02-24 0648 F6KOP         59  77     F8DFT         59  68    
QSO:  3778 PH 2018-02-24 0649 F6KOP         59  77     F6KTM         59  59    
QSO:  3778 PH 2018-02-24 0650 F6KOP         59  77     F6KGL         59  93    
QSO:  3778 PH 2018-02-24 0650 F6KOP         59  77     F6BXD         59  59    
QSO:  3778 PH 2018-02-24 0650 F6KOP         59  77     F5ASD         59  77    
QSO:  3778 PH 2018-02-24 0651 F6KOP         59  77     F8DRE         59  28    
QSO:  3778 PH 2018-02-24 0652 F6KOP         59  77     F6GLJ         59  33    
QSO:  3778 PH 2018-02-24 0654 F6KOP         59  77     F8KHB         59  16    
QSO: 14250 PH 2018-02-24 0654 F6KOP         59  77     R4FCJ         59  002   
QSO: 14250 PH 2018-02-24 0655 F6KOP         59  77     R8UT          59  001   
QSO:  7099 PH 2018-02-24 0656 F6KOP         59  77     PA1ATV        59  001   
QSO:  3778 PH 2018-02-24 0656 F6KOP         59  77     F5SIZ         59  12    
QSO: 14250 PH 2018-02-24 0658 F6KOP         59  77     LY3QN         52  001   
QSO:  3778 PH 2018-02-24 0659 F6KOP         59  77     F6KDU         59  64    
QSO:  3778 PH 2018-02-24 0701 F6KOP         59  77     F5AIB         59  54    
QSO: 14250 PH 2018-02-24 0701 F6KOP         59  77     9A4TX         59  001   
QSO:  3752 PH 2018-02-24 0702 F6KOP         59  77     F5ADE         59  36    
QSO: 14250 PH 2018-02-24 0704 F6KOP         59  77     SY1BUX        59  032   
QSO:  3778 PH 2018-02-24 0704 F6KOP         59  77     F4HMI         59  17    
QSO:  3778 PH 2018-02-24 0705 F6KOP         59  77     F6CXJ         59  47    
QSO: 14250 PH 2018-02-24 0705 F6KOP         59  77     SV3SCW        59  001   
QSO:  3778 PH 2018-02-24 0706 F6KOP         59  77     F4ERS         59  37    
QSO: 14250 PH 2018-02-24 0707 F6KOP         59  77     IW9FNS        59  001   
QSO:  3778 PH 2018-02-24 0707 F6KOP         59  77     F8DHN         59  34    
QSO:  3778 PH 2018-02-24 0708 F6KOP         59  77     TM3B          59  03    
QSO:  3778 PH 2018-02-24 0708 F6KOP         59  77     F4DBD         59  78    
QSO:  7099 PH 2018-02-24 0709 F6KOP         59  77     OM1XL         59  003   
QSO:  3778 PH 2018-02-24 0709 F6KOP         59  77     F2AR          59  35    
QSO:  3778 PH 2018-02-24 0710 F6KOP         59  77     F4DXP         59  29    
QSO:  3778 PH 2018-02-24 0711 F6KOP         59  77     PI4AMF        59  035   
QSO: 14250 PH 2018-02-24 0712 F6KOP         59  77     RA3DQP        59  002   
QSO:  3778 PH 2018-02-24 0712 F6KOP         59  77     F6KPQ         59  56    
QSO:  3778 PH 2018-02-24 0712 F6KOP         59  77     F4BYA         59  02    
QSO:  3778 PH 2018-02-24 0713 F6KOP         59  77     F6BIA         59  91    
QSO:  3778 PH 2018-02-24 0714 F6KOP         59  77     F6KQL         59  21    
QSO:  7099 PH 2018-02-24 0714 F6KOP         59  77     HA3HK         59  001   
QSO:  3778 PH 2018-02-24 0714 F6KOP         59  77     F4EPP         59  35    
QSO:  3778 PH 2018-02-24 0717 F6KOP         59  77     F4EDN         59  12    
QSO: 14250 PH 2018-02-24 0717 F6KOP         59  77     SV2RLU        59  001   
QSO:  3778 PH 2018-02-24 0717 F6KOP         59  77     F5OTS/P       59  58    
QSO:  3778 PH 2018-02-24 0718 F6KOP         59  77     F5IDJ         59  62    
QSO: 14250 PH 2018-02-24 0718 F6KOP         59  77     RW3XZ         59  003   
QSO:  3778 PH 2018-02-24 0718 F6KOP         59  77     F6DEV         59  09    
QSO:  3778 PH 2018-02-24 0720 F6KOP         59  77     DG7JB         59  001   
QSO:  7144 PH 2018-02-24 0720 F6KOP         59  77     TK4RB         59  2B    
QSO: 14204 PH 2018-02-24 0720 F6KOP         59  77     J28PJ         59  001   
QSO:  3778 PH 2018-02-24 0721 F6KOP         59  77     F4FVB         59  77    
QSO:  3778 PH 2018-02-24 0721 F6KOP         59  77     F4MXX         59  77    
QSO:  3778 PH 2018-02-24 0722 F6KOP         59  77     F4GOT         59  78    
QSO:  7099 PH 2018-02-24 0722 F6KOP         59  77     F4ERS         59  37    
QSO:  3778 PH 2018-02-24 0722 F6KOP         59  77     F4HRS         59  62    
QSO:  3778 PH 2018-02-24 0723 F6KOP         59  77     F6KHM         59  29    
QSO:  3778 PH 2018-02-24 0723 F6KOP         59  77     F6CKD         59  44    
QSO: 14250 PH 2018-02-24 0724 F6KOP         59  77     TA2XX         59  001   
QSO:  3778 PH 2018-02-24 0724 F6KOP         59  77     F5PVJ         59  30    
QSO:  3778 PH 2018-02-24 0725 F6KOP         59  77     F6ACD         59  85    
QSO:  3778 PH 2018-02-24 0726 F6KOP         59  77     F6IPA         59  23    
QSO:  3778 PH 2018-02-24 0726 F6KOP         59  77     F6KMB         59  59    
QSO:  7099 PH 2018-02-24 0726 F6KOP         59  77     F1BFC         59  66    
QSO:  3778 PH 2018-02-24 0726 F6KOP         59  77     F5SEY         59  44    
QSO:  3778 PH 2018-02-24 0727 F6KOP         59  77     F5AUZ         59  87    
QSO:  7099 PH 2018-02-24 0727 F6KOP         59  77     F6GAQ         59  13    
QSO:  7099 PH 2018-02-24 0728 F6KOP         59  77     F1SMV         59  83    
QSO:  3778 PH 2018-02-24 0728 F6KOP         59  77     F6FDR         59  84    
QSO:  3778 PH 2018-02-24 0729 F6KOP         59  77     F4GLR         59  89    
QSO:  7099 PH 2018-02-24 0729 F6KOP         59  77     F4LTS         59  29    
QSO:  3778 PH 2018-02-24 0729 F6KOP         59  77     F4KJQ         59  06    
QSO:  7099 PH 2018-02-24 0729 F6KOP         59  77     F1BAV         59  06    
QSO: 14250 PH 2018-02-24 0730 F6KOP         59  77     US5QUB        59  002   
QSO:  3778 PH 2018-02-24 0730 F6KOP         59  77     F4FCE         59  45    
QSO:  3778 PH 2018-02-24 0730 F6KOP         59  77     F6API         59  31    
QSO: 14250 PH 2018-02-24 0730 F6KOP         59  77     US5ZE         59  002   
QSO:  7099 PH 2018-02-24 0730 F6KOP         59  77     F4DDX         59  13    
QSO:  7099 PH 2018-02-24 0731 F6KOP         59  77     F2NY          59  13    
QSO:  3778 PH 2018-02-24 0731 F6KOP         59  77     F4FSY         59  69    
QSO: 14250 PH 2018-02-24 0731 F6KOP         59  77     RA3TT         59  002   
QSO:  7099 PH 2018-02-24 0732 F6KOP         59  77     F4KJQ         59  06    
QSO:  3778 PH 2018-02-24 0732 F6KOP         59  77     F4FPF         59  57    
QSO:  3778 PH 2018-02-24 0732 F6KOP         59  77     F4GMW         59  77    
QSO:  3778 PH 2018-02-24 0733 F6KOP         59  77     F5ICC         59  24    
QSO:  3778 PH 2018-02-24 0733 F6KOP         59  77     F5SHM         59  03    
QSO:  7099 PH 2018-02-24 0733 F6KOP         59  77     F5JY          59  83    
QSO:  3778 PH 2018-02-24 0733 F6KOP         59  77     F4HCK         59  95    
QSO:  3778 PH 2018-02-24 0734 F6KOP         59  77     F6GNG         59  76    
QSO:  3778 PH 2018-02-24 0734 F6KOP         59  77     F6BLZ         59  46    
QSO:  3778 PH 2018-02-24 0735 F6KOP         59  77     TM2F          59  02    
QSO:  3778 PH 2018-02-24 0735 F6KOP         59  77     GW4BKD        59  003   
QSO: 14250 PH 2018-02-24 0735 F6KOP         59  77     UR7CT         59  006   
QSO:  3778 PH 2018-02-24 0736 F6KOP         59  77     G8HBS         59  001   
QSO:  3778 PH 2018-02-24 0737 F6KOP         59  77     F4ESK         59  13    
QSO:  3778 PH 2018-02-24 0737 F6KOP         59  77     F8KLY         59  69    
QSO:  3778 PH 2018-02-24 0738 F6KOP         59  77     F5UTN         59  27    
QSO:  7099 PH 2018-02-24 0738 F6KOP         59  77     HA3HK         59  009   
QSO:  3778 PH 2018-02-24 0739 F6KOP         59  77     F5AGQ         59  81    
QSO:  3778 PH 2018-02-24 0739 F6KOP         59  77     F5CT          59  61    
QSO:  3778 PH 2018-02-24 0740 F6KOP         59  77     F6BSZ         59  14    
QSO: 14242 PH 2018-02-24 0741 F6KOP         59  77     LZ2JA         59  001   
QSO:  3778 PH 2018-02-24 0741 F6KOP         59  77     F1PHB         59  57    
QSO:  3778 PH 2018-02-24 0741 F6KOP         59  77     F1NZC         59  63    
QSO:  3778 PH 2018-02-24 0742 F6KOP         59  77     F4BXY         59  77    
QSO:  3778 PH 2018-02-24 0742 F6KOP         59  77     F5NUI         59  42    
QSO:  3778 PH 2018-02-24 0742 F6KOP         59  77     F4HGH         59  02    
QSO:  3778 PH 2018-02-24 0743 F6KOP         59  77     F1ISM         59  60    
QSO:  3778 PH 2018-02-24 0743 F6KOP         59  77     ON5HE         59  028   
QSO: 14242 PH 2018-02-24 0743 F6KOP         59  77     RC3W          59  001   
QSO:  3778 PH 2018-02-24 0744 F6KOP         59  77     F6FHO         59  42    
QSO:  3778 PH 2018-02-24 0744 F6KOP         59  77     F6REF         59  00    
QSO:  3778 PH 2018-02-24 0744 F6KOP         59  77     F4GMM         59  59    
QSO:  3778 PH 2018-02-24 0745 F6KOP         59  77     F4ECU         59  02    
QSO: 14242 PH 2018-02-24 0745 F6KOP         59  77     RA3DGH        59  001   
QSO:  3778 PH 2018-02-24 0746 F6KOP         59  77     F5TAG         59  31    
QSO:  3778 PH 2018-02-24 0746 F6KOP         59  77     TM2T          59  13    
QSO:  3778 PH 2018-02-24 0747 F6KOP         59  77     F6KDL         59  68    
