START-OF-LOG: 3.0
CREATED-BY: LM Version 4.2 (c) 1992, 2008 by DL8WAA
CONTEST: REF CONTEST SSB
LOCATION: DX
CALLSIGN: YB3IZK
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CLAIMED-SCORE: 

NAME: JOHN BERTHA
SOAPBOX: TNX 4 STATION FRANCE HPE CUAGN SOON GREETING FROM SURABAYA CITY
SOAPBOX: PROPAGATION VY BAD SOME TIME CLOSE BUT ENJOIYED LOOKING FRANCE

QSO: 21306   PH 2018-02-24 1217 YB3IZK        59  001    TM2T          59  13     0
QSO: 21220   PH 2018-02-24 1224 YB3IZK        59  002    F4CWN         59  32     0
QSO: 21247   PH 2018-02-24 1227 YB3IZK        59  003    F1RHS         59  82     0
QSO: 14133   PH 2018-02-24 1256 YB3IZK        59  004    F8NAN         59  63     0
QSO: 14149   PH 2018-02-24 1307 YB3IZK        59  005    F5HPY         59  85     0
QSO: 14135   PH 2018-02-24 1311 YB3IZK        59  006    TM2B          59  03     0
QSO: 14160   PH 2018-02-24 1314 YB3IZK        59  007    F5LBL         59  30     0
QSO: 14145   PH 2018-02-24 1324 YB3IZK        59  008    TM5G          59  44     0
QSO: 14177   PH 2018-02-24 1331 YB3IZK        59  009    TM2T          59  13     0
QSO: 14197   PH 2018-02-24 1345 YB3IZK        59  010    F8FUA         59  14     0
QSO: 14198   PH 2018-02-24 1348 YB3IZK        59  011    F4GGQ         59  29     0
QSO: 14201   PH 2018-02-24 1353 YB3IZK        59  012    F6CLQ         59  89     0
QSO: 14214   PH 2018-02-24 1400 YB3IZK        59  013    F6HQP         59  73     0
QSO: 14177   PH 2018-02-24 1410 YB3IZK        59  014    F6KHM         59  29     0
QSO: 14150   PH 2018-02-24 1423 YB3IZK        59  015    F6KJS         59  71     0
QSO: 14120   PH 2018-02-24 1434 YB3IZK        59  016    F4KJN         59  46     0
QSO: 14180   PH 2018-02-24 1438 YB3IZK        59  017    F6KNB         59  33     0
QSO: 14210   PH 2018-02-24 1440 YB3IZK        59  018    F4FSY         59  69     0
QSO: 14219   PH 2018-02-24 1446 YB3IZK        59  019    F6FT          59  19     0
QSO: 14193   PH 2018-02-24 1518 YB3IZK        59  020    F4HQZ         59  29     0
QSO:  7103   PH 2018-02-24 1707 YB3IZK        59  021    F6KHM         59  29     0
QSO: 21243   PH 2018-02-25 1014 YB3IZK        59  022    F5OHM         59  36     0
QSO: 21279   PH 2018-02-25 1203 YB3IZK        59  023    F6KNB         59  33     0
QSO: 21232   PH 2018-02-25 1214 YB3IZK        59  024    TM5G          59  44     0
QSO: 21237   PH 2018-02-25 1223 YB3IZK        59  025    F4ERS         59  37     0
QSO: 14179   PH 2018-02-25 1258 YB3IZK        59  026    TM55M         59  55     0
QSO: 14171   PH 2018-02-25 1315 YB3IZK        59  027    F5OTS/P       59  58     0
QSO: 14178   PH 2018-02-25 1331 YB3IZK        59  028    TM15AAW       59  71     0
QSO: 14225   PH 2018-02-25 1335 YB3IZK        59  029    F6REF         59  00     0
QSO: 14222   PH 2018-02-25 1342 YB3IZK        59  030    F5PCV         59  52     0
QSO: 14178.5 PH 2018-02-25 1346 YB3IZK        59  031    TK4RB         59  2B     0
QSO: 14156.5 PH 2018-02-25 1350 YB3IZK        59  032    F6CKD         59  44     0
QSO: 14222   PH 2018-02-25 1403 YB3IZK        59  033    F5ODK/P       59  03     0
QSO: 14241.5 PH 2018-02-25 1407 YB3IZK        59  034    F6KLO         59  19     0
QSO: 14133   PH 2018-02-25 1416 YB3IZK        59  035    F5KOU         59  80     0
END-OF-LOG:
