START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.9.1
CONTEST: REF-SSB
LOCATION: 2A
CALLSIGN: TK4RC
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 1870
OFFTIME: 2018-02-25 0247 2018-02-25 1800
OPERATORS: TK4RC
NAME: BERNO PIERI Christian
SOAPBOX: 
RIG: KENWOOD TS870   HEIL PROSET HC4  DIPOLE 20M DIPOLE 40M 100W
QSO: 14113 PH 2018-02-24 1506 TK4RC         59  2A     RZ3Z          59  254   
QSO: 14242 PH 2018-02-24 1509 TK4RC         59  2A     YM2KY         59  002   
QSO: 14244 PH 2018-02-24 1513 TK4RC         59  2A     TA7AZC        59  052   
QSO: 14206 PH 2018-02-24 1521 TK4RC         59  2A     TA4PR         59  019   
QSO: 14161 PH 2018-02-24 1528 TK4RC         59  2A     UT8UF         59  119   
QSO: 14116 PH 2018-02-24 1611 TK4RC         59  2A     TR8CA         59  046   
QSO: 14244 PH 2018-02-24 1622 TK4RC         59  2A     TK8QD         59  2A    
QSO: 14170 PH 2018-02-24 1626 TK4RC         59  2A     9H1AE         59  203   
QSO: 14148 PH 2018-02-24 1640 TK4RC         59  2A     RC3W          59  244   
QSO: 14163 PH 2018-02-24 1654 TK4RC         59  2A     EV1R          59  239   
QSO: 14171 PH 2018-02-24 1703 TK4RC         59  2A     EE8TH         59  205   
QSO: 14227 PH 2018-02-24 1711 TK4RC         59  2A     F5UTN         59  27    
QSO: 14137 PH 2018-02-24 1719 TK4RC         59  2A     FG5GP         59  FG    
QSO: 14172 PH 2018-02-24 1809 TK4RC         59  2A     FG4KH         59  FG    
QSO: 14160 PH 2018-02-24 1830 TK4RC         59  2A     FM5AN         59  FM    
QSO: 14206 PH 2018-02-24 1848 TK4RC         59  2A     PY5ZD         59  009   
QSO:  7160 PH 2018-02-24 1904 TK4RC         59  2A     G3PXT         59  196   
QSO:  7127 PH 2018-02-24 1919 TK4RC         59  2A     YP0C          59  520   
QSO:  7124 PH 2018-02-24 1930 TK4RC         59  2A     CN8SG         59  248   
QSO:  7150 PH 2018-02-24 1939 TK4RC         59  2A     TA4IBS        59  013   
QSO:  7119 PH 2018-02-24 2044 TK4RC         59  2A     FG4KH         59  FG    
QSO:  7140 PH 2018-02-24 2052 TK4RC         59  2A     FG4NN         59  FG    
QSO:  7130 PH 2018-02-25 0146 TK4RC         59  2A     TO7D          59  FG    
END-OF-LOG:
