START-OF-LOG: 2.0
REF-SECTION: 87
CALLSIGN: F4EZG
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE:  358484
CONTEST: REF-SSB
CREATED-BY: WINREF-HF V8.1.16
OFFTIME: 2018-02-24 1929 2018-02-25 0754
RIG: ICOM 706 MK 2 G
RIG: ICOM 706 MK 2 G
RIG: DIPOLE 40 80 COLINÉAIRE SPIDEBEAM 10 12 15 17 20
RIG: 100
QSO: 3500  PH 2018-02-24 0625 F4EZG         59  87     TM2T          59  13   
QSO: 7000  PH 2018-02-24 0713 F4EZG         59  87     TK4RB         59  2B   
QSO: 7000  PH 2018-02-24 0718 F4EZG         59  87     FM5BH         59  FM   
QSO: 7000  PH 2018-02-24 0734 F4EZG         59  87     FG4KH         59  FG   
QSO: 7000  PH 2018-02-24 0739 F4EZG         59  87     EE8TH         59  021  
QSO: 7000  PH 2018-02-24 0742 F4EZG         59  87     YP0C          59  049  
QSO: 7000  PH 2018-02-24 0804 F4EZG         59  87     TK8QD         59  2A   
QSO: 7000  PH 2018-02-24 0805 F4EZG         59  87     F8CFU         59  63   
QSO: 14000 PH 2018-02-24 0810 F4EZG         59  87     FR4QT         59  FR   
QSO: 7000  PH 2018-02-24 0824 F4EZG         59  87     F6KNB         59  33   
QSO: 7000  PH 2018-02-24 0833 F4EZG         59  87     IN3HDE        59  030  
QSO: 7000  PH 2018-02-24 0843 F4EZG         59  87     IZ2DLV        59  115  
QSO: 7000  PH 2018-02-24 0846 F4EZG         59  87     F4CWN         59  32   
QSO: 21000 PH 2018-02-24 0853 F4EZG         59  87     FR4QT         59  FR   
QSO: 7000  PH 2018-02-24 0902 F4EZG         59  87     F5UTN         59  27   
QSO: 7000  PH 2018-02-24 0904 F4EZG         59  87     F1JFR         59  67   
QSO: 7000  PH 2018-02-24 0907 F4EZG         59  87     F6KQV         59  67   
QSO: 7000  PH 2018-02-24 0915 F4EZG         59  87     TM2T          59  13   
QSO: 7000  PH 2018-02-24 0918 F4EZG         59  87     F4KIP         59  57   
QSO: 7000  PH 2018-02-24 0923 F4EZG         59  87     F8EMH         59  54   
QSO: 7000  PH 2018-02-24 0929 F4EZG         59  87     F5OTS/P       59  58   
