START-OF-LOG: 3.0
CONTEST: IARU-HF
LOCATION: DX
CALLSIGN: HL0HQ
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-POWER: LOW
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-STATION: HQ
CATEGORY-TRANSMITTER: ONE
CREATED-BY: N1MM LOGGER+ 1.0.7422.0
OPERATORS: HL2WA,HL1IWD, HL2CFY, HL2VXK, HL3EQG, DS5TOS, DS4NMJ, DS2NMJ, DS2GWM, DS3BNU, 6K2EGQ
HQ-CATEGORY: IARU Headquarters Stations
HQ-GRID-LOCATOR: PM37of
QSO: 14024 CW 2019-07-13 1205 HL0HQ 599 KARL BA3MM 599 44
QSO: 14024 CW 2019-07-13 1206 HL0HQ 599 KARL JA2HYD 599 45
QSO: 14000 CW 2019-07-13 1208 HL0HQ 599 KARL UA0UV 599 32
QSO: 14000 CW 2019-07-13 1209 HL0HQ 599 KARL JA3DAY 599 45
QSO: 14000 CW 2019-07-13 1213 HL0HQ 599 KARL JA3VOV 599 45
QSO: 14000 CW 2019-07-13 1215 HL0HQ 599 KARL JE1LOI 599 45
QSO: 14000 CW 2019-07-13 1222 HL0HQ 599 KARL JA2ODB 599 45
QSO: 14000 CW 2019-07-13 1224 HL0HQ 599 KARL RA9LAO 599 30
QSO: 14000 CW 2019-07-13 1224 HL0HQ 599 KARL JK1NSR 599 45
QSO: 14000 CW 2019-07-13 1226 HL0HQ 599 KARL JJ0JMU 599 45
QSO: 14000 CW 2019-07-13 1227 HL0HQ 599 KARL JJ0JML 599 45
QSO: 14000 CW 2019-07-13 1228 HL0HQ 599 KARL UA3A 599 19
QSO: 14000 CW 2019-07-13 1229 HL0HQ 599 KARL JR3NZC 599 45
QSO: 14000 CW 2019-07-13 1229 HL0HQ 599 KARL JE1GWO 599 45
QSO: 14000 CW 2019-07-13 1230 HL0HQ 599 KARL DS2JJV 599 44
QSO: 14000 CW 2019-07-13 1230 HL0HQ 599 KARL 7L3PFH 599 45
QSO: 14000 CW 2019-07-13 1231 HL0HQ 599 KARL JA9LNZ 599 45
QSO: 14000 CW 2019-07-13 1232 HL0HQ 599 KARL HL1IWD 599 44
QSO: 14000 CW 2019-07-13 1233 HL0HQ 599 KARL JK1WSV 599 45
QSO: 14000 CW 2019-07-13 1235 HL0HQ 599 KARL JE1RRK 599 45
QSO: 14000 CW 2019-07-13 1235 HL0HQ 599 KARL UA0CA 599 34
QSO: 14000 CW 2019-07-13 1235 HL0HQ 599 KARL JR3KQJ 599 45
QSO: 14000 CW 2019-07-13 1237 HL0HQ 599 KARL JH1EAQ 599 45
QSO: 14000 CW 2019-07-13 1237 HL0HQ 599 KARL HL2KV 599 44
QSO: 14000 CW 2019-07-13 1239 HL0HQ 599 KARL UW1M 599 29
QSO: 14000 CW 2019-07-13 1244 HL0HQ 599 KARL EV1R 599 29
QSO: 14000 CW 2019-07-13 1245 HL0HQ 599 KARL RA3YY 599 29
QSO: 14000 CW 2019-07-13 1247 HL0HQ 599 KARL UA0SE 599 32
QSO: 14000 CW 2019-07-13 1248 HL0HQ 599 KARL JF2MBF 599 45
QSO: 14000 CW 2019-07-13 1253 HL0HQ 599 KARL RM3F 599 29
QSO: 14000 CW 2019-07-13 1255 HL0HQ 599 KARL UT4U 599 29
QSO: 7000 CW 2019-07-13 1259 HL0HQ 599 KARL JF2MBF 599 45
QSO: 7000 CW 2019-07-13 1259 HL0HQ 599 KARL HL2BQG 599 44
QSO: 7000 CW 2019-07-13 1303 HL0HQ 599 KARL K7RAT 599 06
QSO: 7000 CW 2019-07-13 1312 HL0HQ 599 KARL KT7E 599 06
QSO: 7000 CW 2019-07-13 1314 HL0HQ 599 KARL B4HQ 599 CRAC
QSO: 7000 CW 2019-07-13 1316 HL0HQ 599 KARL W6YA 599 06
QSO: 7000 CW 2019-07-13 1324 HL0HQ 599 KARL K6DAJ 599 06
QSO: 7000 CW 2019-07-13 1328 HL0HQ 599 KARL W9KKN 599 08
QSO: 7000 CW 2019-07-13 1329 HL0HQ 599 KARL JF1LMB 599 45
QSO: 7000 CW 2019-07-13 1334 HL0HQ 599 KARL JH1CTV 599 45
QSO: 7000 CW 2019-07-13 1338 HL0HQ 599 KARL B4HQ 599 CRAC
QSO: 7000 CW 2019-07-13 1340 HL0HQ 599 KARL BA5CW 599 44
QSO: 7000 CW 2019-07-13 1343 HL0HQ 599 KARL NT6Q 599 06
QSO: 7000 CW 2019-07-13 1345 HL0HQ 599 KARL NE7D 599 06
QSO: 7000 CW 2019-07-13 1345 HL0HQ 599 KARL JA2QVP 599 45
QSO: 7000 CW 2019-07-13 1346 HL0HQ 599 KARL HL2VA 599 44
QSO: 7000 CW 2019-07-13 1349 HL0HQ 599 KARL RC0A 599 32
QSO: 7000 CW 2019-07-13 1352 HL0HQ 599 KARL 7L3PFH 599 45
QSO: 7000 CW 2019-07-13 1355 HL0HQ 599 KARL JN3NYR 599 45
QSO: 7000 CW 2019-07-13 1355 HL0HQ 599 KARL JA0CXQ 599 45
QSO: 14024 CW 2019-07-13 1420 HL0HQ 599 KARL RA6CA 599 29
QSO: 14024 CW 2019-07-13 1425 HL0HQ 599 KARL B1HQ 599 CRAC
QSO: 14024 CW 2019-07-13 1427 HL0HQ 599 KARL JA2KOG 599 45
QSO: 14024 CW 2019-07-13 1430 HL0HQ 599 KARL HN0HQ 599 IARS
QSO: 14024 CW 2019-07-13 1433 HL0HQ 599 KARL JA7ACM 599 45
QSO: 14024 CW 2019-07-13 1434 HL0HQ 599 KARL R4KO 599 29
QSO: 14024 CW 2019-07-13 1436 HL0HQ 599 KARL JA1BPA 599 45
QSO: 14024 CW 2019-07-13 1438 HL0HQ 599 KARL JE1LFX 599 45
QSO: 14024 CW 2019-07-13 1439 HL0HQ 599 KARL JI1HFJ 599 45
QSO: 14024 CW 2019-07-13 1443 HL0HQ 599 KARL YR0HQ 599 FRR
QSO: 14024 CW 2019-07-13 1445 HL0HQ 599 KARL JA1BJI 599 45
QSO: 14024 CW 2019-07-13 1447 HL0HQ 599 KARL JR3AAZ 599 45
QSO: 14024 CW 2019-07-13 1447 HL0HQ 599 KARL JQ2OUL 599 45
QSO: 7022 CW 2019-07-13 1453 HL0HQ 599 KARL JE5JHZ 599 45
QSO: 7022 CW 2019-07-13 1455 HL0HQ 599 KARL BG5BY 599 44
QSO: 7022 CW 2019-07-13 1456 HL0HQ 599 KARL JI1HFJ 599 45
QSO: 7022 CW 2019-07-13 1457 HL0HQ 599 KARL JH2CMH 599 45
QSO: 7022 CW 2019-07-13 1457 HL0HQ 599 KARL JA1IFP 599 45
QSO: 7022 CW 2019-07-13 1458 HL0HQ 599 KARL JL1EBL 599 45
QSO: 7022 CW 2019-07-13 1501 HL0HQ 599 KARL RM9A 599 30
QSO: 7022 CW 2019-07-13 1502 HL0HQ 599 KARL JM1MTE 599 45
QSO: 7022 CW 2019-07-13 1503 HL0HQ 599 KARL JR3RIU 599 45
QSO: 7022 CW 2019-07-13 1504 HL0HQ 599 KARL JH1QDF 599 45
QSO: 7022 CW 2019-07-13 1507 HL0HQ 599 KARL 8N3HQ 599 JARL
QSO: 7022 CW 2019-07-13 1509 HL0HQ 599 KARL JF2PKL 599 45
QSO: 7022 CW 2019-07-13 1510 HL0HQ 599 KARL JR2ALA 599 45
QSO: 7022 CW 2019-07-13 1511 HL0HQ 599 KARL JH8OCK 599 45
QSO: 7022 CW 2019-07-13 1512 HL0HQ 599 KARL JR5DPV 599 45
QSO: 7022 CW 2019-07-13 1513 HL0HQ 599 KARL JA7FFN 599 45
QSO: 7022 CW 2019-07-13 1513 HL0HQ 599 KARL R9CW 599 30
QSO: 7022 CW 2019-07-13 1514 HL0HQ 599 KARL JA2EAB 599 45
