START-OF-LOG: 3.0
CREATED-BY:    CT Version 10.03.002
CALLSIGN:      NR7DX
NAME:          Eric Martin
CLUB:          Northern Rockies DX Association
CLAIMED-SCORE: 201804
CONTEST:       CQ-WPX-SSB
OPERATORS:    K7ABV
OPERATORS:
SOAPBOX:    another good time...even some dx in the log...can't ask for more..
SOAPBOX:
SOAPBOX:
SOAPBOX:
LOCATION: MT
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
QSO: 14000 PH 2008-03-29 0011 NR7DX          59 1      6Y1V          59  45     0
QSO: 14000 PH 2008-03-29 0011 NR7DX          59 2      TI5N          59  32     0
QSO: 14000 PH 2008-03-29 0014 NR7DX          59 3      CE4CT         59  23     0
QSO: 14000 PH 2008-03-29 0015 NR7DX          59 4      NQ4I          59  34     0
QSO: 14000 PH 2008-03-29 0015 NR7DX          59 5      P40A          59  48     0
QSO: 14000 PH 2008-03-29 0017 NR7DX          59 6      PY2YU         59  70     0
QSO: 14000 PH 2008-03-29 0018 NR7DX          59 7      XQ1KY         59  18     0
QSO: 14000 PH 2008-03-29 0018 NR7DX          59 8      LS2D          59  53     0
QSO: 14000 PH 2008-03-29 0019 NR7DX          59 9      LT1F          59  65     0
QSO: 14000 PH 2008-03-29 0019 NR7DX          59 10     CE1TT         59  12     0
QSO: 14000 PH 2008-03-29 0020 NR7DX          59 11     PR1T          59  58     0
QSO: 14000 PH 2008-03-29 0021 NR7DX          59 12     K4PV          59  48     0
QSO: 14000 PH 2008-03-29 0022 NR7DX          59 13     HD2A          59  48     0
QSO: 14000 PH 2008-03-29 0023 NR7DX          59 14     P49Y          59  54     0
QSO: 14000 PH 2008-03-29 0023 NR7DX          59 15     KT5J          59  75     0
QSO: 14000 PH 2008-03-29 0024 NR7DX          59 16     3G1C          59  51     0
QSO: 14000 PH 2008-03-29 0024 NR7DX          59 17     TI8M          59  54     0
QSO: 14000 PH 2008-03-29 0025 NR7DX          59 18     K5TR          59  91     0
QSO: 14000 PH 2008-03-29 0025 NR7DX          59 19     N4WW          59  60     0
QSO: 14000 PH 2008-03-29 0027 NR7DX          59 20     PR5Z          59  36     0
QSO: 14000 PH 2008-03-29 0028 NR7DX          59 21     W4/M0BUE      59  10     0
QSO: 14000 PH 2008-03-29 0029 NR7DX          59 22     ZX2B          59  70     0
QSO: 14000 PH 2008-03-29 0031 NR7DX          59 23     KI4PPR        59  05     0
QSO: 14000 PH 2008-03-29 0033 NR7DX          59 24     PP5JD         59  73     0
QSO: 14000 PH 2008-03-29 0033 NR7DX          59 25     CE3BFZ        59  45     0
QSO: 14000 PH 2008-03-29 0034 NR7DX          59 26     NX5M          59  75     0
QSO: 14000 PH 2008-03-29 0035 NR7DX          59 27     WM5R          59  116    0
QSO: 14000 PH 2008-03-29 0036 NR7DX          59 28     PT5A          59  78     0
QSO: 14000 PH 2008-03-29 0038 NR7DX          59 29     LP1H          59  117    0
QSO: 14000 PH 2008-03-29 0039 NR7DX          59 30     XE2JA         59  42     0
QSO: 14000 PH 2008-03-29 0040 NR7DX          59 31     N5DO          59  68     0
QSO: 14000 PH 2008-03-29 0041 NR7DX          59 32     PW2D          59  95     0
QSO: 14000 PH 2008-03-29 0041 NR7DX          59 33     KJ4VO         59  64     0
QSO: 14000 PH 2008-03-29 0042 NR7DX          59 34     PS2T          59  143    0
QSO: 14000 PH 2008-03-29 0044 NR7DX          59 35     NQ4U          59  34     0
QSO: 14000 PH 2008-03-29 0045 NR7DX          59 36     N5TF          59  04     0
QSO: 14000 PH 2008-03-29 0058 NR7DX          59 37     XE1EX         59  19     0
QSO: 14000 PH 2008-03-29 0059 NR7DX          59 38     N5PV          59  21     0
QSO: 14000 PH 2008-03-29 0101 NR7DX          59 39     LR2F          59  152    0
QSO: 14000 PH 2008-03-29 0102 NR7DX          59 40     WA4ASJ        59  10     0
QSO: 14000 PH 2008-03-29 0107 NR7DX          59 41     KR4Z          59  26     0
QSO: 14000 PH 2008-03-29 0108 NR7DX          59 42     ZW5F          59  20     0
QSO: 14000 PH 2008-03-29 0109 NR7DX          59 43     XE1CXC        59  36     0
QSO: 14000 PH 2008-03-29 0112 NR7DX          59 44     WC6H          59  121    0
QSO:  7000 PH 2008-03-29 0159 NR7DX          59 45     WA5ZUP        59  66     0
QSO:  7000 PH 2008-03-29 0159 NR7DX          59 46     WT4Q          59  64     0
QSO:  7000 PH 2008-03-29 0201 NR7DX          59 47     NR6O          59  219    0
QSO:  7000 PH 2008-03-29 0202 NR7DX          59 48     N5DO          59  237    0
QSO:  7000 PH 2008-03-29 0204 NR7DX          59 49     WW9R          59  196    0
QSO:  7000 PH 2008-03-29 0205 NR7DX          59 50     NJ4M          59  373    0
QSO:  7000 PH 2008-03-29 0206 NR7DX          59 51     WN9O          59  184    0
QSO:  7000 PH 2008-03-29 0209 NR7DX          59 52     WE4YL/9       59  70     0
QSO:  7000 PH 2008-03-29 0210 NR7DX          59 53     KD4D          59  165    0
QSO:  7000 PH 2008-03-29 0211 NR7DX          59 54     WM5R          59  351    0
QSO: 14000 PH 2008-03-29 1316 NR7DX          59 55     XR6T          59  264    0
QSO: 14000 PH 2008-03-29 1503 NR7DX          59 56     9A60A         59  813    0
QSO: 14000 PH 2008-03-29 1506 NR7DX          59 57     IO5O          59  64     0
QSO: 14000 PH 2008-03-29 1507 NR7DX          59 58     S52OW         59  521    0
QSO: 14000 PH 2008-03-29 1509 NR7DX          59 59     AM3SSB        59  519    0
QSO: 14000 PH 2008-03-29 1510 NR7DX          59 60     E73MMM        59  1118   0
QSO: 14000 PH 2008-03-29 1511 NR7DX          59 61     OT5A          59  620    0
QSO: 14000 PH 2008-03-29 1512 NR7DX          59 62     DP4A          59  297    0
QSO: 14000 PH 2008-03-29 1513 NR7DX          59 63     M6T           59  1217   0
QSO: 14000 PH 2008-03-29 1514 NR7DX          59 64     LY8O          59  851    0
QSO: 14000 PH 2008-03-29 1515 NR7DX          59 65     YT5A          59  629    0
QSO: 14000 PH 2008-03-29 1516 NR7DX          59 66     NN5J          59  958    0
QSO: 14000 PH 2008-03-29 1517 NR7DX          59 67     YT2T          59  1014   0
QSO: 14000 PH 2008-03-29 1518 NR7DX          59 68     SP75C         59  308    0
QSO: 14000 PH 2008-03-29 1519 NR7DX          59 69     DL1ELY        59  520    0
QSO: 14000 PH 2008-03-29 1520 NR7DX          59 70     S50K          59  889    0
QSO: 14000 PH 2008-03-29 1521 NR7DX          59 71     S57AL         59  774    0
QSO: 14000 PH 2008-03-29 1521 NR7DX          59 72     S50A          59  937    0
QSO: 14000 PH 2008-03-29 1523 NR7DX          59 73     VE3RM         59  341    0
QSO: 14000 PH 2008-03-29 1524 NR7DX          59 74     S566D         59  829    0
QSO: 14000 PH 2008-03-29 1524 NR7DX          59 75     PI4COM        59  645    0
QSO: 14000 PH 2008-03-29 1528 NR7DX          59 76     EA5KV         59  834    0
QSO: 14000 PH 2008-03-29 1529 NR7DX          59 77     M0WLG         59  007    0
QSO: 14000 PH 2008-03-29 1530 NR7DX          59 78     PD1DX         59  451    0
QSO: 14000 PH 2008-03-29 1531 NR7DX          59 79     XE2YBG        59  244    0
QSO: 14000 PH 2008-03-29 1532 NR7DX          59 80     YT9A          59  1292   0
QSO: 14000 PH 2008-03-29 1546 NR7DX          59 81     TM6M          59  951    0
QSO: 14000 PH 2008-03-29 1547 NR7DX          59 82     IR2M          59  765    0
QSO: 14000 PH 2008-03-29 1656 NR7DX          59 83     KH7B          59  1458   0
QSO: 14000 PH 2008-03-29 1657 NR7DX          59 84     DR1A          59  835    0
QSO: 14000 PH 2008-03-29 1706 NR7DX          59 85     OG8X          59  1082   0
QSO: 14000 PH 2008-03-29 1858 NR7DX          59 86     S57RTH        59  439    0
QSO: 14000 PH 2008-03-29 1858 NR7DX          59 87     K7WP          59  799    0
QSO: 14000 PH 2008-03-29 1901 NR7DX          59 88     CQ95F         59  472    0
QSO: 14000 PH 2008-03-29 1904 NR7DX          59 89     OH8L          59  612    0
QSO: 14000 PH 2008-03-29 1905 NR7DX          59 90     IQ2CJ         59  1002   0
QSO: 14000 PH 2008-03-29 1906 NR7DX          59 91     AL9A          59  228    0
QSO: 14000 PH 2008-03-29 1907 NR7DX          59 92     NH6P          59  1298   0
QSO: 14000 PH 2008-03-29 1908 NR7DX          59 93     W8MJ          59  838    0
QSO: 14000 PH 2008-03-29 1909 NR7DX          59 94     WX5S          59  329    0
QSO: 14000 PH 2008-03-29 1909 NR7DX          59 95     KQ2M          59  141    0
QSO: 14000 PH 2008-03-29 1910 NR7DX          59 96     W7WW          59  161    0
QSO: 14000 PH 2008-03-29 1910 NR7DX          59 97     NU1AW         59  452    0
QSO: 14000 PH 2008-03-29 1913 NR7DX          59 98     IT9STX        59  811    0
QSO: 14000 PH 2008-03-29 1913 NR7DX          59 99     WA7NB         59  420    0
QSO: 14000 PH 2008-03-29 1914 NR7DX          59 100    SP8IMG        59  534    0
QSO: 14000 PH 2008-03-29 1931 NR7DX          59 101    KL5O          59  005    0
QSO: 14000 PH 2008-03-29 1931 NR7DX          59 102    RW1ZA         59  686    0
QSO: 14000 PH 2008-03-29 1932 NR7DX          59 103    YT1BB         59  1068   0
QSO: 14000 PH 2008-03-29 1934 NR7DX          59 104    YT9X          59  1104   0
QSO: 14000 PH 2008-03-29 1936 NR7DX          59 105    KC3R          59  1087   0
QSO: 14000 PH 2008-03-29 1938 NR7DX          59 106    HA3OV         59  1675   0
QSO: 14000 PH 2008-03-29 2140 NR7DX          59 107    JA1ZGP        59  180    0
QSO: 14000 PH 2008-03-29 2141 NR7DX          59 108    JE1LFX        59  549    0
QSO: 14000 PH 2008-03-29 2143 NR7DX          59 109    JS3CTQ        59  732    0
QSO: 14000 PH 2008-03-29 2146 NR7DX          59 110    JH4UYB        59  1109   0
QSO: 21000 PH 2008-03-29 2146 NR7DX          59 111    WH2DX         59  785    0
QSO: 21000 PH 2008-03-29 2147 NR7DX          59 112    AH0BT         59  664    0
QSO: 21000 PH 2008-03-29 2151 NR7DX          59 113    VK2ATZ        59  410    0
QSO: 21000 PH 2008-03-29 2153 NR7DX          59 114    KH6GMP        59  250    0
QSO: 21000 PH 2008-03-29 2153 NR7DX          59 115    NH6P          59  1609   0
QSO: 21000 PH 2008-03-29 2228 NR7DX          59 116    ZM2M          59  575    0
QSO: 21000 PH 2008-03-29 2230 NR7DX          59 117    VK2CA         59  499    0
QSO: 21000 PH 2008-03-29 2231 NR7DX          59 118    VK2APG        59  983    0
QSO: 21000 PH 2008-03-29 2232 NR7DX          59 119    KH6MB         59  799    0
QSO: 21000 PH 2008-03-29 2233 NR7DX          59 120    V73PX         59  1376   0
QSO: 21000 PH 2008-03-29 2235 NR7DX          59 121    VK2FHN        59  136    0
QSO: 21000 PH 2008-03-29 2237 NR7DX          59 122    VK2XN         59  608    0
QSO: 21000 PH 2008-03-29 2238 NR7DX          59 123    ZL2IFB        59  273    0
QSO: 14000 PH 2008-03-29 2242 NR7DX          59 124    JF1SEK        59  215    0
QSO: 14000 PH 2008-03-29 2243 NR7DX          59 125    PR7AA         59  213    0
QSO: 14000 PH 2008-03-29 2244 NR7DX          59 126    JA7BJS        59  165    0
QSO: 14000 PH 2008-03-29 2245 NR7DX          59 127    JI2ZEY        59  614    0
QSO: 14000 PH 2008-03-29 2245 NR7DX          59 128    JA6GCE        59  72     0
QSO: 14000 PH 2008-03-29 2246 NR7DX          59 129    4D76B         59  547    0
QSO: 14000 PH 2008-03-29 2252 NR7DX          59 130    FG/OM3LA      59  2258   0
QSO: 14000 PH 2008-03-29 2253 NR7DX          59 131    JI2ZJS        59  492    0
QSO: 14000 PH 2008-03-29 2255 NR7DX          59 132    JJ3YBB        59  98     0
QSO: 14000 PH 2008-03-29 2306 NR7DX          59 133    DS5FNE        59  458    0
QSO: 14000 PH 2008-03-29 2310 NR7DX          59 134    WP3C          59  878    0
QSO: 14000 PH 2008-03-29 2311 NR7DX          59 135    KT4PD         59  453    0
QSO: 14000 PH 2008-03-29 2311 NR7DX          59 136    WP2Z          59  1568   0
QSO: 14000 PH 2008-03-29 2313 NR7DX          59 137    PY5KA         59  142    0
QSO: 14000 PH 2008-03-29 2313 NR7DX          59 138    KP2TM         59  2233   0
QSO: 14000 PH 2008-03-29 2314 NR7DX          59 139    FY5YF         59  1493   0
QSO: 14000 PH 2008-03-29 2317 NR7DX          59 140    LR1H          59  168    0
QSO: 14000 PH 2008-03-29 2320 NR7DX          59 141    YW4M          59  897    0
QSO: 14000 PH 2008-03-29 2321 NR7DX          59 142    HR2DX         59  188    0
QSO: 14000 PH 2008-03-29 2322 NR7DX          59 143    YV1RDX        59  568    0
QSO: 14000 PH 2008-03-29 2325 NR7DX          59 144    ZX7A          59  858    0
QSO: 14000 PH 2008-03-29 2327 NR7DX          59 145    HQ2W          59  540    0
QSO: 14000 PH 2008-03-29 2328 NR7DX          59 146    P41YL         59  258    0
QSO: 14000 PH 2008-03-29 2331 NR7DX          59 147    PY4OD         59  488    0
QSO: 14000 PH 2008-03-29 2331 NR7DX          59 148    LU1HLH        59  769    0
QSO: 14000 PH 2008-03-29 2333 NR7DX          59 149    FY1FL         59  981    0
QSO: 14000 PH 2008-03-29 2334 NR7DX          59 150    ZP0R          59  1514   0
QSO: 14000 PH 2008-03-29 2335 NR7DX          59 151    8R1K          59  1631   0
QSO: 14000 PH 2008-03-29 2338 NR7DX          59 152    BP0W          59  497    0
QSO: 14000 PH 2008-03-30 0019 NR7DX          59 153    RZ0SR         59  510    0
QSO: 14000 PH 2008-03-30 0020 NR7DX          59 154    PJ2T          59  1252   0
QSO: 14000 PH 2008-03-30 0021 NR7DX          59 155    JA1JGP        59  211    0
QSO: 14000 PH 2008-03-30 0025 NR7DX          59 156    ZW5B          59  513    0
QSO: 14000 PH 2008-03-30 0027 NR7DX          59 157    JA2PAC        59  773    0
QSO: 14000 PH 2008-03-30 0029 NR7DX          59 158    JR7WAB        59  295    0
QSO: 14000 PH 2008-03-30 0031 NR7DX          59 159    JA7COI        59  412    0
QSO: 14000 PH 2008-03-30 0032 NR7DX          59 160    JH7QXJ        59  147    0
QSO: 14000 PH 2008-03-30 0106 NR7DX          59 161    ZY7C          59  1307   0
QSO: 14000 PH 2008-03-30 0108 NR7DX          59 162    JA8RWU        59  604    0
QSO: 14000 PH 2008-03-30 0109 NR7DX          59 163    NH6JC         59  378    0
QSO: 14000 PH 2008-03-30 0111 NR7DX          59 164    JA1RPK        59  14     0
QSO: 14000 PH 2008-03-30 0112 NR7DX          59 165    K1SUB         59  23     0
QSO: 14000 PH 2008-03-30 0112 NR7DX          59 166    NM1JY         59  562    0
QSO: 14000 PH 2008-03-30 0112 NR7DX          59 167    KG2RG         59  355    0
QSO: 14000 PH 2008-03-30 0113 NR7DX          59 168    W2LC          59  166    0
QSO: 14000 PH 2008-03-30 0113 NR7DX          59 169    JH3PRR        59  501    0
QSO: 14000 PH 2008-03-30 0114 NR7DX          59 170    JR5XPG        59  226    0
QSO: 14000 PH 2008-03-30 0115 NR7DX          59 171    JA1FRQ        59  107    0
QSO: 14000 PH 2008-03-30 0115 NR7DX          59 172    JK1WXM        59  60     0
QSO: 14000 PH 2008-03-30 0116 NR7DX          59 173    JF1YRK        59  62     0
QSO: 14000 PH 2008-03-30 0118 NR7DX          59 174    KG2RG         59  356    0
QSO: 14000 PH 2008-03-30 0119 NR7DX          59 175    JA0AXV        59  375    0
QSO: 14000 PH 2008-03-30 0119 NR7DX          59 176    RA0QD         59  558    0
QSO: 14000 PH 2008-03-30 0119 NR7DX          59 177    JA7LMZ        59  391    0
QSO: 14000 PH 2008-03-30 0121 NR7DX          59 178    UA0SJ         59  583    0
QSO: 14000 PH 2008-03-30 0121 NR7DX          59 179    UA0SE         59  329    0
QSO: 14000 PH 2008-03-30 0125 NR7DX          59 180    JR3HZW        59  19     0
QSO: 14000 PH 2008-03-30 0206 NR7DX          59 181    JA2ZJW        59  497    0
QSO: 14000 PH 2008-03-30 0206 NR7DX          59 182    AL2F          59  217    0
QSO: 14000 PH 2008-03-30 0208 NR7DX          59 183    JH0EPI        59  249    0
QSO: 14000 PH 2008-03-30 0210 NR7DX          59 184    RX0AE         59  383    0
QSO: 14000 PH 2008-03-30 0219 NR7DX          59 185    JA2BNN        59  336    0
QSO: 14000 PH 2008-03-30 0223 NR7DX          59 186    WH6R          59  1125   0
QSO:  3500 PH 2008-03-30 0514 NR7DX          59 187    ZF1A          59  1159   0
QSO:  3500 PH 2008-03-30 0515 NR7DX          59 188    VA7AAA        59  165    0
QSO: 14000 PH 2008-03-30 1501 NR7DX          59 189    K2DB          59  554    0
QSO: 14000 PH 2008-03-30 1501 NR7DX          59 190    TM1W          59  1939   0
QSO: 14000 PH 2008-03-30 1502 NR7DX          59 191    NZ1U          59  36     0
QSO: 14000 PH 2008-03-30 1503 NR7DX          59 192    OZ2TF         59  72     0
QSO: 14000 PH 2008-03-30 1504 NR7DX          59 193    OE6V          59  1086   0
QSO: 14000 PH 2008-03-30 1505 NR7DX          59 194    SO2R          59  1980   0
QSO: 14000 PH 2008-03-30 1506 NR7DX          59 195    R3K           59  2296   0
QSO: 14000 PH 2008-03-30 1506 NR7DX          59 196    IZ1LBG        59  1300   0
QSO: 14000 PH 2008-03-30 1510 NR7DX          59 197    K3EST         59  2262   0
QSO: 14000 PH 2008-03-30 1512 NR7DX          59 198    OK5R          59  2697   0
QSO: 14000 PH 2008-03-30 1513 NR7DX          59 199    K3ZO          59  1347   0
QSO: 14000 PH 2008-03-30 1514 NR7DX          59 200    LZ9W          59  1610   0
QSO: 14000 PH 2008-03-30 1618 NR7DX          59 201    OL3Z          59  1049   0
QSO: 14000 PH 2008-03-30 1621 NR7DX          59 202    WT4Q          59  465    0
QSO: 14000 PH 2008-03-30 1622 NR7DX          59 203    SP75N         59  745    0
QSO: 14000 PH 2008-03-30 1623 NR7DX          59 204    DL3TD         59  2173   0
QSO: 14000 PH 2008-03-30 1626 NR7DX          59 205    K1LZ          59  2072   0
QSO: 14000 PH 2008-03-30 1629 NR7DX          59 206    S53M          59  1236   0
QSO: 14000 PH 2008-03-30 1630 NR7DX          59 207    HG8KHQ        59  1551   0
QSO: 14000 PH 2008-03-30 1631 NR7DX          59 208    OL1X          59  970    0
QSO: 14000 PH 2008-03-30 1632 NR7DX          59 209    IR2A          59  500    0
QSO: 14000 PH 2008-03-30 1634 NR7DX          59 210    OM7M          59  1586   0
QSO: 14000 PH 2008-03-30 1635 NR7DX          59 211    WE3C          59  1457   0
QSO: 14000 PH 2008-03-30 1637 NR7DX          59 212    RK4FD         59  2556   0
QSO: 14000 PH 2008-03-30 1638 NR7DX          59 213    DQ8N          59  840    0
QSO: 14000 PH 2008-03-30 1642 NR7DX          59 214    LY9Y          59  984    0
QSO: 14000 PH 2008-03-30 1645 NR7DX          59 215    KC2LYS        59  27     0
QSO: 14000 PH 2008-03-30 1646 NR7DX          59 216    KI4ITV        59  212    0
QSO: 14000 PH 2008-03-30 1646 NR7DX          59 217    K5RCJ         59  15     0
QSO: 14000 PH 2008-03-30 1647 NR7DX          59 218    K4CX          59  296    0
QSO: 14000 PH 2008-03-30 1648 NR7DX          59 219    KX3Z          59  53     0
QSO: 14000 PH 2008-03-30 1648 NR7DX          59 220    W2ACY/5       59  143    0
QSO: 14000 PH 2008-03-30 1648 NR7DX          59 221    KB3CWQ        59  26     0
QSO: 14000 PH 2008-03-30 1649 NR7DX          59 222    NO8R          59  228    0
QSO: 14000 PH 2008-03-30 1649 NR7DX          59 223    KJ4IC         59  28     0
QSO: 14000 PH 2008-03-30 1649 NR7DX          59 224    N3YW          59  233    0
QSO: 14000 PH 2008-03-30 1650 NR7DX          59 225    KD8CDC        59  66     0
QSO: 14000 PH 2008-03-30 1650 NR7DX          59 226    AC6NN         59  76     0
QSO: 14000 PH 2008-03-30 1651 NR7DX          59 227    AF8C          59  143    0
QSO: 14000 PH 2008-03-30 1651 NR7DX          59 228    N9REY/M       59  18     0
QSO: 14000 PH 2008-03-30 1651 NR7DX          59 229    AB2E          59  138    0
QSO: 14000 PH 2008-03-30 1651 NR7DX          59 230    NZ1D          59  65     0
QSO: 14000 PH 2008-03-30 1652 NR7DX          59 231    N2SQW         59  390    0
QSO: 14000 PH 2008-03-30 1652 NR7DX          59 232    N1RK          59  383    0
QSO: 14000 PH 2008-03-30 1653 NR7DX          59 233    WG4P/M        59  003    0
QSO: 14000 PH 2008-03-30 1653 NR7DX          59 234    W3BW          59  317    0
QSO: 14000 PH 2008-03-30 1653 NR7DX          59 235    KZ5OH         59  225    0
