START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: WAG
CALLSIGN: N1UR
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: N1UR
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for WAG DARC/WAG/2020.
QSO: 14151 PH 2020-10-17 1501 N1UR          59 DQ1P          59 E34
QSO: 14000 PH 2020-10-17 1502 N1UR          59 004 DL2DQL        59 S02
QSO: 14000 PH 2020-10-17 1503 N1UR          59 006 DB1VQ         59 Q08
QSO: 14151 PH 2020-10-17 1503 N1UR          59 5 DB7BN         59 M21
QSO: 14151 PH 2020-10-17 1503 N1UR          59 022 DL3IF         59 P50
QSO: 14000 PH 2020-10-17 1504 N1UR          59 011 DJ7GS         59 A01
QSO: 14151 PH 2020-10-17 1504 N1UR          59 9 DJ5LA         59 M15
QSO: 14250 PH 2020-10-17 1504 N1UR          59 010 DG1YBN        59 N44
QSO: 14000 PH 2020-10-17 1505 N1UR          59 14 DC2VE         59 Q05
QSO: 14000 PH 2020-10-17 1505 N1UR          59 012 DL1MPR        59 T08
QSO: 14151 PH 2020-10-17 1505 N1UR          59 013 DA0CCC        59 D23
QSO: 14000 PH 2020-10-17 1506 N1UR          59 015 DK8K          59 Q07
QSO: 14000 PH 2020-10-17 1507 N1UR          59 019 DB6VP         59 Q05
QSO: 14000 PH 2020-10-17 1507 N1UR          59 17 DC5BK         59 T01
QSO: 14000 PH 2020-10-17 1507 N1UR          59 020 DL1VO         59 K30
QSO: 14151 PH 2020-10-17 1507 N1UR          59 18 DL5KIM        59 K27
