START-OF-LOG: 3.0
CREATED-BY: DXLog.net v2.0.25
CONTEST: EA-MAJESTAD-CW
CALLSIGN: EB1RL
CATEGORY: SINGLE-OP ALL QRP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-OVERLAY: 
CATEGORY-POWER: 
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CLAIMED-SCORE: 27700
CLUB: 
NAME: Inaki Herran Martin
OPERATORS: 
SOAPBOX: HARD CONTEST DUE TO POOR CONDITIONS. TNX TO ALL! 72!
QSO:  7000 CW 2016-05-21 1215 EB1RL         599 BU     EA5FX         599 CS         0  
QSO:  7030 CW 2016-05-21 1217 EB1RL         599 BU     EA5LA         599 V          0  
QSO:  7015 CW 2016-05-21 1222 EB1RL         599 BU     EF0F          599 SMR        0  
QSO: 14039 CW 2016-05-21 1230 EB1RL         599 BU     YU1UN         599 022       0  
QSO: 14039 CW 2016-05-21 1232 EB1RL         599 BU     OG6N          599 058       0  
QSO: 14021 CW 2016-05-21 1240 EB1RL         599 BU     I0ZUT         599 025       0  
QSO: 21015 CW 2016-05-21 1324 EB1RL         599 BU     4Z4AK         599 114       0  
QSO:  7019 CW 2016-05-21 1329 EB1RL         599 BU     F5VLY         599 031       0  
QSO:  7020 CW 2016-05-21 1330 EB1RL         599 BU     EA1FA         599 O          0  
QSO:  7022 CW 2016-05-21 1331 EB1RL         599 BU     EA3GBA        599 B          0  
QSO:  7025 CW 2016-05-21 1332 EB1RL         599 BU     EA2NN         599 CC         0  
QSO:  7009 CW 2016-05-21 1337 EB1RL         599 BU     EA5WU         599 CS         0  
QSO:  7009 CW 2016-05-21 1337 EB1RL         599 BU     EA1AF         599 P          0  
QSO:  7009 CW 2016-05-21 1340 EB1RL         599 BU     EA1UU         599 S          0  
QSO:  7011 CW 2016-05-21 1344 EB1RL         599 BU     EA5DNO        599 CS         0  
QSO:  7016 CW 2016-05-21 1345 EB1RL         599 BU     F5OZC         599 042       0  
QSO:  7036 CW 2016-05-21 1355 EB1RL         599 BU     EA3EER        599 B          0  
QSO: 14010 CW 2016-05-21 1356 EB1RL         599 BU     LZ9W          599 089       0  
QSO: 14014 CW 2016-05-21 1358 EB1RL         599 BU     HA6NW         599 073       0  
QSO: 21013 CW 2016-05-21 1359 EB1RL         599 BU     HG7T          599 034       0  
QSO: 21038 CW 2016-05-21 1403 EB1RL         599 BU     DJ1YF         599 038       0  
QSO: 21016 CW 2016-05-21 1408 EB1RL         599 BU     5B4AMM        599 193       0  
QSO: 14037 CW 2016-05-21 1412 EB1RL         599 BU     HG8C          599 034       0  
QSO: 14025 CW 2016-05-21 1413 EB1RL         599 BU     HG7T          599 174       0  
QSO: 14019 CW 2016-05-21 1414 EB1RL         599 BU     9A1AA         599 094       0  
QSO: 14015 CW 2016-05-21 1415 EB1RL         599 BU     SC0N          599 124       0  
QSO: 14048 CW 2016-05-21 1420 EB1RL         599 BU     UA5C          599 010       0  
QSO: 14048 CW 2016-05-21 1421 EB1RL         599 BU     OH2PM         599 151       0  
QSO: 14048 CW 2016-05-21 1422 EB1RL         599 BU     LZ1DNY        599 112       0  
QSO: 14048 CW 2016-05-21 1424 EB1RL         599 BU     LY1CX         599 051       0  
QSO: 21012 CW 2016-05-21 1436 EB1RL         599 BU     S57AY         599 039       0  
QSO: 14012 CW 2016-05-21 1442 EB1RL         599 BU     EF8U          599 GC         0  
QSO: 14028 CW 2016-05-21 1445 EB1RL         599 BU     IK0YVV        599 055       0  
QSO: 14043 CW 2016-05-21 1457 EB1RL         599 BU     PA0MIR        599 035       0  
QSO: 14040 CW 2016-05-21 1459 EB1RL         599 BU     UA9MLT/8      599 088       0  
QSO: 14025 CW 2016-05-21 1502 EB1RL         599 BU     LZ7A          599 200       0  
QSO: 14000 CW 2016-05-21 1512 EB1RL         599 BU     SA6G          599 033       0  
QSO:  7033 CW 2016-05-21 1520 EB1RL         599 BU     EA5ERA        599 V          0  
QSO: 14030 CW 2016-05-21 1526 EB1RL         599 BU     HA4XH         599 165       0  
QSO: 14028 CW 2016-05-21 1527 EB1RL         599 BU     EF8C          599 GC         0  
QSO: 14016 CW 2016-05-21 1532 EB1RL         599 BU     S51DX         599 243       0  
QSO: 14010 CW 2016-05-21 1542 EB1RL         599 BU     EA3NN         599 T          0  
QSO: 28033 CW 2016-05-21 1556 EB1RL         599 BU     HA4XH         599 194       0  
QSO: 28016 CW 2016-05-21 1612 EB1RL         599 BU     5B4AMM        599 295       0  
QSO:  7006 CW 2016-05-21 1618 EB1RL         599 BU     EA2SS         599 HU         0  
QSO: 28024 CW 2016-05-21 1622 EB1RL         599 BU     PA5GU         599 033       0  
QSO: 21036 CW 2016-05-21 1625 EB1RL         599 BU     PA5GU         599 035       0  
QSO: 21036 CW 2016-05-21 1627 EB1RL         599 BU     OH2PM         599 204       0  
QSO: 21036 CW 2016-05-21 1628 EB1RL         599 BU     PB7Z          599 034       0  
QSO: 21036 CW 2016-05-21 1630 EB1RL         599 BU     F5RQQ         599 046       0  
