START-OF-LOG: 3.0
CONTEST: EA-MAJESTAD-CW
CALLSIGN: OE3BKC
CATEGORY: SINGLE-OP ALL HIGH
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: 
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 12425
CREATED-BY: UcxLog 7.61
NAME: Herbert Katzgraber
SOAPBOX: RIG: TS-480SAT + PA  RM-Italy HLA-300V Plus, Ant: G5RV
QSO: 14000 CW 2016-05-21 1203 OE3BKC        599 001    EU8U          599 003
QSO: 14000 CW 2016-05-21 1205 OE3BKC        599 002    EF1A          599 C
QSO: 14000 CW 2016-05-21 1207 OE3BKC        599 003    ED1R          599 AV
QSO: 14000 CW 2016-05-21 1208 OE3BKC        599 004    EF8C          599 GC
QSO: 14000 CW 2016-05-21 1212 OE3BKC        599 005    SV1JG         599 024
QSO: 14000 CW 2016-05-21 1213 OE3BKC        599 006    EF5Y          599 A
QSO: 14000 CW 2016-05-21 1218 OE3BKC        599 007    5B4AMM        599 27
QSO: 14000 CW 2016-05-21 1220 OE3BKC        599 008    PA2W          599 017
QSO: 14000 CW 2016-05-21 1415 OE3BKC        599 009    EA5CP         599 MU
QSO: 14000 CW 2016-05-21 1445 OE3BKC        599 010    EA7GV         599 GR
QSO: 14000 CW 2016-05-21 1446 OE3BKC        599 011    SM5CSS        599 071
QSO: 14000 CW 2016-05-21 1448 OE3BKC        599 012    OG6N          599 206
QSO: 14000 CW 2016-05-21 1453 OE3BKC        599 013    SM5S          599 023
QSO: 14000 CW 2016-05-21 1454 OE3BKC        599 014    CN8KD         599 177
QSO: 14000 CW 2016-05-21 1456 OE3BKC        599 015    UA6YH         599 086
QSO: 14000 CW 2016-05-21 1458 OE3BKC        599 016    EA3NO         599 B
QSO: 14000 CW 2016-05-21 1701 OE3BKC        599 017    EA1VM         599 P
QSO: 21000 CW 2016-05-21 1703 OE3BKC        599 018    RG5A          599 211
QSO: 21000 CW 2016-05-21 1705 OE3BKC        599 019    SE5L          599 027
QSO: 21000 CW 2016-05-21 1706 OE3BKC        599 020    EF1A          599 C
QSO: 21000 CW 2016-05-21 1707 OE3BKC        599 021    UR7GO         599 306
QSO: 21000 CW 2016-05-21 1709 OE3BKC        599 022    EF5T          599 MU
QSO: 14000 CW 2016-05-21 1712 OE3BKC        599 023    RA1QD         599 026
QSO: 14000 CW 2016-05-21 1715 OE3BKC        599 024    EA4RE         599 M
QSO: 14000 CW 2016-05-21 1716 OE3BKC        599 025    F8AEE         599 064
QSO: 14000 CW 2016-05-21 1718 OE3BKC        599 026    EA1WD         599 S
QSO: 14000 CW 2016-05-21 1721 OE3BKC        599 027    EA8ZS         599 GC
QSO: 14000 CW 2016-05-21 1724 OE3BKC        599 028    EF0F          599 SMR
QSO: 14000 CW 2016-05-21 1729 OE3BKC        599 029    LZ8A          599 316
QSO: 14000 CW 2016-05-21 1731 OE3BKC        599 030    OZ5RM         599 042
QSO: 14000 CW 2016-05-21 1733 OE3BKC        599 031    UA9ML         599 045
QSO: 14000 CW 2016-05-21 1736 OE3BKC        599 032    EC2DX         599 NA
QSO: 14000 CW 2016-05-21 1739 OE3BKC        599 033    EA5BY         599 A
QSO: 14000 CW 2016-05-21 1741 OE3BKC        599 034    EF8C          599 GC
QSO: 14000 CW 2016-05-21 1745 OE3BKC        599 035    UX4FC         599 222
QSO: 14000 CW 2016-05-21 1747 OE3BKC        599 036    EA3FZT        599 B
QSO: 14000 CW 2016-05-21 1749 OE3BKC        599 037    RC9J          599 196
QSO: 14000 CW 2016-05-21 1751 OE3BKC        599 038    YQ6A          599 034
QSO: 14000 CW 2016-05-21 1755 OE3BKC        599 039    EA6ZS         599 IB
QSO: 14000 CW 2016-05-21 1828 OE3BKC        599 040    EA4CH         599 GU
QSO: 14000 CW 2016-05-21 1829 OE3BKC        599 041    UT3EK         599 092
QSO: 14000 CW 2016-05-21 1831 OE3BKC        599 042    IT9CKA        599 083
QSO: 14000 CW 2016-05-21 1833 OE3BKC        599 043    RV3DBK        599 016
QSO: 14000 CW 2016-05-21 1835 OE3BKC        599 044    RV3VL         599 093
QSO: 14000 CW 2016-05-21 1837 OE3BKC        599 045    IZ1CLA        599 071
QSO: 14000 CW 2016-05-21 1841 OE3BKC        599 046    EC7AMY        599 SE
QSO: 14000 CW 2016-05-21 1847 OE3BKC        599 047    EA8BMG        599 TF
QSO: 14000 CW 2016-05-21 1849 OE3BKC        599 048    OM3CW         599 074
QSO: 14000 CW 2016-05-21 1849 OE3BKC        599 049    LZ8W          599 387
QSO: 14000 CW 2016-05-21 1850 OE3BKC        599 050    EF5Y          599 A
QSO: 14000 CW 2016-05-21 1855 OE3BKC        599 051    IK0IFR        599 137
QSO: 14000 CW 2016-05-21 1857 OE3BKC        599 052    TA3D          599 188
QSO: 14000 CW 2016-05-21 1900 OE3BKC        599 053    UT0QA         599 002
QSO: 14000 CW 2016-05-21 1903 OE3BKC        599 054    EA5DNO        599 CS
QSO:  7000 CW 2016-05-21 1909 OE3BKC        599 055    EF5Y          599 A
QSO:  7000 CW 2016-05-21 1910 OE3BKC        599 056    SN5N          599 038
QSO:  7000 CW 2016-05-21 1912 OE3BKC        599 057    DL2SAX        599 132
QSO:  7000 CW 2016-05-21 1914 OE3BKC        599 058    HA4XH         599 313
QSO:  7000 CW 2016-05-21 1915 OE3BKC        599 059    S53M          599 076
QSO:  7000 CW 2016-05-21 1917 OE3BKC        599 060    R7AB          599 179
QSO:  7000 CW 2016-05-21 1919 OE3BKC        599 061    DK1AX         599 161
QSO:  7000 CW 2016-05-21 1922 OE3BKC        599 062    EA5FX         599 CS
QSO:  7000 CW 2016-05-21 1924 OE3BKC        599 063    YO4DW         599 251
QSO:  7000 CW 2016-05-21 1925 OE3BKC        599 064    HG7T          599 092
QSO:  7000 CW 2016-05-21 1927 OE3BKC        599 065    HG3M          599 260
QSO:  7000 CW 2016-05-21 1928 OE3BKC        599 066    SM2T          599 318
QSO:  7000 CW 2016-05-21 1929 OE3BKC        599 067    YP5A          599 188
QSO:  7000 CW 2016-05-21 1930 OE3BKC        599 068    YU1RA         599 120
QSO:  7000 CW 2016-05-21 1931 OE3BKC        599 069    YL2TD         599 100
QSO:  7000 CW 2016-05-21 1932 OE3BKC        599 070    EA7GV         599 GR
QSO:  7000 CW 2016-05-21 1958 OE3BKC        599 071    OH2PM         599 291
QSO:  7000 CW 2016-05-21 1959 OE3BKC        599 072    G0RPM         599 066
QSO:  7000 CW 2016-05-21 2001 OE3BKC        599 073    RA3AT         599 180
QSO:  7000 CW 2016-05-21 2002 OE3BKC        599 074    RC9J          599 257
QSO:  7000 CW 2016-05-21 2006 OE3BKC        599 075    9A2AJ         599 198
QSO:  7000 CW 2016-05-21 2007 OE3BKC        599 076    HA6NW         599 209
QSO:  7000 CW 2016-05-21 2009 OE3BKC        599 077    DJ1YF         599 138
QSO:  3500 CW 2016-05-21 2014 OE3BKC        599 078    OZ2TF         599 221
QSO:  3500 CW 2016-05-21 2024 OE3BKC        599 079    EA1FCH        599 F
QSO: 14000 CW 2016-05-22 0842 OE3BKC        599 080    UR7GO         599 605
QSO: 14000 CW 2016-05-22 0843 OE3BKC        599 081    LZ5XQ         599 217
QSO: 14000 CW 2016-05-22 0845 OE3BKC        599 082    YO9RIJ        599 120
QSO: 14000 CW 2016-05-22 0846 OE3BKC        599 083    SV5/DL3DRN    599 239
QSO: 14000 CW 2016-05-22 0848 OE3BKC        599 084    EA3NO         599 B
