START-OF-LOG: 3.0
CONTEST: EA-MAJESTAD-CW
CALLSIGN: DJ3GE
CATEGORY: SINGLE-OP ALL QRP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: 
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 15168
CREATED-BY: UcxLog 7.62
OPERATORS: DJ3GE
NAME: Ferdinand Dahl
SOAPBOX: QRP 5 Watt from FT817 via tuner Z11 to antennas:
SOAPBOX: FD3 off-center-fed dipole 8m high on 40m and 20m,
SOAPBOX: MFB23 2 Element Mini-Yagi on 15m and 10m.
QSO: 21000 CW 2016-05-21 1333 DJ3GE         599 001    LU1ICX        599 0176
QSO: 21000 CW 2016-05-21 1336 DJ3GE         599 002    EF8U          599 GC
QSO: 21000 CW 2016-05-21 1338 DJ3GE         599 003    4Z4AK         599 124
QSO: 21000 CW 2016-05-21 1344 DJ3GE         599 004    A45WG         599 088
QSO: 21000 CW 2016-05-21 1346 DJ3GE         599 005    ZS5XT         599 005
QSO: 14000 CW 2016-05-21 1402 DJ3GE         599 006    OH2PM         599 141
QSO: 14000 CW 2016-05-21 1403 DJ3GE         599 007    EA7KB         599 H
QSO: 14000 CW 2016-05-21 1405 DJ3GE         599 008    LY1CX         599 028
QSO: 14000 CW 2016-05-21 1432 DJ3GE         599 009    YT4T          599 116
QSO: 14000 CW 2016-05-21 1435 DJ3GE         599 010    EA5IIK        599 CS
QSO: 14000 CW 2016-05-21 1442 DJ3GE         599 011    EA3NN         599 T
QSO: 14000 CW 2016-05-21 1443 DJ3GE         599 012    EA5WU         599 CS
QSO: 14000 CW 2016-05-21 1447 DJ3GE         599 013    EA5IIK        599 CS
QSO: 14000 CW 2016-05-21 1448 DJ3GE         599 014    UY5VA         599 144
QSO: 14000 CW 2016-05-21 1455 DJ3GE         599 015    LZ9W          599 154
QSO: 14000 CW 2016-05-21 1502 DJ3GE         599 016    S51DX         599 218
QSO: 14000 CW 2016-05-21 1506 DJ3GE         599 017    EU8U          599 219
QSO: 14000 CW 2016-05-21 1539 DJ3GE         599 018    HG7T          599 223
QSO: 14000 CW 2016-05-21 1540 DJ3GE         599 019    HA4XH         599 184
QSO: 14000 CW 2016-05-21 1544 DJ3GE         599 020    EC7AMY        599 SE
QSO: 14000 CW 2016-05-21 1546 DJ3GE         599 021    ED1R          599 AV
QSO: 14000 CW 2016-05-21 1548 DJ3GE         599 022    EA3NO         599 B
QSO: 14000 CW 2016-05-21 1550 DJ3GE         599 023    EF5Y          599 A
QSO: 14000 CW 2016-05-21 1551 DJ3GE         599 024    HG6C          599 123
QSO: 14000 CW 2016-05-21 1559 DJ3GE         599 025    5B4AMM        599 283
QSO:  7000 CW 2016-05-21 1606 DJ3GE         599 026    EA5FX         599 CS
QSO:  7000 CW 2016-05-21 1606 DJ3GE         599 027    PA2W          599 079
QSO:  7000 CW 2016-05-21 1608 DJ3GE         599 028    9A2AJ         599 078
QSO:  7000 CW 2016-05-21 1610 DJ3GE         599 029    YL2TD         599 024
