START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: LZ2PS
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: LZ2PS
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2025.
QSO: 14012 CW 2025-07-12 1800 LZ2PS         599 28 A60HQ         599 EARS
QSO: 14029 CW 2025-07-12 1806 LZ2PS         599 28 GR2HQ         599 RSGB
QSO: 14044 CW 2025-07-12 1809 LZ2PS         599 28 OH2HQ         599 SRAL
QSO: 14044 CW 2025-07-12 1809 LZ2PS         599 28 OH2HQ         599 SRAL
QSO: 14032 CW 2025-07-12 1815 LZ2PS         599 28 DA0HQ         599 DARC
QSO: 14000 CW 2025-07-12 1818 LZ2PS         599 28 HB9HQ         599 USKA
QSO: 14020 CW 2025-07-12 1833 LZ2PS         599 28 YR0HQ         599 FRR
QSO: 14015 CW 2025-07-12 1849 LZ2PS         599 28 CR3A          599 36
QSO: 14015 CW 2025-07-12 1849 LZ2PS         599 28 OZ1HQ         599 EDR
QSO: 14003 CW 2025-07-12 1852 LZ2PS         599 28 ED0HQ         599 URE
QSO: 14021 CW 2025-07-12 1856 LZ2PS         599 28 IV3KKW        599 R1
QSO: 14037 CW 2025-07-12 1858 LZ2PS         599 28 II4HQ         599 ARI
QSO: 14037 CW 2025-07-12 1858 LZ2PS         599 28 II4HQ         599 ARI
QSO: 14052 CW 2025-07-12 1901 LZ2PS         599 28 SK9HQ         599 SSA
QSO: 14015 CW 2025-07-12 1913 LZ2PS         599 28 OP0HQ         599 UBA
QSO: 14002 CW 2025-07-12 1935 LZ2PS         599 28 TM0HQ         599 REF
QSO: 14035 CW 2025-07-12 1951 LZ2PS         599 28 LZ0HQ         599 BFRA
QSO: 14060 CW 2025-07-12 2002 LZ2PS         599 28 PY4BZ         599 15
QSO: 14066 CW 2025-07-12 2002 LZ2PS         599 28 PW2F          599 15
QSO: 14044 CW 2025-07-12 2007 LZ2PS         599 28 DL6KVA        599 28
QSO: 14023 CW 2025-07-12 2010 LZ2PS         599 28 P3X           599 39
QSO: 14063 CW 2025-07-12 2012 LZ2PS         599 28 PS2T          599 15
QSO: 14068 CW 2025-07-12 2013 LZ2PS         599 28 PA5KT         599 27
QSO: 14045 CW 2025-07-12 2015 LZ2PS         599 28 YL9T          599 29
QSO: 14019 CW 2025-07-12 2043 LZ2PS         599 28 K1RX          599 08
QSO: 14024 CW 2025-07-12 2045 LZ2PS         599 28 NA8V          599 8
QSO: 14050 CW 2025-07-12 2047 LZ2PS         599 28 EI0HQ         599 IRTS
QSO: 14056 CW 2025-07-12 2049 LZ2PS         599 28 CT3KN         599 36
