START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: R6SX
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: R6SX
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2025.
QSO: 21023 CW 2025-07-12 1200 R6SX          599 29 BG0DLA        599 42
QSO: 21026 CW 2025-07-12 1201 R6SX          599 29 MD2C          599 27
QSO: 21028 CW 2025-07-12 1203 R6SX          599 29 ED0HQ         599 URE
QSO: 21032 CW 2025-07-12 1211 R6SX          599 29 DA0HQ         599 DARC
QSO: 21038 CW 2025-07-12 1216 R6SX          599 29 3V8SS         599 ARAT
QSO: 21038 CW 2025-07-12 1216 R6SX          599 29 3V8SS         599 ARAT
QSO: 21046 CW 2025-07-12 1218 R6SX          599 29 I1NVU         599 28
QSO: 21014 CW 2025-07-12 1220 R6SX          599 29 RM9A          599 30
QSO: 21035 CW 2025-07-12 1238 R6SX          599 29 4X5IB         599 39
QSO: 21027 CW 2025-07-12 1259 R6SX          599 29 RC9O          599 31
QSO: 21028 CW 2025-07-12 1301 R6SX          599 29 CT7BJG        599 37
QSO: 21041 CW 2025-07-12 1307 R6SX          599 29 8N2HQ         599 JARL
QSO: 21041 CW 2025-07-12 1307 R6SX          599 29 8N2HQ         599 JARL
QSO: 21047 CW 2025-07-12 1312 R6SX          599 29 UN8PT         599 30
QSO: 21049 CW 2025-07-12 1315 R6SX          599 29 CT3KN         599 36
QSO: 21056 CW 2025-07-12 1318 R6SX          599 29 JH4UTP        599 45
QSO: 21000 CW 2025-07-12 1328 R6SX          599 29 RC9J          599 21
QSO: 21032 CW 2025-07-12 1330 R6SX          599 29 6K0GA         599 44
QSO: 21033 CW 2025-07-12 1336 R6SX          599 29 5Z4VJ         599 48
QSO: 21000 CW 2025-07-12 1340 R6SX          599 29 JF3BFS        599 45
QSO: 21030 CW 2025-07-12 1404 R6SX          599 29 RG0A          599 32
QSO: 21048 CW 2025-07-12 1516 R6SX          599 29 9V1YC         599 54
QSO: 21024 CW 2025-07-12 1518 R6SX          599 29 BI4KYT        599 44
QSO: 21008 CW 2025-07-12 1644 R6SX          599 29 BI8AD         599 43
QSO: 21011 CW 2025-07-12 1809 R6SX          599 29 CR3A          599 36
QSO: 21004 CW 2025-07-12 1812 R6SX          599 29 CQ9A          599 36
QSO: 21007 CW 2025-07-12 1814 R6SX          599 29 4X1DX         599 39
QSO: 21010 CW 2025-07-13 0558 R6SX          599 29 P3X           599 39
QSO: 21020 CW 2025-07-13 0559 R6SX          599 29 II4HQ         599 ARI
QSO: 21020 CW 2025-07-13 0559 R6SX          599 29 II4HQ         599 ARI
QSO: 21019 CW 2025-07-13 0621 R6SX          599 29 OP0HQ         599 UBA
QSO: 21030 CW 2025-07-13 0625 R6SX          599 29 SV1BJW/6      599 28
QSO: 21000 CW 2025-07-13 0626 R6SX          599 29 9A0HQ         599 HRS
QSO: 21004 CW 2025-07-13 0631 R6SX          599 29 E7HQ          599 ARABH
QSO: 21022 CW 2025-07-13 0634 R6SX          599 29 IK7MIY        599 28
QSO: 21037 CW 2025-07-13 0637 R6SX          599 29 S50HQ         599 ZRS
