START-OF-LOG: 3.0
CONTEST: ARRL-160
LOCATION: SFL
CALLSIGN: AD4ES
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-POWER: HIGH
CATEGORY-BAND: 160M
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CREATED-BY: N1MM LOGGER+ 1.0.8018.0
CLUB: Florida Contest Group
OPERATORS: AD4ES W4SO
HQ-CATEGORY: Multioperator, Single Transmitter, High Power
HQ-GRID-LOCATOR: EL98pd
QSO: 1827 CW 2019-12-08 0128 AD4ES 599 SFL C6AGU 599 0
QSO: 1829 CW 2019-12-08 0135 AD4ES 599 SFL K3MD 599 NTX 0
QSO: 1829 CW 2019-12-08 0136 AD4ES 599 SFL N8OO 599 LA 0
QSO: 1829 CW 2019-12-08 0137 AD4ES 599 SFL AD4EB 599 TN 0
QSO: 1829 CW 2019-12-08 0137 AD4ES 599 SFL K3PA 599 KS 0
QSO: 1829 CW 2019-12-08 0138 AD4ES 599 SFL W9PA 599 IN 0
QSO: 1829 CW 2019-12-08 0138 AD4ES 599 SFL K3WW 599 EPA 0
QSO: 1829 CW 2019-12-08 0138 AD4ES 599 SFL W2GD 599 SNJ 0
QSO: 1829 CW 2019-12-08 0139 AD4ES 599 SFL N3RD 599 EPA 0
QSO: 1829 CW 2019-12-08 0139 AD4ES 599 SFL N4WW 599 NFL 0
QSO: 1829 CW 2019-12-08 0139 AD4ES 599 SFL K6NR 599 ORG 0
QSO: 1829 CW 2019-12-08 0140 AD4ES 599 SFL N4RV 599 VA 0
QSO: 1829 CW 2019-12-08 0140 AD4ES 599 SFL N4OX 599 NFL 0
QSO: 1829 CW 2019-12-08 0140 AD4ES 599 SFL W1AN 599 CT 0
QSO: 1829 CW 2019-12-08 0141 AD4ES 599 SFL K5ZG 599 CO 0
QSO: 1829 CW 2019-12-08 0141 AD4ES 599 SFL N4IJ 599 NC 0
QSO: 1829 CW 2019-12-08 0141 AD4ES 599 SFL N8II 599 WV 0
QSO: 1829 CW 2019-12-08 0142 AD4ES 599 SFL K1ZZ 599 CT 0
QSO: 1829 CW 2019-12-08 0142 AD4ES 599 SFL N2MM 599 SNJ 0
QSO: 1829 CW 2019-12-08 0142 AD4ES 599 SFL N3RS 599 EPA 0
QSO: 1829 CW 2019-12-08 0143 AD4ES 599 SFL N4ZR 599 MDC 0
QSO: 1829 CW 2019-12-08 0143 AD4ES 599 SFL K1BG 599 WMA 0
QSO: 1829 CW 2019-12-08 0144 AD4ES 599 SFL NT2DR 599 EPA 0
QSO: 1829 CW 2019-12-08 0144 AD4ES 599 SFL N1LN 599 NC 0
QSO: 1829 CW 2019-12-08 0144 AD4ES 599 SFL W5GJ 599 WCF 0
QSO: 1829 CW 2019-12-08 0145 AD4ES 599 SFL K3IE 599 TN 0
QSO: 1837 CW 2019-12-08 0149 AD4ES 599 SFL ZF9CW 599 0
QSO: 1815 CW 2019-12-08 0219 AD4ES 599 SFL N9TK 599 IL 0
QSO: 1820 CW 2019-12-08 0219 AD4ES 599 SFL N9NC 599 NH 0
QSO: 1830 CW 2019-12-08 0222 AD4ES 599 SFL W1SJ 599 VT 0
QSO: 1830 CW 2019-12-08 0222 AD4ES 599 SFL W9RE 599 IN 0
QSO: 1831 CW 2019-12-08 0223 AD4ES 599 SFL N0IS 599 MO 0
QSO: 1832 CW 2019-12-08 0224 AD4ES 599 SFL VE1ZA 599 MAR 0
QSO: 1838 CW 2019-12-08 0225 AD4ES 599 SFL AG4W 599 AL 0
QSO: 1844 CW 2019-12-08 0225 AD4ES 599 SFL K0TT 599 MN 0
QSO: 1845 CW 2019-12-08 0227 AD4ES 599 SFL K5RX 599 NTX 0
QSO: 1848 CW 2019-12-08 0228 AD4ES 599 SFL KH7X 599 AZ 0
QSO: 1849 CW 2019-12-08 0229 AD4ES 599 SFL W0TT 599 MO 0
QSO: 1851 CW 2019-12-08 0230 AD4ES 599 SFL N2NT 599 NNJ 0
QSO: 1854 CW 2019-12-08 0231 AD4ES 599 SFL W4NF 599 VA 0
QSO: 1855 CW 2019-12-08 0233 AD4ES 599 SFL VE3DZ 599 ONS 0
QSO: 1850 CW 2019-12-08 0235 AD4ES 599 SFL K3ZM 599 VA 0
QSO: 1851 CW 2019-12-08 0235 AD4ES 599 SFL KI0I 599 MO 0
QSO: 1850 CW 2019-12-08 0236 AD4ES 599 SFL N4TB 599 WCF 0
QSO: 1851 CW 2019-12-08 0236 AD4ES 599 SFL W2ID 599 NNJ 0
QSO: 1851 CW 2019-12-08 0237 AD4ES 599 SFL W2ID 599 NNJ 0
QSO: 1852 CW 2019-12-08 0237 AD4ES 599 SFL AA3B 599 EPA 0
QSO: 1864 CW 2019-12-08 0239 AD4ES 599 SFL W8MET 599 OH 0
QSO: 1865 CW 2019-12-08 0240 AD4ES 599 SFL KR4F 599 AL 0
QSO: 1868 CW 2019-12-08 0241 AD4ES 599 SFL N4UU 599 NFL 0
QSO: 1871 CW 2019-12-08 0241 AD4ES 599 SFL WB8JUI 599 OH 0
QSO: 1872 CW 2019-12-08 0242 AD4ES 599 SFL VE3PN 599 ONE 0
QSO: 1874 CW 2019-12-08 0243 AD4ES 599 SFL K4WG 599 AL 0
QSO: 1878 CW 2019-12-08 0244 AD4ES 599 SFL KR2Q 599 NNJ 0
QSO: 1881 CW 2019-12-08 0245 AD4ES 599 SFL AB1BX 599 RI 0
QSO: 1882 CW 2019-12-08 0246 AD4ES 599 SFL N0HJZ 599 MN 0
QSO: 1855 CW 2019-12-08 0249 AD4ES 599 SFL WX4G 599 WCF 0
QSO: 1854 CW 2019-12-08 0250 AD4ES 599 SFL KA9EKJ 599 AL 0
QSO: 1849 CW 2019-12-08 0251 AD4ES 599 SFL WD5R 599 AR 0
QSO: 1829 CW 2019-12-08 0254 AD4ES 599 SFL NP2J 599 VI 0
QSO: 1833 CW 2019-12-08 0255 AD4ES 599 SFL TO9W 599 0
QSO: 1834 CW 2019-12-08 0256 AD4ES 599 SFL K1GQ 599 NH 0
QSO: 1834 CW 2019-12-08 0256 AD4ES 599 SFL K3WJV 599 EPA 0
QSO: 1832 CW 2019-12-08 0257 AD4ES 599 SFL TI7W 599 0
QSO: 1829 CW 2019-12-08 0258 AD4ES 599 SFL W4PM 599 VA 0
QSO: 1839 CW 2019-12-08 0300 AD4ES 599 SFL VE3NE 599 GTA 0
QSO: 1839 CW 2019-12-08 0301 AD4ES 599 SFL K1KI 599 CT 0
QSO: 1853 CW 2019-12-08 0304 AD4ES 599 SFL AB8RL 599 WV 0
QSO: 1859 CW 2019-12-08 0304 AD4ES 599 SFL KJ4QHL 599 SFL 0
QSO: 1859 CW 2019-12-08 0306 AD4ES 599 SFL XE2S 599 0
QSO: 1839 CW 2019-12-08 0307 AD4ES 599 SFL K9ZO 599 IL 0
QSO: 1821 CW 2019-12-08 0308 AD4ES 599 SFL W0SD 599 SD 0
QSO: 1816 CW 2019-12-08 0312 AD4ES 599 SFL W0ODS 599 IA 0
QSO: 1877 CW 2019-12-08 0312 AD4ES 599 SFL AA1ON 599 EMA 0
QSO: 1814 CW 2019-12-08 0313 AD4ES 599 SFL K6AM 599 SDG 0
QSO: 1820 CW 2019-12-08 0314 AD4ES 599 SFL AA1K 599 DE 0
QSO: 1848 CW 2019-12-08 0319 AD4ES 599 SFL AA4V 599 SC 0
QSO: 1827 CW 2019-12-08 0319 AD4ES 599 SFL N2ZX 599 ENY 0
QSO: 1880 CW 2019-12-08 0321 AD4ES 599 SFL NE4EI 599 GA 0
QSO: 1823 CW 2019-12-08 0323 AD4ES 599 SFL VE6WZ 599 AB 0
QSO: 1818 CW 2019-12-08 0324 AD4ES 599 SFL N9RV 599 MT 0
QSO: 1824 CW 2019-12-08 0325 AD4ES 599 SFL WE9V 599 WI 0
QSO: 1863 CW 2019-12-08 0325 AD4ES 599 SFL K1AR 599 NH 0
QSO: 1858 CW 2019-12-08 0326 AD4ES 599 SFL CO2AN 599 CM 0
QSO: 1870 CW 2019-12-08 0326 AD4ES 599 SFL NC3Y 599 MDC 0
QSO: 1808 CW 2019-12-08 0329 AD4ES 599 SFL N0TT 599 MO 0
QSO: 1823 CW 2019-12-08 0329 AD4ES 599 SFL VA2WA 599 QC 0
QSO: 1823 CW 2019-12-08 0330 AD4ES 599 SFL W3PNM 599 WPA 0
QSO: 1852 CW 2019-12-08 0331 AD4ES 599 SFL VE3KP 599 ONE 0
QSO: 1857 CW 2019-12-08 0332 AD4ES 599 SFL K3TC 599 MDC 0
QSO: 1814 CW 2019-12-08 0333 AD4ES 599 SFL WA1FCN 599 AL 0
QSO: 1801 CW 2019-12-08 0336 AD4ES 599 SFL N9SE 599 IN 0
QSO: 1810 CW 2019-12-08 0339 AD4ES 599 SFL AC0C 599 KS 0
QSO: 1812 CW 2019-12-08 0340 AD4ES 599 SFL N4OGW 599 MS 0
QSO: 1803 CW 2019-12-08 0340 AD4ES 599 SFL NN5K 599 NM 0
QSO: 1839 CW 2019-12-08 0342 AD4ES 599 SFL W1/WP3C 599 ME 0
QSO: 1835 CW 2019-12-08 0343 AD4ES 599 SFL PJ2T 599 0
QSO: 1854 CW 2019-12-08 0346 AD4ES 599 SFL NX2X 599 ENY 0
QSO: 1854 CW 2019-12-08 0346 AD4ES 599 SFL K1LT 599 OH 0
QSO: 1851 CW 2019-12-08 0347 AD4ES 599 SFL KC4D 599 VA 0
QSO: 1846 CW 2019-12-08 0348 AD4ES 599 SFL VE6BBP 599 AB 0
QSO: 1819 CW 2019-12-08 0350 AD4ES 599 SFL KV0Q 599 CO 0
QSO: 1819 CW 2019-12-08 0352 AD4ES 599 SFL N2YB 599 WNY 0
QSO: 1824 CW 2019-12-08 0408 AD4ES 599 SFL VE3MGY 599 ONS 0
QSO: 1805 CW 2019-12-08 0410 AD4ES 599 SFL KG7CW 599 ID 0
QSO: 1857 CW 2019-12-08 0411 AD4ES 599 SFL VE3NZ 599 GTA 0
QSO: 1836 CW 2019-12-08 0412 AD4ES 599 SFL VE3EJ 599 ONS 0
QSO: 1838 CW 2019-12-08 0412 AD4ES 599 SFL K5NA 599 STX 0
QSO: 1804 CW 2019-12-08 0414 AD4ES 599 SFL N7IV 599 ND 0
QSO: 1812 CW 2019-12-08 0417 AD4ES 599 SFL N6JV 599 SV 0
QSO: 1813 CW 2019-12-08 0419 AD4ES 599 SFL W8FJ 599 EPA 0
QSO: 1817 CW 2019-12-08 0421 AD4ES 599 SFL W2FU 599 WNY 0
QSO: 1817 CW 2019-12-08 0422 AD4ES 599 SFL NW0M 599 MO 0
QSO: 1817 CW 2019-12-08 0422 AD4ES 599 SFL N4ZZ 599 TN 0
QSO: 1817 CW 2019-12-08 0423 AD4ES 599 SFL N9NA 599 AZ 0
QSO: 1817 CW 2019-12-08 0423 AD4ES 599 SFL W0RIC 599 AZ 0
QSO: 1817 CW 2019-12-08 0424 AD4ES 599 SFL RL3A 599 0
QSO: 1817 CW 2019-12-08 0425 AD4ES 599 SFL K0PC 599 MN 0
QSO: 1817 CW 2019-12-08 0426 AD4ES 599 SFL K2AV 599 NC 0
QSO: 1817 CW 2019-12-08 0426 AD4ES 599 SFL W4JKC 599 SC 0
QSO: 1817 CW 2019-12-08 0427 AD4ES 599 SFL W9RN 599 WI 0
QSO: 1817 CW 2019-12-08 0427 AD4ES 599 SFL W7RY 599 MO 0
QSO: 1817 CW 2019-12-08 0428 AD4ES 599 SFL ND8L 599 OH 0
QSO: 1817 CW 2019-12-08 0428 AD4ES 599 SFL K1RZ 599 MDC 0
QSO: 1817 CW 2019-12-08 0429 AD4ES 599 SFL WP3X 599 PR 0
QSO: 1817 CW 2019-12-08 0430 AD4ES 599 SFL N0NI 599 IA 0
QSO: 1817 CW 2019-12-08 0430 AD4ES 599 SFL NE0U 599 MN 0
QSO: 1817 CW 2019-12-08 0431 AD4ES 599 SFL W9MAF 599 MO 0
QSO: 1817 CW 2019-12-08 0431 AD4ES 599 SFL K3CT 599 EPA 0
QSO: 1817 CW 2019-12-08 0432 AD4ES 599 SFL KK1W 599 WMA 0
QSO: 1817 CW 2019-12-08 0432 AD4ES 599 SFL K5SBR 599 STX 0
QSO: 1817 CW 2019-12-08 0433 AD4ES 599 SFL KK4R 599 VA 0
QSO: 1817 CW 2019-12-08 0433 AD4ES 599 SFL KE2D 599 SNJ 0
QSO: 1817 CW 2019-12-08 0434 AD4ES 599 SFL ND4Y 599 KY 0
QSO: 1817 CW 2019-12-08 0434 AD4ES 599 SFL K7SCX 599 CO 0
QSO: 1817 CW 2019-12-08 0435 AD4ES 599 SFL K4YYL 599 SC 0
QSO: 1817 CW 2019-12-08 0435 AD4ES 599 SFL K8RYU 599 OH 0
QSO: 1817 CW 2019-12-08 0436 AD4ES 599 SFL K5CM 599 OK 0
QSO: 1817 CW 2019-12-08 0437 AD4ES 599 SFL WJ2D 599 NC 0
QSO: 1817 CW 2019-12-08 0437 AD4ES 599 SFL WE5P 599 KY 0
QSO: 1817 CW 2019-12-08 0438 AD4ES 599 SFL W8PR 599 OH 0
QSO: 1817 CW 2019-12-08 0439 AD4ES 599 SFL NN7CW 599 NFL 0
QSO: 1817 CW 2019-12-08 0439 AD4ES 599 SFL N8TR 599 OH 0
QSO: 1817 CW 2019-12-08 0439 AD4ES 599 SFL W4GE 599 SC 0
QSO: 1817 CW 2019-12-08 0440 AD4ES 599 SFL K0RF 599 CO 0
QSO: 1817 CW 2019-12-08 0441 AD4ES 599 SFL KW2J 599 WNY 0
QSO: 1817 CW 2019-12-08 0441 AD4ES 599 SFL NT5V 599 NTX 0
QSO: 1817 CW 2019-12-08 0442 AD4ES 599 SFL WA3C 599 OH 0
QSO: 1817 CW 2019-12-08 0443 AD4ES 599 SFL VE3RZ 599 GTA 0
QSO: 1817 CW 2019-12-08 0443 AD4ES 599 SFL W9TC 599 IN 0
QSO: 1817 CW 2019-12-08 0444 AD4ES 599 SFL K3TEJ 599 EPA 0
QSO: 1817 CW 2019-12-08 0445 AD4ES 599 SFL K7QA 599 MT 0
QSO: 1817 CW 2019-12-08 0445 AD4ES 599 SFL KF6HI 599 AZ 0
QSO: 1817 CW 2019-12-08 0446 AD4ES 599 SFL AC0W 599 MN 0
QSO: 1817 CW 2019-12-08 0447 AD4ES 599 SFL W4OEP 599 WCF 0
QSO: 1817 CW 2019-12-08 0447 AD4ES 599 SFL NA3M 599 MDC 0
QSO: 1817 CW 2019-12-08 0447 AD4ES 599 SFL W5ZG 599 STX 0
QSO: 1817 CW 2019-12-08 0448 AD4ES 599 SFL N9LQ 599 IL 0
QSO: 1817 CW 2019-12-08 0448 AD4ES 599 SFL NE3F 599 EPA 0
QSO: 1817 CW 2019-12-08 0449 AD4ES 599 SFL VE3BXI 599 ONS 0
QSO: 1817 CW 2019-12-08 0450 AD4ES 599 SFL K6LL 599 AZ 0
QSO: 1817 CW 2019-12-08 0452 AD4ES 599 SFL AC7JW 599 UT 0
QSO: 1817 CW 2019-12-08 0453 AD4ES 599 SFL WB4NQF 599 SFL 0
QSO: 1817 CW 2019-12-08 0454 AD4ES 599 SFL N4WW 599 NFL 0
QSO: 1817 CW 2019-12-08 0455 AD4ES 599 SFL K9IMM 599 WI 0
QSO: 1817 CW 2019-12-08 0456 AD4ES 599 SFL N3XZ 599 EPA 0
QSO: 1817 CW 2019-12-08 0457 AD4ES 599 SFL NI7R 599 SC 0
QSO: 1817 CW 2019-12-08 0457 AD4ES 599 SFL AA4NP 599 SFL 0
QSO: 1817 CW 2019-12-08 0458 AD4ES 599 SFL NE9U 599 WI 0
QSO: 1817 CW 2019-12-08 0459 AD4ES 599 SFL K5KU 599 LA 0
QSO: 1817 CW 2019-12-08 0459 AD4ES 599 SFL N4UC 599 AL 0
QSO: 1817 CW 2019-12-08 0500 AD4ES 599 SFL K4CWW 599 AL 0
QSO: 1817 CW 2019-12-08 0500 AD4ES 599 SFL W5WTM 599 STX 0
QSO: 1817 CW 2019-12-08 0501 AD4ES 599 SFL N8EA 599 MI 0
QSO: 1817 CW 2019-12-08 0501 AD4ES 599 SFL KB7AZ 599 AZ 0
QSO: 1817 CW 2019-12-08 0502 AD4ES 599 SFL K4OAQ 599 TN 0
QSO: 1817 CW 2019-12-08 0503 AD4ES 599 SFL KZ1X 599 NC 0
QSO: 1817 CW 2019-12-08 0503 AD4ES 599 SFL W1TO 599 WMA 0
QSO: 1817 CW 2019-12-08 0504 AD4ES 599 SFL W3EKT 599 MDC 0
QSO: 1817 CW 2019-12-08 0504 AD4ES 599 SFL K9CT 599 IL 0
QSO: 1817 CW 2019-12-08 0504 AD4ES 599 SFL W3FV 599 EPA 0
QSO: 1817 CW 2019-12-08 0505 AD4ES 599 SFL NE8P 599 NFL 0
QSO: 1817 CW 2019-12-08 0505 AD4ES 599 SFL KA8G 599 OH 0
QSO: 1817 CW 2019-12-08 0506 AD4ES 599 SFL N4NO 599 AL 0
QSO: 1817 CW 2019-12-08 0507 AD4ES 599 SFL NC1CC 599 RI 0
QSO: 1817 CW 2019-12-08 0507 AD4ES 599 SFL W3BGN 599 EPA 0
QSO: 1817 CW 2019-12-08 0508 AD4ES 599 SFL N9CK 599 WI 0
QSO: 1817 CW 2019-12-08 0508 AD4ES 599 SFL W5KI 599 AR 0
QSO: 1817 CW 2019-12-08 0509 AD4ES 599 SFL N9CO 599 IL 0
QSO: 1817 CW 2019-12-08 0509 AD4ES 599 SFL W7CXX 599 UT 0
QSO: 1817 CW 2019-12-08 0510 AD4ES 599 SFL W3YR 599 MDC 0
QSO: 1817 CW 2019-12-08 0511 AD4ES 599 SFL K0PK 599 MN 0
QSO: 1817 CW 2019-12-08 0512 AD4ES 599 SFL K0KX 599 MN 0
QSO: 1817 CW 2019-12-08 0512 AD4ES 599 SFL NW8U 599 WV 0
QSO: 1817 CW 2019-12-08 0513 AD4ES 599 SFL W1TJL 599 CT 0
QSO: 1817 CW 2019-12-08 0514 AD4ES 599 SFL NX6T 599 SDG 0
QSO: 1817 CW 2019-12-08 0514 AD4ES 599 SFL N3BB 599 STX 0
QSO: 1817 CW 2019-12-08 0515 AD4ES 599 SFL KE3K 599 MI 0
QSO: 1817 CW 2019-12-08 0515 AD4ES 599 SFL W3MF 599 EPA 0
QSO: 1817 CW 2019-12-08 0516 AD4ES 599 SFL N2HMM 599 NNJ 0
QSO: 1817 CW 2019-12-08 0517 AD4ES 599 SFL WF7T 599 TN 0
QSO: 1817 CW 2019-12-08 0517 AD4ES 599 SFL N0OK 599 MN 0
QSO: 1817 CW 2019-12-08 0517 AD4ES 599 SFL K3ZO 599 MDC 0
QSO: 1817 CW 2019-12-08 0519 AD4ES 599 SFL NN3Q 599 EPA 0
QSO: 1817 CW 2019-12-08 0519 AD4ES 599 SFL K3CCR 599 MDC 0
QSO: 1817 CW 2019-12-08 0520 AD4ES 599 SFL K2ZR 599 WNY 0
QSO: 1817 CW 2019-12-08 0522 AD4ES 599 SFL W6AYC 599 SB 0
QSO: 1817 CW 2019-12-08 0523 AD4ES 599 SFL K1TR 599 NH 0
QSO: 1817 CW 2019-12-08 0524 AD4ES 599 SFL AA2EQ 599 WNY 0
QSO: 1817 CW 2019-12-08 0524 AD4ES 599 SFL K4ORD 599 VA 0
QSO: 1817 CW 2019-12-08 0525 AD4ES 599 SFL K1LZ 599 ME 0
QSO: 1817 CW 2019-12-08 0525 AD4ES 599 SFL AG9X 599 IL 0
QSO: 1817 CW 2019-12-08 0526 AD4ES 599 SFL N3CZ 599 NC 0
QSO: 1817 CW 2019-12-08 0527 AD4ES 599 SFL K5GQ 599 STX 0
QSO: 1817 CW 2019-12-08 0527 AD4ES 599 SFL W8AV 599 OH 0
QSO: 1817 CW 2019-12-08 0528 AD4ES 599 SFL K4RO 599 TN 0
QSO: 1817 CW 2019-12-08 0528 AD4ES 599 SFL K8RR 599 OH 0
QSO: 1817 CW 2019-12-08 0528 AD4ES 599 SFL W2IRT 599 NNJ 0
QSO: 1817 CW 2019-12-08 0529 AD4ES 599 SFL K1A 599 ME 0
QSO: 1817 CW 2019-12-08 0529 AD4ES 599 SFL AB3CX 599 WNY 0
QSO: 1817 CW 2019-12-08 0530 AD4ES 599 SFL NC6K 599 SDG 0
QSO: 1817 CW 2019-12-08 0531 AD4ES 599 SFL K7UT 599 UT 0
QSO: 1817 CW 2019-12-08 0532 AD4ES 599 SFL VA3SB 599 ONE 0
QSO: 1817 CW 2019-12-08 0533 AD4ES 599 SFL K0RC 599 MN 0
QSO: 1817 CW 2019-12-08 0534 AD4ES 599 SFL N0AT 599 MN 0
QSO: 1817 CW 2019-12-08 0535 AD4ES 599 SFL N9TF 599 IL 0
QSO: 1817 CW 2019-12-08 0536 AD4ES 599 SFL K4BAI 599 GA 0
QSO: 1817 CW 2019-12-08 0536 AD4ES 599 SFL NA5G 599 LA 0
QSO: 1817 CW 2019-12-08 0537 AD4ES 599 SFL CO2RQ 599 0
QSO: 1817 CW 2019-12-08 0537 AD4ES 599 SFL K7WP 599 AZ 0
QSO: 1817 CW 2019-12-08 0538 AD4ES 599 SFL K1KA 599 NH 0
QSO: 1817 CW 2019-12-08 0539 AD4ES 599 SFL K8BL 599 OH 0
QSO: 1817 CW 2019-12-08 0539 AD4ES 599 SFL N9JF 599 IL 0
QSO: 1817 CW 2019-12-08 0540 AD4ES 599 SFL NJ3K 599 WPA 0
QSO: 1817 CW 2019-12-08 0540 AD4ES 599 SFL K8SVT 599 OH 0
QSO: 1816 CW 2019-12-08 0542 AD4ES 599 SFL VE3VSM 599 ONS 0
QSO: 1831 CW 2019-12-08 0543 AD4ES 599 SFL KH6/KU1CW 599 PAC 0
QSO: 1848 CW 2019-12-08 0546 AD4ES 599 SFL V31MA 599 0
QSO: 1846 CW 2019-12-08 0547 AD4ES 599 SFL KC3WX 599 EPA 0
QSO: 1849 CW 2019-12-08 0547 AD4ES 599 SFL N2IC 599 NM 0
QSO: 1827 CW 2019-12-08 0549 AD4ES 599 SFL NX5M 599 STX 0
QSO: 1824 CW 2019-12-08 0625 AD4ES 599 SFL WD6T 599 EB 0
QSO: 1855 CW 2019-12-08 0626 AD4ES 599 SFL N7ZG 599 WWA 0
QSO: 1830 CW 2019-12-08 0627 AD4ES 599 SFL WC6H 599 SJV 0
QSO: 1813 CW 2019-12-08 0629 AD4ES 599 SFL WB9Z 599 IL 0
QSO: 1815 CW 2019-12-08 0630 AD4ES 599 SFL N6RK 599 SV 0
