START-OF-LOG: 3.0
CONTEST: EA-PSK63
CALLSIGN: EU6AA
CATEGORY: SINGLE-OP ALL
CATEGORY-BAND: ALL
CATEGORY-MODE: DIGI
CATEGORY-POWER: LOW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 5974
LOCATION: DX
CREATED-BY: UR5EQF log v.3.31-47
NAME: Victor Kostyyk
SOAPBOX: TRX - FT-840, Pwr=100W,  Ant - Delat Loop 168m
QSO:  7000 PM 2016-03-12 1636 EU6AA         599 001    UA3PI         599 033
QSO:  7000 PM 2016-03-12 1637 EU6AA         599 002    UX0ZAB        599 015
QSO:  7000 PM 2016-03-12 1639 EU6AA         599 003    UR4MG         599 028
QSO:  7000 PM 2016-03-12 1639 EU6AA         599 004    YT6W          599 035
QSO:  7000 PM 2016-03-12 1640 EU6AA         599 005    HA1AD         599 009
QSO:  7000 PM 2016-03-12 1642 EU6AA         599 006    SP5UUD        599 028
QSO:  7000 PM 2016-03-12 1643 EU6AA         599 007    US7KC         599 038 
QSO:  7000 PM 2016-03-12 1644 EU6AA         599 008    RA9AU         599 026
QSO:  7000 PM 2016-03-12 1646 EU6AA         599 009    R1566O        599 026
QSO:  3500 PM 2016-03-12 1648 EU6AA         599 010    RA2FAO        599 001
QSO:  3500 PM 2016-03-12 1650 EU6AA         599 011    SQ6PNP        599 003
QSO:  3500 PM 2016-03-12 1651 EU6AA         599 012    UT5EPP        599 011
QSO:  7000 PM 2016-03-12 1653 EU6AA         599 013    9A701CRT      599 050
QSO:  7000 PM 2016-03-12 1802 EU6AA         599 014    UX7QV         599 056 
QSO:  7000 PM 2016-03-12 1802 EU6AA         599 015    UT2GA         599 073
QSO:  7000 PM 2016-03-13 0535 EU6AA         599 016    HA6NL         599 323
QSO:  7000 PM 2016-03-13 0536 EU6AA         599 017    R3KF          599 178
QSO:  7000 PM 2016-03-13 0607 EU6AA         599 018    OH6BA         599 058
QSO:  7000 PM 2016-03-13 0608 EU6AA         599 019    RD3FV         599 070
QSO: 14000 PM 2016-03-13 0610 EU6AA         599 020    RZ9AD         599 073
QSO: 14000 PM 2016-03-13 0612 EU6AA         599 021    5B4AMM        599 554
QSO: 14000 PM 2016-03-13 0613 EU6AA         599 022    UA6CE         599 206
QSO: 14000 PM 2016-03-13 0614 EU6AA         599 023    S51AF         599 455
QSO: 14000 PM 2016-03-13 0615 EU6AA         599 024    RX6BH         599 183
QSO: 14000 PM 2016-03-13 0616 EU6AA         599 025    RA9AU         599 187
QSO: 14000 PM 2016-03-13 0616 EU6AA         599 026    YO2RR         599 127
QSO: 14000 PM 2016-03-13 0618 EU6AA         599 027    UA9XL         599 225 
QSO: 14000 PM 2016-03-13 0626 EU6AA         599 028    SV9FBK        599 095
QSO: 14000 PM 2016-03-13 0629 EU6AA         599 029    R8XF          599 060 
QSO: 21000 PM 2016-03-13 0631 EU6AA         599 030    5B4AMM        599 571
QSO: 21000 PM 2016-03-13 0632 EU6AA         599 031    UA0LEP        599 061
QSO: 21000 PM 2016-03-13 0634 EU6AA         599 032    UN7BCF        599 073
QSO: 21000 PM 2016-03-13 0635 EU6AA         599 033    JA1AYO        599 070
QSO: 21000 PM 2016-03-13 0637 EU6AA         599 034    EA2RCF        599 VI  
QSO: 21000 PM 2016-03-13 0639 EU6AA         599 035    EA6LH         599 IB
QSO: 21000 PM 2016-03-13 1223 EU6AA         599 036    EA4GEL        599 M
QSO: 21000 PM 2016-03-13 1223 EU6AA         599 037    EA3NT         599 T
QSO: 21000 PM 2016-03-13 1225 EU6AA         599 038    ED3D          599 GI
QSO: 21000 PM 2016-03-13 1227 EU6AA         599 039    EA5BN         599 MU
QSO: 21000 PM 2016-03-13 1228 EU6AA         599 040    EA4GJJ        599 GU
QSO: 21000 PM 2016-03-13 1229 EU6AA         599 041    CT1AGS        599 134
QSO: 21000 PM 2016-03-13 1230 EU6AA         599 042    K9OM          599 313
QSO: 21000 PM 2016-03-13 1232 EU6AA         599 043    U6AI          599 069
QSO: 21000 PM 2016-03-13 1236 EU6AA         599 044    4Z5KU         599 356
QSO: 21000 PM 2016-03-13 1237 EU6AA         599 045    EC1DBO        599 PO
QSO: 21000 PM 2016-03-13 1248 EU6AA         599 046    F1RCH         599 106
QSO: 14000 PM 2016-03-13 1252 EU6AA         599 047    UA4NC         599 096
QSO: 14000 PM 2016-03-13 1253 EU6AA         599 048    LZ7A          599 339
QSO: 14000 PM 2016-03-13 1254 EU6AA         599 049    HG1G          599 081
QSO: 14000 PM 2016-03-13 1258 EU6AA         599 050    PA3DBS        599 221
QSO: 14000 PM 2016-03-13 1301 EU6AA         599 051    YU7AU         599 301
QSO: 14000 PM 2016-03-13 1302 EU6AA         599 052    HG3FMZ        599 438
QSO: 14000 PM 2016-03-13 1524 EU6AA         599 053    PD2PKM        599 179
QSO: 14000 PM 2016-03-13 1526 EU6AA         599 054    EA8TH         599 TF
QSO: 14000 PM 2016-03-13 1529 EU6AA         599 055    4Z5KU         599 461
QSO: 14000 PM 2016-03-13 1530 EU6AA         599 056    DP7D          599 109
QSO: 14000 PM 2016-03-13 1531 EU6AA         599 057    IT9VCE        599 445
QSO: 14000 PM 2016-03-13 1532 EU6AA         599 058    DL1REM        599 003
QSO: 14000 PM 2016-03-13 1533 EU6AA         599 059    PA2GRU        599 116
QSO: 14000 PM 2016-03-13 1537 EU6AA         599 060    EA3FZT        599 B
QSO: 21000 PM 2016-03-13 1539 EU6AA         599 061    EA4CWN        599 TO
QSO: 21000 PM 2016-03-13 1539 EU6AA         599 062    EA2BF         599 BI
QSO: 21000 PM 2016-03-13 1542 EU6AA         599 063    EA4EQD        599 M
QSO: 21000 PM 2016-03-13 1543 EU6AA         599 064    EA1MI         599 SG
QSO: 21000 PM 2016-03-13 1546 EU6AA         599 065    EF8J          599 GC
QSO: 14000 PM 2016-03-13 1551 EU6AA         599 066    YB6HAI        599 216
QSO: 14000 PM 2016-03-13 1552 EU6AA         599 067    OO7R          599 091
QSO:  7000 PM 2016-03-13 1553 EU6AA         599 068    RA4HL         599 563
QSO:  7000 PM 2016-03-13 1554 EU6AA         599 069    RK3PWR        599 458 
QSO:  7000 PM 2016-03-13 1556 EU6AA         599 070    RU3WR         599 110
QSO:  7000 PM 2016-03-13 1557 EU6AA         599 071    RU4A          599 224
QSO:  7000 PM 2016-03-13 1559 EU6AA         599 072    DL4ME         599 213
QSO:  7000 PM 2016-03-13 1559 EU6AA         599 073    LY2PAD        599 285
END-OF-LOG:
