START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: PG1R
CLUB:  
CONTEST: EA-PSK63
CATEGORY: SINGLE-OP ALL
CLAIMED-SCORE: 12993
OPERATORS: PG1R
NAME: Ruud Ivens
CREATED-BY: N1MM Logger+ 1.0.5513.0
SOAPBOX: Rig TS590S, pwr 30Watts. Antenna horizontal multiband dipole, 5m high.
SOAPBOX: Computer laptop, OS XP; program MMVARI with N1MM+.
SOAPBOX: Could not take part on Saturday afternoon; but nice contest. Thanks!
QSO: 14069 PS 2016-03-12 1755 PG1R          599 0001   RK3PWR        599 0105     
QSO: 14069 PS 2016-03-12 1758 PG1R          599 0002   EA8TH         599 TF       
QSO: 14069 PS 2016-03-12 1803 PG1R          599 0003   EA8CYQ        599 GC       
QSO: 14070 PS 2016-03-12 1808 PG1R          599 0004   RX3AFE        599 0035     
QSO: 14071 PS 2016-03-12 1819 PG1R          599 0005   UR7GO         599 0122     
QSO: 14072 PS 2016-03-12 1821 PG1R          599 0006   5B4AMM        599 0164     
QSO: 14073 PS 2016-03-12 1823 PG1R          599 0007   RX6BS         599 0049     
QSO: 14073 PS 2016-03-12 1825 PG1R          599 0008   US5LPO        599 0070     
QSO: 14073 PS 2016-03-12 1829 PG1R          599 0009   EC7AT         599 AL       
QSO: 14073 PS 2016-03-12 1831 PG1R          599 0010   EA7KI         599 MA       
QSO: 14074 PS 2016-03-12 1837 PG1R          599 0011   EC7RC         599 AL       
QSO: 14072 PS 2016-03-12 1848 PG1R          599 0012   CQ7EPC        599 0059     
QSO: 14074 PS 2016-03-12 1851 PG1R          599 0013   EA7AZA        599 CA       
QSO: 14076 PS 2016-03-12 1853 PG1R          599 0014   EA8CSG        599 TF       
QSO: 14069 PS 2016-03-12 1900 PG1R          599 0015   K9OM          599 0056     
QSO: 14070 PS 2016-03-12 1909 PG1R          599 0016   EA9BO         599 CE       
QSO:  7038 PS 2016-03-12 1933 PG1R          599 0017   UR7GO         599 0157     
QSO:  7039 PS 2016-03-12 1934 PG1R          599 0018   EA1AUS        599 SA       
QSO:  7040 PS 2016-03-12 1945 PG1R          599 0019   LZ5K          599 0098     
QSO:  7040 PS 2016-03-12 1946 PG1R          599 0020   EA2BF         599 BI       
QSO:  7041 PS 2016-03-12 2010 PG1R          599 0021   EA5GIE        599 V        
QSO:  7041 PS 2016-03-12 2012 PG1R          599 0022   EA4URE        599 HQ       
QSO:  7042 PS 2016-03-12 2015 PG1R          599 0023   A61EK         599 0172     
QSO:  7042 PS 2016-03-12 2018 PG1R          599 0024   EA4GEO        599 M        
QSO:  7043 PS 2016-03-12 2025 PG1R          599 0025   EC7AT         599 AL       
QSO:  7043 PS 2016-03-12 2026 PG1R          599 0026   UA3PI         599 0211     
