START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: VK9LQ
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: QF98
CLAIMED-SCORE: 31500
NAME: Michael Noertemann
OPERATORS: DF8AN
CLUB:
CREATED-BY: UcxLog 7.98
SOAPBOX: Not many stations turned their antenna to VK9L. Enjoyed the contest.
QSO: 28000 CW 2019-11-23 0402 VK9LQ         599 30     NH2DX         599 27     0
QSO: 28000 CW 2019-11-23 0406 VK9LQ         599 30     JE6RPM        599 25     0
QSO: 28000 CW 2019-11-23 0407 VK9LQ         599 30     JF1SEK        599 25     0
QSO: 28000 CW 2019-11-23 0408 VK9LQ         599 30     JA7OWD        599 25     0
QSO: 28000 CW 2019-11-23 0621 VK9LQ         599 30     VK4BAA        599 30     0
QSO: 14000 CW 2019-11-23 0641 VK9LQ         599 30     VK4COZ        599 30     0
QSO: 14000 CW 2019-11-23 0655 VK9LQ         599 30     VK2GR         599 30     0
QSO:  7000 CW 2019-11-23 0922 VK9LQ         599 30     K5ZE          599 5      0
QSO:  7000 CW 2019-11-23 0926 VK9LQ         599 30     ZL3X          599 32     0
QSO:  7000 CW 2019-11-23 0928 VK9LQ         599 30     VK3TZ         599 30     0
QSO:  7000 CW 2019-11-23 0930 VK9LQ         599 30     ZM4T          599 32     0
QSO:  7000 CW 2019-11-23 0934 VK9LQ         599 30     VK4QS         599 30     0
QSO:  7000 CW 2019-11-23 0934 VK9LQ         599 30     JK1KFO        599 25     0
QSO:  7000 CW 2019-11-23 0939 VK9LQ         599 30     K3LR          599 5      0
QSO:  7000 CW 2019-11-23 0941 VK9LQ         599 30     JH4HMG        599 25     0
QSO:  7000 CW 2019-11-23 0945 VK9LQ         599 30     JA2RGH        599 25     0
QSO:  7000 CW 2019-11-23 0947 VK9LQ         599 30     VK5QI         599 30     0
QSO:  7000 CW 2019-11-23 0947 VK9LQ         599 30     KH7X          599 31     0
QSO:  7000 CW 2019-11-23 0948 VK9LQ         599 30     JA9PPC        599 25     0
QSO:  7000 CW 2019-11-23 0949 VK9LQ         599 30     DS5USH        599 25     0
QSO:  7000 CW 2019-11-23 0950 VK9LQ         599 30     JN2AMD        599 25     0
QSO:  7000 CW 2019-11-23 0950 VK9LQ         599 30     VK5MAV        599 30     0
QSO:  7000 CW 2019-11-23 0951 VK9LQ         599 30     JA3YBK        599 25     0
QSO:  7000 CW 2019-11-23 0952 VK9LQ         599 30     JE2WTX        599 25     0
QSO:  7000 CW 2019-11-23 0953 VK9LQ         599 30     W3UA5         599 5      0
QSO:  7000 CW 2019-11-23 0954 VK9LQ         599 30     VK6WX         599 29     0
QSO:  7000 CW 2019-11-23 0955 VK9LQ         599 30     K7UT          599 3      0
QSO:  7000 CW 2019-11-23 0955 VK9LQ         599 30     VK3IO         599 30     0
QSO:  7000 CW 2019-11-23 0956 VK9LQ         599 30     K3MA          599 5      0
QSO:  7000 CW 2019-11-23 0956 VK9LQ         599 30     JA6BZI        599 25     0
QSO:  7000 CW 2019-11-23 0959 VK9LQ         599 30     JN5ALE        599 25     0
QSO:  7000 CW 2019-11-23 0959 VK9LQ         599 30     JA1AAA        599 25     0
QSO:  7000 CW 2019-11-23 1000 VK9LQ         599 30     JE1CSW        599 25     0
QSO:  7000 CW 2019-11-23 1000 VK9LQ         599 30     AH2R          599 27     0
QSO:  7000 CW 2019-11-23 1002 VK9LQ         599 30     JR0RBY        599 25     0
QSO:  7000 CW 2019-11-23 1004 VK9LQ         599 30     RM9A          599 17     0
QSO:  7000 CW 2019-11-23 1005 VK9LQ         599 30     JH1EAQ        599 25     0
QSO:  7000 CW 2019-11-23 1006 VK9LQ         599 30     JK1GGH        599 25     0
QSO:  7000 CW 2019-11-23 1007 VK9LQ         599 30     VK4FOMP       599 30     0
QSO:  7000 CW 2019-11-23 1008 VK9LQ         599 30     JJ2YRE        599 25     0
QSO:  7000 CW 2019-11-23 1009 VK9LQ         599 30     VE3EJ         599 04     0
QSO:  7000 CW 2019-11-23 1014 VK9LQ         599 30     WB9Z          599 4      0
QSO:  7000 CW 2019-11-23 1015 VK9LQ         599 30     K9CT          599 4      0
QSO:  7000 CW 2019-11-23 1016 VK9LQ         599 30     N7AT          599 3      0
QSO:  7000 CW 2019-11-23 1017 VK9LQ         599 30     JG3LGD        599 25     0
QSO:  7000 CW 2019-11-23 1017 VK9LQ         599 30     JH4UYB        599 25     0
QSO:  7000 CW 2019-11-23 1018 VK9LQ         599 30     JR3JFZ        599 25     0
QSO:  7000 CW 2019-11-23 1020 VK9LQ         599 30     VK4AXM        599 30     0
QSO:  7000 CW 2019-11-23 1023 VK9LQ         599 30     K1XX          599 5      0
QSO:  7000 CW 2019-11-23 1025 VK9LQ         599 30     ZL1TM         599 32     0
QSO:  7000 CW 2019-11-23 1027 VK9LQ         599 30     JA7MBT        599 25     0
QSO:  7000 CW 2019-11-23 1030 VK9LQ         599 30     R9FM          599 17     0
QSO:  7000 CW 2019-11-23 1031 VK9LQ         599 30     LN8W          599 14     0
QSO:  7000 CW 2019-11-23 1032 VK9LQ         599 30     JE1BJT        599 25     0
QSO:  7000 CW 2019-11-23 1032 VK9LQ         599 30     VK3BDX        599 30     0
QSO:  7000 CW 2019-11-23 1033 VK9LQ         599 30     JH9KHR        599 25     0
QSO:  7000 CW 2019-11-23 1035 VK9LQ         599 30     KC1XX         599 5      0
QSO:  7000 CW 2019-11-23 1037 VK9LQ         599 30     VK6RZ         599 29     0
QSO:  7000 CW 2019-11-23 1038 VK9LQ         599 30     JA0DAI        599 25     0
QSO:  7000 CW 2019-11-23 1039 VK9LQ         599 30     JA2AXB        599 25     0
QSO:  7000 CW 2019-11-23 1040 VK9LQ         599 30     K1KI          599 5      0
QSO:  7000 CW 2019-11-23 1040 VK9LQ         599 30     VK5CE         599 30     0
QSO:  7000 CW 2019-11-23 1041 VK9LQ         599 30     JH7SSY        599 25     0
QSO:  7000 CW 2019-11-23 1044 VK9LQ         599 30     K7RL          599 3      0
QSO:  7000 CW 2019-11-23 1044 VK9LQ         599 30     N6CW          599 3      0
QSO:  7000 CW 2019-11-23 1045 VK9LQ         599 30     NT6X          599 3      0
QSO:  7000 CW 2019-11-23 1046 VK9LQ         599 30     KO7SS         599 3      0
QSO:  7000 CW 2019-11-23 1047 VK9LQ         599 30     AA7A          599 3      0
QSO:  7000 CW 2019-11-23 1048 VK9LQ         599 30     K7NJ          599 3      0
