START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: YG3FZR
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: ROOKIE
GRID-LOCATOR:
CLAIMED-SCORE: 4794
NAME: RIANTO
OPERATORS: YG3FZR
CLUB: ORARI LOKAL KEDIRI
CREATED-BY: N1MM Logger+ 1.0.7422.0
SOAPBOX: We are member of YB3ZBD-Club Station ORARI Lokal Kediri
SOAPBOX: and see you to the next Contest, 73's de YG3FZR
QSO: 21000 CW 2019-11-23 0049 YG3FZR        599 28     JA5FDJ        599 25     1
QSO: 21000 CW 2019-11-23 0101 YG3FZR        599 28     BD7LMD        599 24     1
QSO:  7000 CW 2019-11-23 0108 YG3FZR        599 28     9M2FUL        599 28     1
QSO: 21000 CW 2019-11-23 0119 YG3FZR        599 28     BA7IO         599 24     1
QSO:  7000 CW 2019-11-23 0136 YG3FZR        599 28     YC0VM         599 28     1
QSO: 21000 CW 2019-11-23 0256 YG3FZR        599 28     VR2ALR        599 24     1
QSO: 21000 CW 2019-11-23 0258 YG3FZR        599 28     BV1EL         599 24     1
QSO: 21000 CW 2019-11-23 0301 YG3FZR        599 28     VK2AWR        599 30     1
QSO: 21000 CW 2019-11-23 0307 YG3FZR        599 28     VK2IM         599 30     1
QSO: 21000 CW 2019-11-23 0309 YG3FZR        599 28     4K6LW         599 21     1
QSO: 21000 CW 2019-11-23 0330 YG3FZR        599 28     XV9D          599 26     1
QSO: 21000 CW 2019-11-23 0332 YG3FZR        599 28     VR2EH         599 24     1
QSO: 21000 CW 2019-11-23 0610 YG3FZR        599 28     VK6LW         599 29     1
QSO: 21000 CW 2019-11-23 0620 YG3FZR        599 28     UA4M          599 16     1
QSO: 21000 CW 2019-11-23 0622 YG3FZR        599 28     RK9AX         599 17     1
QSO: 21000 CW 2019-11-23 0629 YG3FZR        599 28     YP8T          599 20     1
QSO: 21000 CW 2019-11-23 0644 YG3FZR        599 28     VK2IA         599 30     1
QSO: 21000 CW 2019-11-23 0653 YG3FZR        599 28     HS3NBR        599 26     1
QSO: 21000 CW 2019-11-23 0659 YG3FZR        599 28     VA4S          599 04     1
QSO:  7000 CW 2019-11-23 1200 YG3FZR        599 28     YB8RW         599 28     1
QSO:  7000 CW 2019-11-23 1207 YG3FZR        599 28     NO6T          599 03     1
QSO:  7000 CW 2019-11-23 1212 YG3FZR        599 28     S0ZBS         599 33     1
QSO:  7000 CW 2019-11-23 1311 YG3FZR        599 28     YC2GBS        599 28     1
QSO:  7000 CW 2019-11-23 1327 YG3FZR        599 28     WJ9B          599 03     1
QSO: 21000 CW 2019-11-24 0004 YG3FZR        599 28     2A5F          599 14     1
QSO: 21000 CW 2019-11-24 0007 YG3FZR        599 28     ZM2B          599 32     1
QSO: 21000 CW 2019-11-24 0009 YG3FZR        599 28     JR2GRX        599 25     1
QSO: 21000 CW 2019-11-24 0018 YG3FZR        599 28     KH6LC         599 31     1
QSO: 21000 CW 2019-11-24 0028 YG3FZR        599 28     JA3YBK        599 25     1
QSO: 28000 CW 2019-11-24 0425 YG3FZR        599 28     9M6MI         599 28     1
QSO: 21000 CW 2019-11-24 0658 YG3FZR        599 28     LZ5R          599 20     1
QSO: 21000 CW 2019-11-24 0705 YG3FZR        599 28     RT6A          599 16     1
QSO: 21000 CW 2019-11-24 0711 YG3FZR        599 28     HA9A          599 15     1
QSO: 21000 CW 2019-11-24 0725 YG3FZR        599 28     BA7NO         599 24     1
QSO: 21000 CW 2019-11-24 0727 YG3FZR        599 28     JF2VHS        599 25     1
QSO: 21000 CW 2019-11-24 0729 YG3FZR        599 28     XZ2D          599 26     1
QSO: 28000 CW 2019-11-24 0753 YG3FZR        599 28     V85RH         599 28     1
QSO: 28000 CW 2019-11-24 0755 YG3FZR        599 28     3B8M          599 39     1
QSO: 28000 CW 2019-11-24 0801 YG3FZR        599 28     YC1KLL        599 28     1
QSO: 28000 CW 2019-11-24 0820 YG3FZR        599 28     VK2BJ         599 30     1
QSO: 28000 CW 2019-11-24 0824 YG3FZR        599 28     LZ4TX         599 20     1
QSO: 28000 CW 2019-11-24 0841 YG3FZR        599 28     VK9CZ         599 29     1
END-OF-LOG:
