START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: K8GL
LOCATION: MI
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 1593086
NAME: Greg Surma
OPERATORS: K8GL
CLUB: Bay Area DXers
CREATED-BY: NA Version 10.53
SOAPBOX: Excellent! Thanks for all the QSO's.  Africa was well represented.
QSO: 14000 CW 2019-11-23 0000 K8GL         599  04   WH7M         599 31
QSO: 14000 CW 2019-11-23 0001 K8GL         599  04   KH6LC        599 31
QSO: 14000 CW 2019-11-23 0005 K8GL         599  04   AH2R         599 27
QSO: 14000 CW 2019-11-23 0007 K8GL         599  04   PY2NY        599 11
QSO: 14000 CW 2019-11-23 0009 K8GL         599  04   LT1F         599 13
QSO: 14000 CW 2019-11-23 0010 K8GL         599  04   PT9AL        599 11
QSO: 14000 CW 2019-11-23 0011 K8GL         599  04   PZ5W         599 09
QSO: 14000 CW 2019-11-23 0012 K8GL         599  04   KH7B         599 31
QSO: 14000 CW 2019-11-23 0023 K8GL         599  04   WH6R         599 31
QSO: 14000 CW 2019-11-23 0024 K8GL         599  04   YW1K         599 09
QSO: 14000 CW 2019-11-23 0027 K8GL         599  04   PX2C         599 11
QSO: 14000 CW 2019-11-23 0027 K8GL         599  04   OA4SS        599 10
QSO:  7000 CW 2019-11-23 0029 K8GL         599  04   M6T          599 14
QSO:  7000 CW 2019-11-23 0030 K8GL         599  04   OK1CF        599 15
QSO:  7000 CW 2019-11-23 0031 K8GL         599  04   OK5Z         599 15
QSO:  7000 CW 2019-11-23 0031 K8GL         599  04   9A1A         599 15
QSO:  7000 CW 2019-11-23 0035 K8GL         599  04   PJ4K         599 09
QSO:  7000 CW 2019-11-23 0040 K8GL         599  04   C6AGU        599 08
QSO:  7000 CW 2019-11-23 0041 K8GL         599  04   IR4M         599 15
QSO:  7000 CW 2019-11-23 0044 K8GL         599  04   SP8R         599 15
QSO:  7000 CW 2019-11-23 0047 K8GL         599  04   RT6A         599 16
QSO:  7000 CW 2019-11-23 0047 K8GL         599  04   PZ5W         599 09
QSO:  7000 CW 2019-11-23 0049 K8GL         599  04   PY4HO        599 11
QSO:  7000 CW 2019-11-23 0050 K8GL         599  04   EA3DU        599 14
QSO:  7000 CW 2019-11-23 0051 K8GL         599  04   OK1FPS       599 15
QSO:  7000 CW 2019-11-23 0056 K8GL         599  04   ED1R         599 14
QSO:  7000 CW 2019-11-23 0057 K8GL         599  04   OK1AWZ       599 15
QSO:  7000 CW 2019-11-23 0058 K8GL         599  04   P40W         599 09
QSO:  7000 CW 2019-11-23 0059 K8GL         599  04   V31CQ        599 07
QSO:  7000 CW 2019-11-23 0101 K8GL         599  04   PJ2T         599 09
QSO:  7000 CW 2019-11-23 0102 K8GL         599  04   LN8W         599 14
QSO:  7000 CW 2019-11-23 0105 K8GL         599  04   D4C          599 35
QSO:  7000 CW 2019-11-23 0105 K8GL         599  04   CR3W         599 33
QSO:  7000 CW 2019-11-23 0109 K8GL         599  04   IR2Q         599 15
QSO:  7000 CW 2019-11-23 0110 K8GL         599  04   DL0GL        599 14
QSO:  7000 CW 2019-11-23 0111 K8GL         599  04   SO4M         599 15
QSO:  7000 CW 2019-11-23 0111 K8GL         599  04   PA4O         599 14
QSO:  7000 CW 2019-11-23 0113 K8GL         599  04   WH7W         599 31
QSO:  7000 CW 2019-11-23 0114 K8GL         599  04   SN7Q         599 15
QSO:  7000 CW 2019-11-23 0119 K8GL         599  04   ZF1A         599 08
QSO:  7000 CW 2019-11-23 0121 K8GL         599  04   CR3X         599 33
QSO:  7000 CW 2019-11-23 0123 K8GL         599  04   HI3CC        599 08
QSO:  7000 CW 2019-11-23 0127 K8GL         599  04   3B8M         599 39
QSO:  7000 CW 2019-11-23 0128 K8GL         599  04   KL7RA        599 01
QSO:  7000 CW 2019-11-23 0130 K8GL         599  04   VA7ST        599 03
QSO:  7000 CW 2019-11-23 0133 K8GL         599  04   V47T         599 08
QSO:  7000 CW 2019-11-23 0135 K8GL         599  04   TI7W         599 07
QSO:  7000 CW 2019-11-23 0135 K8GL         599  04   FM5KC        599 08
QSO:  7000 CW 2019-11-23 0136 K8GL         599  04   VE9AA        599 05
QSO:  7000 CW 2019-11-23 0138 K8GL         599  04   ZF9CW        599 08
QSO:  7000 CW 2019-11-23 0138 K8GL         599  04   OK2RZ        599 15
QSO:  7000 CW 2019-11-23 0139 K8GL         599  04   PP5BZ        599 11
QSO:  7000 CW 2019-11-23 0139 K8GL         599  04   VP9I         599 05
QSO:  7000 CW 2019-11-23 0140 K8GL         599  04   VE7JH        599 03
QSO:  7000 CW 2019-11-23 0140 K8GL         599  04   HG5A         599 15
QSO:  7000 CW 2019-11-23 0143 K8GL         599  04   P40C         599 09
