START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: 8Q7XX
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 0
NAME: Andreas Soechting
OPERATORS: DK6AS
CLUB:
CREATED-BY: K3WW cut and paste
SOAPBOX: Great Contest from this part of the world with just one short
SOAPBOX: wire in a tree and 50w, enjoyed it very much.
QSO: 21000 CW 2019-11-23 0708 8Q7XX         599 22         5H3UA         599 37
QSO: 21000 CW 2019-11-23 0720 8Q7XX         599 22         3B8M          599 39
QSO: 21000 CW 2019-11-23 0722 8Q7XX         599 22         LZ5R          599 20
QSO: 21000 CW 2019-11-23 0740 8Q7XX         599 22         9A3XV         599 15
QSO: 21000 CW 2019-11-23 0746 8Q7XX         599 22         9M8YY         599 28
QSO: 21000 CW 2019-11-23 0748 8Q7XX         599 22         7A2A          599 28
QSO: 21000 CW 2019-11-23 0752 8Q7XX         599 22         DF0HQ         599 14
QSO: 21000 CW 2019-11-23 0755 8Q7XX         599 22         XZ2D          599 26
QSO: 21000 CW 2019-11-23 0804 8Q7XX         599 22         VK9CZ         599 29
QSO: 21000 CW 2019-11-23 0807 8Q7XX         599 22         VK8NSB        599 29
QSO: 21000 CW 2019-11-23 0820 8Q7XX         599 22         RT5G          599 20
QSO: 21000 CW 2019-11-23 0826 8Q7XX         599 22         VK6LW         599 29
QSO: 21000 CW 2019-11-23 0835 8Q7XX         599 22         9A1A          599 15
QSO: 21000 CW 2019-11-23 0837 8Q7XX         599 22         RL3A          599 16
QSO: 21000 CW 2019-11-23 0855 8Q7XX         599 22         UW2M          599 16
QSO: 21000 CW 2019-11-23 0902 8Q7XX         599 22         E27EK         599 26
QSO: 21000 CW 2019-11-23 0913 8Q7XX         599 22         YB2GV         599 28
QSO: 14000 CW 2019-11-23 0923 8Q7XX         599 22         7B1B          599 28
QSO: 14000 CW 2019-11-23 0930 8Q7XX         599 22         SK3W          599 14
QSO: 14000 CW 2019-11-24 0127 8Q7XX         599 22         XV9D          599 26
QSO: 14000 CW 2019-11-24 0330 8Q7XX         599 22         R3FA          599 16
QSO: 21000 CW 2019-11-24 0716 8Q7XX         599 22         HS0ZAR        599 26
QSO: 21000 CW 2019-11-24 0719 8Q7XX         599 22         OH0R          599 15
