START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: TM7K
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: JO00TQ
CLAIMED-SCORE: 31640
NAME: SAUVAGE GUILLAUME
OPERATORS: F4FET
CLUB: CLIPPERTON DX CLUB
CREATED-BY: Win-Test 4.29.0
SOAPBOX: FT2000 - 300w - multi dipoles, cw skimmer & win-test
QSO:  3501 CW 2019-11-23 0716 TM7K          599 14     K3LR          599 05     0
QSO:  3501 CW 2019-11-23 0717 TM7K          599 14     YL3FT         599 15     0
QSO:  3501 CW 2019-11-23 0719 TM7K          599 14     N5DX          599 04     0
QSO:  3502 CW 2019-11-23 0721 TM7K          599 14     W2FU          599 05     0
QSO:  3503 CW 2019-11-23 0723 TM7K          599 14     DL2F          599 14     0
QSO:  3503 CW 2019-11-23 0724 TM7K          599 14     DP7DE         599 14     0
QSO:  3503 CW 2019-11-23 0725 TM7K          599 14     KC1XX         599 05     0
QSO:  3505 CW 2019-11-23 0729 TM7K          599 14     W3LPL         599 05     0
QSO:  3570 CW 2019-11-23 0732 TM7K          599 14     VP2MDM        599 08     0
QSO:  3535 CW 2019-11-23 0744 TM7K          599 14     9A1A          599 15     0
QSO:  3537 CW 2019-11-23 0745 TM7K          599 14     S52AW         599 15     0
QSO:  1821 CW 2019-11-23 0747 TM7K          599 14     G5W           599 14     0
QSO:  1819 CW 2019-11-23 0754 TM7K          599 14     MW5B          599 14     0
QSO:  1821 CW 2019-11-23 0756 TM7K          599 14     OY9JD         599 14     0
QSO:  3539 CW 2019-11-23 0802 TM7K          599 14     HB9DQL        599 14     0
QSO:  3542 CW 2019-11-23 0803 TM7K          599 14     IR2Q          599 15     0
QSO:  3546 CW 2019-11-23 0805 TM7K          599 14     DL4ZA         599 14     0
QSO:  3554 CW 2019-11-23 0807 TM7K          599 14     OK1KMU        599 15     0
QSO:  3557 CW 2019-11-23 0809 TM7K          599 14     WB9Z          599 04     0
QSO:  7035 CW 2019-11-23 0839 TM7K          599 14     OM4Q          599 15     0
QSO:  7036 CW 2019-11-23 0841 TM7K          599 14     OK1CF         599 15     0
QSO:  7037 CW 2019-11-23 0925 TM7K          599 14     DL5GA         599 14     0
QSO:  7038 CW 2019-11-23 0927 TM7K          599 14     N4WW          599 05     0
QSO:  7039 CW 2019-11-23 0928 TM7K          599 14     PA1T          599 14     0
QSO:  7041 CW 2019-11-23 0931 TM7K          599 14     EV1R          599 16     0
QSO:  7042 CW 2019-11-23 0932 TM7K          599 14     S56X          599 15     0
QSO:  7042 CW 2019-11-23 0933 TM7K          599 14     IZ2DLV        599 15     0
QSO:  7044 CW 2019-11-23 0934 TM7K          599 14     OK2DT         599 15     0
QSO:  7044 CW 2019-11-23 0935 TM7K          599 14     G3TXF         599 14     0
QSO:  7045 CW 2019-11-23 0936 TM7K          599 14     N3ND          599 05     0
QSO:  7026 CW 2019-11-23 0956 TM7K          599 14     ZF9CW         599 08     0
QSO: 14023 CW 2019-11-23 1005 TM7K          599 14     SP8R          599 15     0
QSO: 14001 CW 2019-11-23 1009 TM7K          599 14     CR3DX         599 33     0
QSO: 14005 CW 2019-11-23 1011 TM7K          599 14     S51J          599 15     0
QSO: 14006 CW 2019-11-23 1012 TM7K          599 14     IO6A          599 15     0
QSO: 14007 CW 2019-11-23 1013 TM7K          599 14     LY5R          599 15     0
QSO: 14008 CW 2019-11-23 1014 TM7K          599 14     HA3MQ         599 15     0
QSO: 14013 CW 2019-11-23 1016 TM7K          599 14     ED5O          599 14     0
QSO: 14018 CW 2019-11-23 1018 TM7K          599 14     LZ5R          599 20     0
QSO: 14019 CW 2019-11-23 1019 TM7K          599 14     RW9DX         599 17     0
