START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: PA1B
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
GRID-LOCATOR: JO22na
CLAIMED-SCORE: 6466
NAME: Bert Kruyswijk
OPERATORS: PA1B
CLUB:
CREATED-BY: SD by EI5DI
SOAPBOX: I had great fun with my FT-817 and an end fed
SOAPBOX: I made 124 QRP QSO's, all with S&P
SOAPBOX: When signals S9 plus 10 dB, I reduce below 100 mW,
SOAPBOX: with the use of the very accurate PA1B attenuator
SOAPBOX: 59 QSO were made with 2 W
SOAPBOX: 57 QSO were made with less than 1 W but more than 100 mW
SOAPBOX: 8 QSO's were made with 36 mW or 80 mW (hi)
SOAPBOX: Thank you for the great activity in the contest
QSO: 14000 CW 2019-11-23 0918 PA1B          599 14     YT4W          599 15
QSO: 14000 CW 2019-11-23 1002 PA1B          599 14     EF2X          599 14
QSO: 14000 CW 2019-11-23 1004 PA1B          599 14     UZ3A          599 16
QSO: 14000 CW 2019-11-23 1009 PA1B          599 14     EM2Q          599 16
QSO: 14000 CW 2019-11-23 1011 PA1B          599 14     EF5F          599 14
QSO: 14000 CW 2019-11-23 1016 PA1B          599 14     YT3X          599 15
QSO: 14000 CW 2019-11-23 1020 PA1B          599 14     HA8M          599 15
QSO: 14000 CW 2019-11-23 1024 PA1B          599 14     IR4M          599 15
QSO: 14000 CW 2019-11-23 1030 PA1B          599 14     9A6A          599 15
QSO: 14000 CW 2019-11-23 1031 PA1B          599 14     EW8W          599 16
QSO: 14000 CW 2019-11-23 1032 PA1B          599 14     SP8R          599 15
QSO: 14000 CW 2019-11-23 1040 PA1B          599 14     HG6N          599 15
QSO: 14000 CW 2019-11-23 1042 PA1B          599 14     RZ9YI         599 18
QSO: 14000 CW 2019-11-23 1045 PA1B          599 14     CR5E          599 14
QSO: 14000 CW 2019-11-23 1048 PA1B          599 14     R2VA          599 16
QSO: 14000 CW 2019-11-23 1051 PA1B          599 14     EW7KB         599 16
QSO: 14000 CW 2019-11-23 1053 PA1B          599 14     OH6NC         599 15
QSO: 14000 CW 2019-11-23 1057 PA1B          599 14     R3FA          599 16
QSO: 14000 CW 2019-11-23 1102 PA1B          599 14     UT3RN         599 16
QSO: 14000 CW 2019-11-23 1111 PA1B          599 14     CS2C          599 14
QSO: 14000 CW 2019-11-23 1113 PA1B          599 14     YP8T          599 20
QSO: 21000 CW 2019-11-23 1118 PA1B          599 14     EF8R          599 33
QSO: 21000 CW 2019-11-23 1122 PA1B          599 14     CR2X          599 14
QSO: 14000 CW 2019-11-23 1134 PA1B          599 14     EW6F          599 16
QSO: 14000 CW 2019-11-23 1138 PA1B          599 14     UT3EV         599 16
QSO: 14000 CW 2019-11-23 1139 PA1B          599 14     YL2BJ         599 15
QSO: 14000 CW 2019-11-23 1422 PA1B          599 14     YQ6A          599 20
QSO: 14000 CW 2019-11-23 1427 PA1B          599 14     YR8D          599 20
QSO: 14000 CW 2019-11-23 1430 PA1B          599 14     LZ1WR         599 20
QSO: 14000 CW 2019-11-23 1441 PA1B          599 14     IK8UND        599 15
