START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: OK2CSU
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 83040
NAME: MARIAN KMEC
CLUB:
CREATED-BY: GenLog v8.33
SOAPBOX: YAESU FT-857 + ACOM-1000, 40 m multiband HyEndFed antenna
QSO:  7000 CW 2019-11-23 0430 OK2CSU        599 15     PZ5W          599 09
QSO:  7000 CW 2019-11-23 0432 OK2CSU        599 15     UA4WW         599 16
QSO:  7000 CW 2019-11-23 0435 OK2CSU        599 15     9K2NO         599 21
QSO:  7000 CW 2019-11-23 0437 OK2CSU        599 15     VE3EJ         599 04
QSO:  7000 CW 2019-11-23 0440 OK2CSU        599 15     RK9M          599 17
QSO:  7000 CW 2019-11-23 0443 OK2CSU        599 15     ES9C          599 15
QSO:  7000 CW 2019-11-23 0449 OK2CSU        599 15     RM9I          599 18
QSO:  7000 CW 2019-11-23 0452 OK2CSU        599 15     F5OSM         599 14
QSO:  7000 CW 2019-11-23 0456 OK2CSU        599 15     UW2M          599 16
QSO:  7000 CW 2019-11-23 0459 OK2CSU        599 15     N2IC          599 05
QSO:  7000 CW 2019-11-23 0501 OK2CSU        599 15     KC1XX         599 05
QSO:  7000 CW 2019-11-23 0505 OK2CSU        599 15     RW0A          599 18
QSO:  7000 CW 2019-11-23 0507 OK2CSU        599 15     4L8A          599 21
QSO:  7000 CW 2019-11-23 0509 OK2CSU        599 15     YL7X          599 15
QSO:  7000 CW 2019-11-23 0510 OK2CSU        599 15     RN9T          599 16
QSO:  7000 CW 2019-11-23 0512 OK2CSU        599 15     R8FF/8        599 17
QSO:  7000 CW 2019-11-23 0517 OK2CSU        599 15     DP9A          599 14
QSO: 21000 CW 2019-11-23 0827 OK2CSU        599 15     DU3DW         599 27
QSO: 21000 CW 2019-11-23 0837 OK2CSU        599 15     EF8R          599 33
QSO: 21000 CW 2019-11-23 0851 OK2CSU        599 15     5H3UA         599 37
QSO: 21000 CW 2019-11-23 0903 OK2CSU        599 15     ZM2B          599 32
QSO: 21000 CW 2019-11-23 0921 OK2CSU        599 15     9K2NO         599 21
QSO: 21000 CW 2019-11-23 0947 OK2CSU        599 15     CR3W          599 33
QSO: 21000 CW 2019-11-23 0955 OK2CSU        599 15     CT3KN         599 33
QSO: 21000 CW 2019-11-23 1002 OK2CSU        599 15     4X6FR         599 20
QSO: 21000 CW 2019-11-23 1007 OK2CSU        599 15     VU2CPL        599 22
QSO: 21000 CW 2019-11-23 1011 OK2CSU        599 15     3B8M          599 39
QSO: 21000 CW 2019-11-23 1020 OK2CSU        599 15     FR4SC         599 39
QSO: 21000 CW 2019-11-23 1144 OK2CSU        599 15     CR3X          599 33
QSO: 21000 CW 2019-11-23 1207 OK2CSU        599 15     CN3A          599 33
QSO: 21000 CW 2019-11-23 1218 OK2CSU        599 15     9K2SN         599 21
QSO: 14000 CW 2019-11-23 1254 OK2CSU        599 15     WX3B          599 05
QSO: 14000 CW 2019-11-23 1257 OK2CSU        599 15     W4CB          599 05
QSO: 14000 CW 2019-11-23 1300 OK2CSU        599 15     K2LR          599 05
QSO: 14000 CW 2019-11-23 1303 OK2CSU        599 15     N2IC          599 05
QSO: 14000 CW 2019-11-23 1313 OK2CSU        599 15     HZ1A          599 21
QSO: 14000 CW 2019-11-23 1317 OK2CSU        599 15     TC0F          599 20
QSO: 14000 CW 2019-11-23 1320 OK2CSU        599 15     J42L          599 20
QSO: 14000 CW 2019-11-23 1323 OK2CSU        599 15     NW3Y          599 05
