START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: WC5D
LOCATION: NTX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
GRID-LOCATOR: EM13
CLAIMED-SCORE: 16800
NAME: Van Hodgden
OPERATORS: WC5D
CLUB: DFW Contest Group
CREATED-BY: N1MM Logger+ 1.0.8014.0
SOAPBOX: You CAN work other continents with an indoor 40-10M Cobweb!
QSO:  7000 CW 2019-11-24 1156 WC5D          599 4      V47T          599 08
QSO:  7000 CW 2019-11-24 1157 WC5D          599 4      N4UU          599 05
QSO:  7000 CW 2019-11-24 1203 WC5D          599 4      KP2M          599 08
QSO:  7000 CW 2019-11-24 1208 WC5D          599 4      PJ2T          599 09
QSO:  7000 CW 2019-11-24 1220 WC5D          599 4      KP2M          599 08
QSO:  7000 CW 2019-11-24 1221 WC5D          599 4      N9RV          599 04
QSO:  7000 CW 2019-11-24 1227 WC5D          599 4      W6YX          599 03
QSO:  7000 CW 2019-11-24 1232 WC5D          599 4      TI7W          599 07
QSO:  7000 CW 2019-11-24 1234 WC5D          599 4      KH6LC         599 31
QSO:  7000 CW 2019-11-24 1240 WC5D          599 4      ZF1A          599 08
QSO: 14000 CW 2019-11-24 1414 WC5D          599 4      PA1AW         599 14
QSO: 14000 CW 2019-11-24 1421 WC5D          599 4      HB9CA         599 14
QSO: 14000 CW 2019-11-24 1424 WC5D          599 4      VE3NNT        599 04
QSO: 14000 CW 2019-11-24 1430 WC5D          599 4      EF2X          599 14
QSO: 14000 CW 2019-11-24 1431 WC5D          599 4      CR3W          599 33
QSO: 14000 CW 2019-11-24 1433 WC5D          599 4      G6XX          599 14
QSO: 14000 CW 2019-11-24 1434 WC5D          599 4      E7DX          599 15
QSO: 14000 CW 2019-11-24 1435 WC5D          599 4      VC3T          599 04
QSO: 14000 CW 2019-11-24 1438 WC5D          599 4      F6HKA         599 14
QSO: 14000 CW 2019-11-24 1446 WC5D          599 4      CR5E          599 14
