START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: N6WS
LOCATION: SB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: CM95
CLAIMED-SCORE: 192794
NAME: Bill Shell
OPERATORS: N6WS
CLUB: Southern California Contest Club
CREATED-BY: N1MM Logger+ 1.0.8014.0
SOAPBOX: Just played whenever I was available.
SOAPBOX: Had a great time chasing some of the DX stations.
SOAPBOX: FTDX-5000, Expert 2K-FA
SOAPBOX: DB36 @ 17m, Verticals on 160m & 80m
QSO: 21022 CW 2019-11-23 0004 N6WS          599 3      ZL4TT         599 32
QSO: 21021 CW 2019-11-23 0005 N6WS          599 3      ZM2B          599 32
QSO: 21036 CW 2019-11-23 0007 N6WS          599 3      ZM4T          599 32
QSO: 21022 CW 2019-11-23 0007 N6WS          599 3      ZL3X          599 32
QSO: 21015 CW 2019-11-23 0007 N6WS          599 3      VK6LW         599 29
QSO: 21032 CW 2019-11-23 0008 N6WS          599 3      KH6LC         599 31
QSO: 21039 CW 2019-11-23 0009 N6WS          599 3      JA5FDJ        599 25
QSO: 21033 CW 2019-11-23 0009 N6WS          599 3      JA5DQH        599 25
QSO: 21030 CW 2019-11-23 0010 N6WS          599 3      DU3DW         599 27
QSO: 21002 CW 2019-11-23 0011 N6WS          599 3      JH4UYB        599 25
QSO: 21001 CW 2019-11-23 0011 N6WS          599 3      JE6RPM        599 25
QSO: 21012 CW 2019-11-23 0013 N6WS          599 3      VK2IM         599 30
QSO: 28025 CW 2019-11-23 0017 N6WS          599 3      ZM1A          599 32
QSO: 21046 CW 2019-11-23 0019 N6WS          599 3      5W1SA         599 32
QSO: 21034 CW 2019-11-23 0021 N6WS          599 3      9M6NA         599 28
QSO: 21019 CW 2019-11-23 0022 N6WS          599 3      JM7OLW        599 25
QSO: 14003 CW 2019-11-23 0025 N6WS          599 3      KL7RA         599 01
QSO: 14033 CW 2019-11-23 0027 N6WS          599 3      JT5DX         599 23
QSO: 14014 CW 2019-11-23 0028 N6WS          599 3      JR3RIU        599 25
QSO: 14060 CW 2019-11-23 0029 N6WS          599 3      HL1IWD        599 25
QSO: 14043 CW 2019-11-23 0030 N6WS          599 3      RU0LL         599 19
QSO: 14041 CW 2019-11-23 0031 N6WS          599 3      HS0ZAR        599 26
QSO: 14039 CW 2019-11-23 0034 N6WS          599 3      BY1CW         599 24
QSO: 14040 CW 2019-11-23 0034 N6WS          599 3      XV9D          599 26
QSO: 14008 CW 2019-11-23 0035 N6WS          599 3      BU2EO         599 24
QSO: 14006 CW 2019-11-23 0036 N6WS          599 3      BV1EL         599 24
QSO: 14038 CW 2019-11-23 0044 N6WS          599 3      9M6NA         599 28
QSO: 14035 CW 2019-11-23 0045 N6WS          599 3      AH2R          599 27
QSO: 14047 CW 2019-11-23 0046 N6WS          599 3      WH7M          599 31
QSO: 14030 CW 2019-11-23 0046 N6WS          599 3      ZM1M          599 32
QSO: 14015 CW 2019-11-23 0047 N6WS          599 3      ZL3X          599 32
QSO: 14055 CW 2019-11-23 0049 N6WS          599 3      VK9CZ         599 29
QSO:  7041 CW 2019-11-23 0112 N6WS          599 3      P40W          599 09
QSO:  7042 CW 2019-11-23 0114 N6WS          599 3      ZF1A          599 08
QSO:  7027 CW 2019-11-23 0118 N6WS          599 3      OK1CF         599 15
QSO:  7030 CW 2019-11-23 0123 N6WS          599 3      LZ9W          599 20
QSO:  7014 CW 2019-11-23 0125 N6WS          599 3      UA1AG         599 16
QSO:  7045 CW 2019-11-23 0129 N6WS          599 3      3B8M          599 39
QSO:  7066 CW 2019-11-23 0133 N6WS          599 3      T6A           599 21
QSO:  3557 CW 2019-11-23 0205 N6WS          599 3      KL7RA         599 01
QSO:  3535 CW 2019-11-23 0206 N6WS          599 3      XE2T          599 06
QSO:  3570 CW 2019-11-23 0208 N6WS          599 3      ZF1A          599 08
QSO:  3538 CW 2019-11-23 0209 N6WS          599 3      PJ2T          599 09
QSO:  3527 CW 2019-11-23 0210 N6WS          599 3      PJ4K          599 09
QSO:  3561 CW 2019-11-23 0218 N6WS          599 3      D4C           599 35
QSO:  3534 CW 2019-11-23 0227 N6WS          599 3      PZ5W          599 09
QSO:  3548 CW 2019-11-23 0239 N6WS          599 3      V47T          599 08
QSO:  3581 CW 2019-11-23 0242 N6WS          599 3      HK6J          599 09
QSO:  1827 CW 2019-11-23 0247 N6WS          599 3      XE2X          599 06
QSO:  7048 CW 2019-11-23 0302 N6WS          599 3      CR3W          599 33
QSO:  7036 CW 2019-11-23 0304 N6WS          599 3      ED5R          599 14
