START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: OE8MOS
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
GRID-LOCATOR: JN76JW
CLAIMED-SCORE: 23750
NAME: Manfred Mosinz
OPERATORS: OE8MOS
CLUB: AMRS
CREATED-BY: UcxLog 7.99
SOAPBOX: Yaesu FT-950 100Watt Ant. G5 160-10m full size 10m over Ground
QSO:  7000 CW 2019-11-23 0020 OE8MOS        599 15     K3LR          599 5      0
QSO:  7000 CW 2019-11-23 0027 OE8MOS        599 15     4L8A          599 21     0
QSO:  7000 CW 2019-11-23 0033 OE8MOS        599 15     UN6LN         599 17     0
QSO:  7000 CW 2019-11-23 0053 OE8MOS        599 15     K1IR          599 5      0
QSO:  7000 CW 2019-11-23 0057 OE8MOS        599 15     W9RE          599 4      0
QSO:  7000 CW 2019-11-23 0102 OE8MOS        599 15     TI7W          599 07     0
QSO:  7000 CW 2019-11-23 0108 OE8MOS        599 15     5B4AGU        599 20     0
QSO:  7000 CW 2019-11-23 0110 OE8MOS        599 15     UB7K          599 16     0
QSO:  7000 CW 2019-11-23 0118 OE8MOS        599 15     KP3DX         599 08     0
QSO:  7000 CW 2019-11-23 0122 OE8MOS        599 15     KP2M          599 08     0
QSO:  7000 CW 2019-11-23 0130 OE8MOS        599 15     V26K          599 08     0
QSO:  7000 CW 2019-11-23 0136 OE8MOS        599 15     VE9CB         599 05     0
QSO:  7000 CW 2019-11-23 0144 OE8MOS        599 15     EA5RS         599 14     0
QSO:  7000 CW 2019-11-23 0146 OE8MOS        599 15     SJ2W          599 14     0
QSO:  7000 CW 2019-11-23 0200 OE8MOS        599 15     K5KG          599 5      0
QSO:  7000 CW 2019-11-23 0926 OE8MOS        599 15     4O3A          599 15     0
QSO:  7000 CW 2019-11-23 0931 OE8MOS        599 15     YT7KM         599 15     0
QSO:  7000 CW 2019-11-23 0935 OE8MOS        599 15     TM5DX         599 14     0
QSO:  7000 CW 2019-11-23 0939 OE8MOS        599 15     RT5G          599 16     0
QSO:  7000 CW 2019-11-23 0944 OE8MOS        599 15     DR4A          599 14     0
QSO:  7000 CW 2019-11-23 0946 OE8MOS        599 15     S57Z          599 15     0
QSO:  7000 CW 2019-11-23 0947 OE8MOS        599 15     E74X          599 15     0
QSO:  7000 CW 2019-11-23 0955 OE8MOS        599 15     EU1A          599 16     0
QSO: 14000 CW 2019-11-23 1036 OE8MOS        599 15     R7AB          599 16     0
QSO: 21000 CW 2019-11-23 1046 OE8MOS        599 15     4Z4DX         599 20     0
QSO:  7000 CW 2019-11-23 1124 OE8MOS        599 15     SP8PAI        599 15     0
QSO:  7000 CW 2019-11-23 1127 OE8MOS        599 15     IH9/OK6RA     599 33     0
QSO:  7000 CW 2019-11-23 1128 OE8MOS        599 15     SN6O          599 15     0
QSO:  7000 CW 2019-11-23 1131 OE8MOS        599 15     YU1A          599 15     0
QSO:  7000 CW 2019-11-23 1132 OE8MOS        599 15     UT4U          599 16     0
QSO:  7000 CW 2019-11-23 1144 OE8MOS        599 15     G3TXF         599 14     0
QSO:  7000 CW 2019-11-23 1149 OE8MOS        599 15     G5O           599 14     0
QSO:  7000 CW 2019-11-23 1152 OE8MOS        599 15     LN8W          599 14     0
QSO:  7000 CW 2019-11-23 1159 OE8MOS        599 15     OM0M          599 15     0
QSO:  7000 CW 2019-11-23 1200 OE8MOS        599 15     9A1A          599 15     0
QSO:  7000 CW 2019-11-23 1203 OE8MOS        599 15     G8X           599 14     0
QSO:  7000 CW 2019-11-23 1205 OE8MOS        599 15     LZ9W          599 20     0
QSO:  7000 CW 2019-11-23 1739 OE8MOS        599 15     5B4AO         599 20     0
QSO:  7000 CW 2019-11-23 1741 OE8MOS        599 15     LY4L          599 15     0
QSO:  7000 CW 2019-11-23 1743 OE8MOS        599 15     4X6FR         599 20     0
QSO:  7000 CW 2019-11-23 1749 OE8MOS        599 15     RM9A          599 17     0
QSO:  7000 CW 2019-11-23 1752 OE8MOS        599 15     IR2R          599 15     0
QSO:  3500 CW 2019-11-23 1801 OE8MOS        599 15     OK6W          599 15     0
QSO:  3500 CW 2019-11-23 1804 OE8MOS        599 15     SN5N          599 15     0
QSO:  3500 CW 2019-11-23 1806 OE8MOS        599 15     YT1R          599 15     0
QSO:  3500 CW 2019-11-23 1809 OE8MOS        599 15     OM0WR         599 15     0
QSO:  3500 CW 2019-11-23 1811 OE8MOS        599 15     YU1UN         599 15     0
QSO:  3500 CW 2019-11-23 1816 OE8MOS        599 15     S57WJ         599 15     0
QSO:  3500 CW 2019-11-23 1818 OE8MOS        599 15     DM4X          599 14     0
QSO:  3500 CW 2019-11-23 1822 OE8MOS        599 15     OZ1IKY        599 14     0
QSO:  3500 CW 2019-11-23 1823 OE8MOS        599 15     3Z50GR        599 15     0
QSO:  3500 CW 2019-11-23 1824 OE8MOS        599 15     UP4L          599 17     0
QSO:  3500 CW 2019-11-23 1825 OE8MOS        599 15     SO3O          599 15     0
QSO:  3500 CW 2019-11-23 1839 OE8MOS        599 15     4O7CC         599 15     0
QSO:  3500 CW 2019-11-23 1842 OE8MOS        599 15     UX2X          599 16     0
QSO:  3500 CW 2019-11-23 1845 OE8MOS        599 15     HA7PL         599 15     0
QSO:  3500 CW 2019-11-23 1848 OE8MOS        599 15     PA0AA         599 14     0
QSO:  3500 CW 2019-11-23 1849 OE8MOS        599 15     E74UK         599 15     0
QSO:  3500 CW 2019-11-23 2134 OE8MOS        599 15     Z37Y          599 15     0
QSO:  3500 CW 2019-11-23 2135 OE8MOS        599 15     OH3OJ         599 15     0
QSO:  3500 CW 2019-11-23 2137 OE8MOS        599 15     LY3DA         599 15     0
QSO:  3500 CW 2019-11-23 2139 OE8MOS        599 15     RW0A          599 18     0
QSO:  3500 CW 2019-11-23 2142 OE8MOS        599 15     R7NW          599 16     0
QSO:  3500 CW 2019-11-23 2145 OE8MOS        599 15     OR1Z          599 14     0
QSO:  3500 CW 2019-11-23 2148 OE8MOS        599 15     LZ7J          599 20     0
QSO:  3500 CW 2019-11-23 2149 OE8MOS        599 15     F6AGM         599 14     0
QSO:  3500 CW 2019-11-23 2151 OE8MOS        599 15     IS0SWW        599 15     0
QSO:  3500 CW 2019-11-23 2152 OE8MOS        599 15     YL3CW         599 15     0
