START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: DL9JON
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: JO60GP
CLAIMED-SCORE: 282875
NAME: Heiko Gruner
OPERATORS: DL9JON
CLUB: RHEIN RUHR DX ASSOCIATION
CREATED-BY: N1MM Logger+ 1.0.8014.0
SOAPBOX: Tnx for all QSOs. Tnx to all operators and crews.
SOAPBOX: Cu in the next contsts.
QSO: 14000 CW 2019-11-23 0735 DL9JON        599 14     JH4UYB        599 25
QSO: 14000 CW 2019-11-23 0736 DL9JON        599 14     BA7QT         599 24
QSO: 14000 CW 2019-11-23 0743 DL9JON        599 14     RM9A          599 17
QSO: 14000 CW 2019-11-23 0745 DL9JON        599 14     RN9T          599 16
QSO: 14000 CW 2019-11-23 0746 DL9JON        599 14     UP0L          599 17
QSO: 14000 CW 2019-11-23 0749 DL9JON        599 14     RM9I          599 18
QSO: 14000 CW 2019-11-23 0751 DL9JON        599 14     UA6LCN        599 16
QSO: 14000 CW 2019-11-23 0753 DL9JON        599 14     BH1DYK        599 24
QSO: 14000 CW 2019-11-23 0756 DL9JON        599 14     UW7LL         599 16
QSO: 14000 CW 2019-11-23 0801 DL9JON        599 14     3V8SS         599 33
QSO: 14000 CW 2019-11-23 0802 DL9JON        599 14     EA5RS         599 14
QSO: 14000 CW 2019-11-23 0806 DL9JON        599 14     9G5W          599 35
QSO: 14000 CW 2019-11-23 0808 DL9JON        599 14     CR5E          599 14
QSO: 21000 CW 2019-11-23 0810 DL9JON        599 14     RA9P          599 18
QSO: 21000 CW 2019-11-23 0811 DL9JON        599 14     RM9A          599 17
QSO: 21000 CW 2019-11-23 0813 DL9JON        599 14     7A1A          599 28
QSO: 21000 CW 2019-11-23 0816 DL9JON        599 14     5H3UA         599 37
QSO: 21000 CW 2019-11-23 0817 DL9JON        599 14     HS0ZAR        599 26
QSO: 21000 CW 2019-11-23 0818 DL9JON        599 14     RX9SN         599 16
QSO: 21000 CW 2019-11-23 0819 DL9JON        599 14     7A2A          599 28
QSO: 21000 CW 2019-11-23 0819 DL9JON        599 14     BA7IO         599 24
QSO: 21000 CW 2019-11-23 0823 DL9JON        599 14     9M2FUL        599 28
QSO: 21000 CW 2019-11-23 0825 DL9JON        599 14     VR2XAN        599 24
QSO: 21000 CW 2019-11-23 0829 DL9JON        599 14     XZ2D          599 26
QSO: 21000 CW 2019-11-23 0830 DL9JON        599 14     T6A           599 21
