START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: OK1NF
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 37440
NAME: Jan Kraus
CLUB: OK QRP Klub
CREATED-BY: TR4W v.4.65.0
SOAPBOX: Thanks to every op able to copy my QRP sigs!
QSO:  7000 CW 2019-11-23 0645 OK1NF         599 15     UW5U          599 16
QSO:  7000 CW 2019-11-23 0649 OK1NF         599 15     4O3A          599 15
QSO:  7000 CW 2019-11-23 0650 OK1NF         599 15     EV1R          599 16
QSO:  7000 CW 2019-11-23 0650 OK1NF         599 15     K3LR          599 05
QSO:  7000 CW 2019-11-23 0651 OK1NF         599 15     LY2XW         599 15
QSO:  7000 CW 2019-11-23 0651 OK1NF         599 15     NR4M          599 05
QSO:  7000 CW 2019-11-23 0652 OK1NF         599 15     RM9A          599 17
QSO:  7000 CW 2019-11-23 0653 OK1NF         599 15     W3LPL         599 05
QSO:  7000 CW 2019-11-23 0653 OK1NF         599 15     EF8R          599 33
QSO:  7000 CW 2019-11-23 0654 OK1NF         599 15     UT5C          599 16
QSO:  7000 CW 2019-11-23 0656 OK1NF         599 15     SN3A          599 15
QSO:  7000 CW 2019-11-23 0657 OK1NF         599 15     YL7X          599 15
QSO:  7000 CW 2019-11-23 0658 OK1NF         599 15     TK0C          599 15
QSO:  7000 CW 2019-11-23 0700 OK1NF         599 15     UA3A          599 16
QSO:  7000 CW 2019-11-23 0701 OK1NF         599 15     M6T           599 14
QSO:  7000 CW 2019-11-23 0701 OK1NF         599 15     YO4NF         599 20
QSO:  7000 CW 2019-11-23 0702 OK1NF         599 15     IR4M          599 15
QSO:  7000 CW 2019-11-23 0702 OK1NF         599 15     GW5R          599 14
QSO:  7000 CW 2019-11-23 0703 OK1NF         599 15     YR8D          599 20
QSO:  7000 CW 2019-11-23 0704 OK1NF         599 15     G3TXF         599 14
QSO:  7000 CW 2019-11-23 0704 OK1NF         599 15     OG70AD        599 15
QSO:  7000 CW 2019-11-23 0706 OK1NF         599 15     YQ6A          599 20
QSO:  7000 CW 2019-11-23 0707 OK1NF         599 15     YU1RA         599 15
QSO:  7000 CW 2019-11-23 0708 OK1NF         599 15     G9Y           599 14
QSO:  7000 CW 2019-11-23 0713 OK1NF         599 15     R4LC          599 16
QSO:  7000 CW 2019-11-23 0714 OK1NF         599 15     G3P           599 14
QSO:  7000 CW 2019-11-23 0715 OK1NF         599 15     IB9A          599 15
QSO:  7000 CW 2019-11-23 0716 OK1NF         599 15     IO5P          599 15
QSO:  7000 CW 2019-11-23 0718 OK1NF         599 15     ED5R          599 14
QSO:  7000 CW 2019-11-23 0719 OK1NF         599 15     G5U           599 14
QSO:  7000 CW 2019-11-23 0725 OK1NF         599 15     ES9C          599 15
QSO:  7000 CW 2019-11-23 0725 OK1NF         599 15     OM0M          599 15
QSO:  7000 CW 2019-11-23 0727 OK1NF         599 15     UI3A          599 16
QSO:  7000 CW 2019-11-23 0728 OK1NF         599 15     OZ0TX         599 14
QSO:  7000 CW 2019-11-23 0730 OK1NF         599 15     LY5E          599 15
QSO:  7000 CW 2019-11-23 0731 OK1NF         599 15     IK1JJM        599 15
QSO:  7000 CW 2019-11-23 0732 OK1NF         599 15     EW5A          599 16
QSO:  7000 CW 2019-11-23 0733 OK1NF         599 15     YU1A          599 15
QSO:  7000 CW 2019-11-23 0735 OK1NF         599 15     LY4A          599 15
QSO:  7000 CW 2019-11-23 0736 OK1NF         599 15     UN6LN         599 17
QSO:  7000 CW 2019-11-23 0740 OK1NF         599 15     SP5CNA        599 15
QSO:  7000 CW 2019-11-23 0742 OK1NF         599 15     UR5R          599 16
QSO:  7000 CW 2019-11-23 0746 OK1NF         599 15     9A1A          599 15
QSO:  7000 CW 2019-11-23 0746 OK1NF         599 15     SO9M          599 15
QSO:  7000 CW 2019-11-23 0749 OK1NF         599 15     OK1AWZ        599 15
QSO:  7000 CW 2019-11-23 0749 OK1NF         599 15     R5AJ          599 16
QSO:  7000 CW 2019-11-23 0750 OK1NF         599 15     LZ9W          599 20
QSO:  7000 CW 2019-11-23 0751 OK1NF         599 15     SP2QG         599 15
QSO:  7000 CW 2019-11-23 0757 OK1NF         599 15     ER4A          599 16
QSO:  7000 CW 2019-11-23 0758 OK1NF         599 15     OQ5M          599 14
QSO:  7000 CW 2019-11-23 0758 OK1NF         599 15     YT5A          599 15
QSO:  7000 CW 2019-11-23 0800 OK1NF         599 15     YT7KM         599 15
QSO:  7000 CW 2019-11-23 0801 OK1NF         599 15     LY7W          599 15
QSO:  7000 CW 2019-11-23 0802 OK1NF         599 15     CR3DX         599 33
QSO:  7000 CW 2019-11-23 0805 OK1NF         599 15     OH5Z          599 15
QSO:  7000 CW 2019-11-23 0809 OK1NF         599 15     IR4K          599 15
QSO: 14000 CW 2019-11-23 0814 OK1NF         599 15     P33W          599 20
QSO: 14000 CW 2019-11-23 0816 OK1NF         599 15     JH1GEX        599 25
QSO: 14000 CW 2019-11-23 0817 OK1NF         599 15     4X6FR         599 20
QSO: 14000 CW 2019-11-23 0820 OK1NF         599 15     A44A          599 21
QSO: 14000 CW 2019-11-23 0820 OK1NF         599 15     R2AA          599 16
QSO: 14000 CW 2019-11-23 0821 OK1NF         599 15     9H3TX         599 15
QSO: 14000 CW 2019-11-23 0824 OK1NF         599 15     UB0A          599 18
QSO: 14000 CW 2019-11-23 0826 OK1NF         599 15     9H6A          599 15
QSO: 14000 CW 2019-11-23 0827 OK1NF         599 15     R7AB          599 16
QSO: 14000 CW 2019-11-23 0828 OK1NF         599 15     RK3T          599 16
QSO: 14000 CW 2019-11-23 0828 OK1NF         599 15     TC3D          599 20
QSO: 14000 CW 2019-11-23 0829 OK1NF         599 15     RW9DX         599 17
QSO: 14000 CW 2019-11-23 0830 OK1NF         599 15     US8IM         599 16
QSO: 14000 CW 2019-11-23 0832 OK1NF         599 15     R4RE          599 16
QSO: 14000 CW 2019-11-23 0833 OK1NF         599 15     UV1IX         599 16
QSO: 14000 CW 2019-11-23 0834 OK1NF         599 15     EM2Q          599 16
QSO: 14000 CW 2019-11-23 0837 OK1NF         599 15     RM9A          599 17
QSO: 14000 CW 2019-11-23 0838 OK1NF         599 15     RN9T          599 16
QSO: 14000 CW 2019-11-23 0841 OK1NF         599 15     UN9L          599 17
QSO: 14000 CW 2019-11-23 0842 OK1NF         599 15     EI5KF         599 14
QSO: 14000 CW 2019-11-23 0843 OK1NF         599 15     YQ8T          599 20
QSO: 14000 CW 2019-11-23 0847 OK1NF         599 15     RA1AL         599 16
QSO: 14000 CW 2019-11-23 0849 OK1NF         599 15     R9TV          599 16
QSO: 14000 CW 2019-11-23 0850 OK1NF         599 15     SM2EKM        599 14
QSO: 14000 CW 2019-11-23 0853 OK1NF         599 15     RC9J          599 17
QSO: 14000 CW 2019-11-23 0854 OK1NF         599 15     LZ4AW         599 20
QSO: 14000 CW 2019-11-23 0856 OK1NF         599 15     GM3X          599 14
QSO: 14000 CW 2019-11-23 0857 OK1NF         599 15     OH8X          599 15
QSO: 14000 CW 2019-11-23 0858 OK1NF         599 15     RL8C          599 17
QSO: 14000 CW 2019-11-23 0859 OK1NF         599 15     EA1AOQ        599 14
QSO: 14000 CW 2019-11-23 0901 OK1NF         599 15     UY7C          599 16
QSO: 14000 CW 2019-11-23 0903 OK1NF         599 15     II9P          599 15
QSO: 14000 CW 2019-11-23 0915 OK1NF         599 15     G6M           599 14
QSO: 14000 CW 2019-11-23 0917 OK1NF         599 15     3V8SS         599 33
QSO: 14000 CW 2019-11-23 0920 OK1NF         599 15     OG7A          599 15
QSO: 14000 CW 2019-11-23 0922 OK1NF         599 15     RC1O          599 16
QSO: 14000 CW 2019-11-23 0926 OK1NF         599 15     R3FA          599 16
QSO: 14000 CW 2019-11-23 0928 OK1NF         599 15     CR3X          599 33
QSO: 14000 CW 2019-11-23 0929 OK1NF         599 15     OH8WR         599 15
QSO: 14000 CW 2019-11-23 0931 OK1NF         599 15     UA4WW         599 16
QSO: 14000 CW 2019-11-23 0932 OK1NF         599 15     TA4/OH2KW     599 20
QSO: 14000 CW 2019-11-23 0933 OK1NF         599 15     SX1T          599 20
QSO: 14000 CW 2019-11-23 0933 OK1NF         599 15     UW7LL         599 16
QSO: 14000 CW 2019-11-23 0934 OK1NF         599 15     OG70AD        599 15
QSO: 14000 CW 2019-11-23 0935 OK1NF         599 15     R2VA          599 16
QSO: 14000 CW 2019-11-23 0936 OK1NF         599 15     OL3A          599 15
QSO: 14000 CW 2019-11-23 0936 OK1NF         599 15     OH9W          599 15
QSO: 14000 CW 2019-11-23 0937 OK1NF         599 15     RT6A          599 16
QSO: 14000 CW 2019-11-23 0938 OK1NF         599 15     RM9I          599 18
QSO: 14000 CW 2019-11-23 0941 OK1NF         599 15     TC0F          599 20
QSO: 14000 CW 2019-11-23 0942 OK1NF         599 15     EF5F          599 14
