START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: K9MK
LOCATION: NTX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
GRID-LOCATOR:
CLAIMED-SCORE: 360962
NAME: Michael Krzystyniak
OPERATORS: K9MK
CLUB: DFW Contest Group
CREATED-BY: N1MM Logger+ 1.0.8014.0
SOAPBOX: Used a 43' vertical and worked some great DX!
QSO:  7052 CW 2019-11-23 0417 K9MK          599 4      ZD7W          599 36
QSO:  7056 CW 2019-11-23 0420 K9MK          599 4      FY5KE         599 09
QSO: 28034 CW 2019-11-23 1826 K9MK          599 4      NP2X          599 08
QSO: 28038 CW 2019-11-23 1827 K9MK          599 4      LU2DX         599 13
QSO: 21044 CW 2019-11-23 1834 K9MK          599 4      KH6LC         599 31
QSO: 21043 CW 2019-11-23 1835 K9MK          599 4      CR2X          599 14
QSO: 21040 CW 2019-11-23 1835 K9MK          599 4      CO8LY         599 08
QSO: 21028 CW 2019-11-23 1837 K9MK          599 4      KH7B          599 31
QSO: 21025 CW 2019-11-23 1840 K9MK          599 4      HI3CC         599 08
QSO: 21006 CW 2019-11-23 1842 K9MK          599 4      EF8R          599 33
QSO: 21020 CW 2019-11-23 1843 K9MK          599 4      C6AGU         599 08
QSO: 21021 CW 2019-11-23 1844 K9MK          599 4      HQ9M          599 07
QSO: 21027 CW 2019-11-23 1847 K9MK          599 4      TI7W          599 07
QSO: 21052 CW 2019-11-23 1851 K9MK          599 4      PJ4K          599 09
QSO: 21054 CW 2019-11-23 1852 K9MK          599 4      PX2A          599 11
QSO: 21058 CW 2019-11-23 1854 K9MK          599 4      D4C           599 35
QSO: 21060 CW 2019-11-23 1855 K9MK          599 4      HH2AA         599 08
QSO: 21062 CW 2019-11-23 1856 K9MK          599 4      VP2MDM        599 08
QSO: 28033 CW 2019-11-23 1900 K9MK          599 4      CE2SV         599 12
QSO: 21070 CW 2019-11-23 2103 K9MK          599 4      ZF9CW         599 08
QSO: 21059 CW 2019-11-23 2104 K9MK          599 4      YN2CC         599 07
QSO: 21021 CW 2019-11-23 2106 K9MK          599 4      PZ5W          599 09
QSO: 21057 CW 2019-11-23 2109 K9MK          599 4      TO1A          599 09
QSO: 21030 CW 2019-11-23 2110 K9MK          599 4      PJ2T          599 09
QSO: 21004 CW 2019-11-23 2113 K9MK          599 4      P40W          599 09
QSO: 21002 CW 2019-11-23 2304 K9MK          599 4      ZM4T          599 32
QSO: 21029 CW 2019-11-23 2306 K9MK          599 4      LU4HK         599 13
QSO: 14088 CW 2019-11-23 2313 K9MK          599 4      KN7K          599 03
QSO: 14086 CW 2019-11-23 2314 K9MK          599 4      JE4JPQ        599 25
QSO: 14073 CW 2019-11-23 2314 K9MK          599 4      JI7GBI        599 25
QSO: 14068 CW 2019-11-23 2315 K9MK          599 4      ZW5B          599 11
QSO: 14060 CW 2019-11-23 2317 K9MK          599 4      PX2C          599 11
QSO: 14045 CW 2019-11-23 2321 K9MK          599 4      KH6LC         599 31
QSO: 14040 CW 2019-11-23 2323 K9MK          599 4      PJ2T          599 09
QSO: 14027 CW 2019-11-23 2326 K9MK          599 4      VA7DX         599 03
QSO: 14025 CW 2019-11-23 2329 K9MK          599 4      XR1D          599 12
QSO: 14042 CW 2019-11-23 2332 K9MK          599 4      V47T          599 08
QSO: 14047 CW 2019-11-23 2333 K9MK          599 4      NP2P          599 08
QSO: 14070 CW 2019-11-24 0009 K9MK          599 4      JR4OZR        599 25
QSO: 14050 CW 2019-11-24 0012 K9MK          599 4      JA2XYO        599 25
QSO: 14052 CW 2019-11-24 0021 K9MK          599 4      HI3CC         599 08
QSO: 14057 CW 2019-11-24 0025 K9MK          599 4      AH2R          599 27
QSO: 14053 CW 2019-11-24 0032 K9MK          599 4      7K4XNN        599 25
QSO: 14067 CW 2019-11-24 0033 K9MK          599 4      YW1K          599 09
QSO: 14003 CW 2019-11-24 0038 K9MK          599 4      PY0FR         599 11
QSO:  7088 CW 2019-11-24 0047 K9MK          599 4      CT3KN         599 33
QSO:  7087 CW 2019-11-24 0048 K9MK          599 4      KP3DX         599 08
QSO:  7084 CW 2019-11-24 0049 K9MK          599 4      8P5A          599 08
QSO:  7073 CW 2019-11-24 0050 K9MK          599 4      PJ5/SP6EQZ    599 08
QSO:  7071 CW 2019-11-24 0050 K9MK          599 4      P40W          599 09
QSO:  7070 CW 2019-11-24 0051 K9MK          599 4      CE2LR         599 12
QSO:  7067 CW 2019-11-24 0053 K9MK          599 4      VP5M          599 08
QSO:  7067 CW 2019-11-24 0054 K9MK          599 4      C56DF         599 35
QSO:  7064 CW 2019-11-24 0055 K9MK          599 4      TI7W          599 07
QSO:  7058 CW 2019-11-24 0056 K9MK          599 4      OE5OHO        599 15
QSO:  7053 CW 2019-11-24 0056 K9MK          599 4      VE3KP         599 04
QSO:  7052 CW 2019-11-24 0058 K9MK          599 4      CN2A          599 33
QSO:  7043 CW 2019-11-24 0059 K9MK          599 4      PJ2T          599 09
QSO:  7039 CW 2019-11-24 0100 K9MK          599 4      HG1S          599 15
QSO:  7037 CW 2019-11-24 0101 K9MK          599 4      YT7KM         599 15
QSO:  7031 CW 2019-11-24 0102 K9MK          599 4      PJ4K          599 09
QSO:  7030 CW 2019-11-24 0102 K9MK          599 4      IZ2DLV        599 15
QSO:  7026 CW 2019-11-24 0103 K9MK          599 4      VE6SV         599 04
QSO:  7024 CW 2019-11-24 0104 K9MK          599 4      C6AGU         599 08
QSO:  7006 CW 2019-11-24 0108 K9MK          599 4      OK1CF         599 15
QSO:  7007 CW 2019-11-24 0108 K9MK          599 4      CR3DX         599 33
QSO:  7007 CW 2019-11-24 0109 K9MK          599 4      LX7I          599 14
QSO:  7009 CW 2019-11-24 0109 K9MK          599 4      ED8W          599 33
QSO:  7011 CW 2019-11-24 0110 K9MK          599 4      5N7Q          599 35
QSO:  7012 CW 2019-11-24 0111 K9MK          599 4      9A3XV         599 15
QSO:  7015 CW 2019-11-24 0113 K9MK          599 4      SN2B          599 15
QSO:  7017 CW 2019-11-24 0113 K9MK          599 4      IM0SDX        599 15
QSO:  7020 CW 2019-11-24 0114 K9MK          599 4      OK2D          599 15
QSO:  7038 CW 2019-11-24 0116 K9MK          599 4      VE3UTT        599 04
QSO:  7038 CW 2019-11-24 0117 K9MK          599 4      VY2TT         599 05
QSO:  7039 CW 2019-11-24 0119 K9MK          599 4      HP3SS         599 07
QSO:  7039 CW 2019-11-24 0120 K9MK          599 4      XE2S          599 06
QSO:  7059 CW 2019-11-24 0121 K9MK          599 4      EF8R          599 33
QSO:  7060 CW 2019-11-24 0123 K9MK          599 4      DP9A          599 14
QSO:  7061 CW 2019-11-24 0124 K9MK          599 4      3B8M          599 39
QSO:  7064 CW 2019-11-24 0125 K9MK          599 4      KP2M          599 08
QSO:  7065 CW 2019-11-24 0126 K9MK          599 4      EA5RS         599 14
QSO:  7068 CW 2019-11-24 0127 K9MK          599 4      V26K          599 08
QSO:  7071 CW 2019-11-24 0128 K9MK          599 4      PY4XX         599 11
QSO:  7073 CW 2019-11-24 0132 K9MK          599 4      VE2IM         599 02
QSO:  7005 CW 2019-11-24 0133 K9MK          599 4      CO6RD         599 08
QSO:  7010 CW 2019-11-24 0134 K9MK          599 4      E7DX          599 15
QSO:  7013 CW 2019-11-24 0136 K9MK          599 4      HC5DX         599 10
QSO:  7021 CW 2019-11-24 0138 K9MK          599 4      OM7M          599 15
QSO: 14005 CW 2019-11-24 0221 K9MK          599 4      WH6R          599 31
QSO: 14036 CW 2019-11-24 0223 K9MK          599 4      ZL3X          599 32
QSO: 14037 CW 2019-11-24 0224 K9MK          599 4      KH6CJJ        599 31
QSO: 14047 CW 2019-11-24 0226 K9MK          599 4      WH7M          599 31
QSO: 14050 CW 2019-11-24 0228 K9MK          599 4      NH6N          599 31
QSO: 14001 CW 2019-11-24 0232 K9MK          599 4      KH7B          599 31
QSO:  7031 CW 2019-11-24 0233 K9MK          599 4      LZ9W          599 20
QSO:  7046 CW 2019-11-24 0234 K9MK          599 4      FM5KC         599 08
QSO:  7094 CW 2019-11-24 0236 K9MK          599 4      YN2CC         599 07
QSO:  7074 CW 2019-11-24 0237 K9MK          599 4      D4C           599 35
QSO:  7018 CW 2019-11-24 0239 K9MK          599 4      VA7XU         599 03
QSO:  7010 CW 2019-11-24 0241 K9MK          599 4      4O3A          599 15
QSO:  7010 CW 2019-11-24 0242 K9MK          599 4      VE9CB         599 05
QSO:  7011 CW 2019-11-24 0244 K9MK          599 4      VE3JM         599 04
