START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: DJ7PRM
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: JO30NS
CLAIMED-SCORE: 23896
NAME: Harald
OPERATORS: DJ7PRM
CLUB: DARC F74
CREATED-BY: N1MM Logger+ 1.0.8014.0
SOAPBOX: If I don't get enought points this year, a friend of my local club might
SOAPBOX: win a QCX from me, if he learns cw and will have more points next year!
SOAPBOX: Tnx to all of you fer gd ears and patience!
QSO: 21000 CW 2019-11-23 1754 DJ7PRM        599 14     EF2X          599 14
QSO: 21000 CW 2019-11-23 1755 DJ7PRM        599 14     LZ9W          599 20
QSO: 21000 CW 2019-11-23 1757 DJ7PRM        599 14     9A4W          599 15
QSO: 21000 CW 2019-11-23 1800 DJ7PRM        599 14     IU8HEP        599 15
QSO: 14000 CW 2019-11-23 1847 DJ7PRM        599 14     P33W          599 20
QSO: 14000 CW 2019-11-23 1848 DJ7PRM        599 14     EA3IN         599 14
QSO: 14000 CW 2019-11-23 1921 DJ7PRM        599 14     YT3X          599 15
QSO: 14000 CW 2019-11-23 1932 DJ7PRM        599 14     HG8R          599 15
QSO: 14000 CW 2019-11-23 1945 DJ7PRM        599 14     HA8M          599 15
QSO: 14000 CW 2019-11-23 1952 DJ7PRM        599 14     HG0Y          599 15
QSO: 14000 CW 2019-11-23 1953 DJ7PRM        599 14     YU5R          599 15
QSO: 14000 CW 2019-11-23 1956 DJ7PRM        599 14     LZ4T          599 20
QSO: 14000 CW 2019-11-23 2003 DJ7PRM        599 14     EA3DU         599 14
QSO: 14000 CW 2019-11-23 2005 DJ7PRM        599 14     LZ9W          599 20
QSO: 14000 CW 2019-11-23 2008 DJ7PRM        599 14     9A1A          599 15
QSO:  7000 CW 2019-11-23 2048 DJ7PRM        599 14     YL2KO         599 15
QSO:  7001 CW 2019-11-23 2118 DJ7PRM        599 14     4O3A          599 15
QSO:  7005 CW 2019-11-23 2127 DJ7PRM        599 14     YU7U          599 15
QSO:  7007 CW 2019-11-23 2139 DJ7PRM        599 14     CR3DX         599 33
QSO:  7009 CW 2019-11-23 2145 DJ7PRM        599 14     9A7A          599 15
QSO:  7000 CW 2019-11-23 2152 DJ7PRM        599 14     TK0C          599 15
QSO:  7010 CW 2019-11-23 2153 DJ7PRM        599 14     E7DX          599 15
QSO:  7012 CW 2019-11-23 2158 DJ7PRM        599 14     YT5A          599 15
QSO:  7019 CW 2019-11-23 2208 DJ7PRM        599 14     OL5Y          599 15
QSO:  7019 CW 2019-11-23 2211 DJ7PRM        599 14     OK2D          599 15
QSO:  7020 CW 2019-11-23 2213 DJ7PRM        599 14     UW2M          599 16
QSO:  7022 CW 2019-11-23 2216 DJ7PRM        599 14     LZ5R          599 20
QSO:  7031 CW 2019-11-23 2223 DJ7PRM        599 14     LZ9W          599 20
QSO:  7032 CW 2019-11-23 2224 DJ7PRM        599 14     EF3A          599 14
QSO:  7032 CW 2019-11-23 2236 DJ7PRM        599 14     9A/AI6V       599 15
QSO:  7033 CW 2019-11-23 2238 DJ7PRM        599 14     HA3OU         599 15
QSO:  7035 CW 2019-11-23 2242 DJ7PRM        599 14     SP8R          599 15
QSO:  3531 CW 2019-11-23 2252 DJ7PRM        599 14     9A1A          599 15
