START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: OR6AT
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: JO10uw
CLAIMED-SCORE: 20336
NAME: Patrick Elyn
OPERATORS: ON6AT
CLUB:
CREATED-BY: N1MM Logger+ 1.0.8014.0
SOAPBOX: Due to family circumstances I could only participate for a
SOAPBOX: limited time.
SOAPBOX: Yaesu FT-950 100 W - Ant R8 + TH5DX
QSO: 21010 CW 2019-11-24 1114 OR6AT         599 14     R7AB          599 16
QSO: 21011 CW 2019-11-24 1115 OR6AT         599 14     4X2M          599 20
QSO: 21015 CW 2019-11-24 1116 OR6AT         599 14     ED5W          599 14
QSO: 21018 CW 2019-11-24 1120 OR6AT         599 14     UA4M          599 16
QSO: 21021 CW 2019-11-24 1123 OR6AT         599 14     VK6LW         599 29
QSO: 21028 CW 2019-11-24 1130 OR6AT         599 14     ED1R          599 14
QSO: 21035 CW 2019-11-24 1133 OR6AT         599 14     EA4ZK         599 14
QSO: 21036 CW 2019-11-24 1134 OR6AT         599 14     CN3A          599 33
QSO: 21039 CW 2019-11-24 1135 OR6AT         599 14     EA5GIE        599 14
QSO: 21040 CW 2019-11-24 1137 OR6AT         599 14     3B8M          599 39
QSO: 21044 CW 2019-11-24 1147 OR6AT         599 14     CR5E          599 14
QSO: 21046 CW 2019-11-24 1148 OR6AT         599 14     EF8R          599 33
QSO: 21048 CW 2019-11-24 1148 OR6AT         599 14     PJ4A          599 09
QSO: 21053 CW 2019-11-24 1257 OR6AT         599 14     8P5A          599 08
QSO: 21058 CW 2019-11-24 1259 OR6AT         599 14     TO1A          599 09
QSO: 21011 CW 2019-11-24 1316 OR6AT         599 14     HI3CC         599 08
