START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: M0BPQ
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 77644
NAME: Steve Bunting
OPERATORS: M0BPQ
CLUB: Gilwell Park Scouts
CREATED-BY: N1MM Logger+ 1.0.8018.0
SOAPBOX: I spent a little time on 15m on Saturday but my main objective was to
SOAPBOX: fill band slots on 160M. All my QSOs were S&P
QSO:  1812 CW 2019-11-23 0717 M0BPQ         599 14     S01WS         599 33
QSO:  1827 CW 2019-11-23 0720 M0BPQ         599 14     NP2J          599 08
QSO:  1822 CW 2019-11-23 0726 M0BPQ         599 14     OY9JD         599 14
QSO:  1847 CW 2019-11-23 0731 M0BPQ         599 14     K3LR          599 05
QSO:  1845 CW 2019-11-23 0731 M0BPQ         599 14     M6T           599 14
QSO:  1822 CW 2019-11-23 0736 M0BPQ         599 14     MI5I          599 14
QSO:  3501 CW 2019-11-23 0740 M0BPQ         599 14     F5PLC         599 14
QSO:  3501 CW 2019-11-23 0740 M0BPQ         599 14     K3LR          599 05
QSO:  3502 CW 2019-11-23 0741 M0BPQ         599 14     N5DX          599 04
QSO:  3503 CW 2019-11-23 0741 M0BPQ         599 14     W2FU          599 05
QSO:  3504 CW 2019-11-23 0742 M0BPQ         599 14     KC1XX         599 05
QSO:  3507 CW 2019-11-23 0742 M0BPQ         599 14     VA2UR         599 05
QSO:  3510 CW 2019-11-23 0743 M0BPQ         599 14     ZF9CW         599 08
QSO:  3538 CW 2019-11-23 0750 M0BPQ         599 14     PJ2T          599 09
QSO: 21033 CW 2019-11-23 0925 M0BPQ         599 14     VR2EH         599 24
QSO: 21040 CW 2019-11-23 0927 M0BPQ         599 14     XZ2D          599 26
QSO: 21035 CW 2019-11-23 0928 M0BPQ         599 14     PY0F          599 11
