START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: DL9FBF
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 460739
NAME: Kurt
OPERATORS: DL9FBF
CLUB: UKRAINIAN CONTEST CLUB
CREATED-BY: N1MM Logger+ 1.0.8014.0
SOAPBOX: K3 100wtts, 3 Bander, 40m Rotary Dipole and LW for 80/160
QSO: 14000 CW 2019-11-23 0938 DL9FBF        599 14     RK9AX         599 17
QSO: 14001 CW 2019-11-23 0939 DL9FBF        599 14     R2AA          599 16
QSO: 14002 CW 2019-11-23 0942 DL9FBF        599 14     OH5Z          599 15
QSO: 14002 CW 2019-11-23 0942 DL9FBF        599 14     LY2K          599 15
QSO: 14003 CW 2019-11-23 0943 DL9FBF        599 14     RL3BZ         599 16
QSO: 14007 CW 2019-11-23 0945 DL9FBF        599 14     A44A          599 21
QSO: 14008 CW 2019-11-23 0946 DL9FBF        599 14     UW2M          599 16
QSO: 14008 CW 2019-11-23 0947 DL9FBF        599 14     RA3W          599 16
QSO: 14010 CW 2019-11-23 0948 DL9FBF        599 14     Z35F          599 15
QSO: 14011 CW 2019-11-23 0949 DL9FBF        599 14     ER4A          599 16
QSO: 14012 CW 2019-11-23 0950 DL9FBF        599 14     RW0A          599 18
QSO: 14013 CW 2019-11-23 0952 DL9FBF        599 14     EF8R          599 33
QSO: 14014 CW 2019-11-23 0953 DL9FBF        599 14     ED5O          599 14
QSO: 14015 CW 2019-11-23 1000 DL9FBF        599 14     JT5DX         599 23
QSO: 14016 CW 2019-11-23 1001 DL9FBF        599 14     R9LY          599 17
QSO: 14017 CW 2019-11-23 1002 DL9FBF        599 14     SX2I          599 20
QSO: 14017 CW 2019-11-23 1002 DL9FBF        599 14     S50K          599 15
QSO: 14022 CW 2019-11-23 1004 DL9FBF        599 14     EW8W          599 16
QSO: 14023 CW 2019-11-23 1007 DL9FBF        599 14     SP8R          599 15
QSO: 14026 CW 2019-11-23 1012 DL9FBF        599 14     6V7A          599 35
QSO: 14030 CW 2019-11-23 1015 DL9FBF        599 14     TC0F          599 20
QSO: 14031 CW 2019-11-23 1015 DL9FBF        599 14     OM7M          599 15
QSO: 14031 CW 2019-11-23 1017 DL9FBF        599 14     9K2NO         599 21
QSO: 14032 CW 2019-11-23 1018 DL9FBF        599 14     UN0LM         599 17
QSO: 14033 CW 2019-11-23 1018 DL9FBF        599 14     CN3A          599 33
