START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: VU2VTI
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 4264
NAME: VISHNUMOORTHY S.G.
OPERATORS: VU2VTI
CLUB: VU CONTEST GROUP
CREATED-BY: N1MM Logger+ 1.0.8014.0
SOAPBOX: Dedicated to MARC member, Contester, DXer VU2PAI silent key recently.
QSO:  7007 CW 2019-11-23 1619 VU2VTI        599 22     HS0ZAR        599 26
QSO:  7023 CW 2019-11-23 1624 VU2VTI        599 22     SN3A          599 15
QSO:  7018 CW 2019-11-23 1630 VU2VTI        599 22     7A0D          599 28
QSO:  7014 CW 2019-11-23 1633 VU2VTI        599 22     R7AB          599 16
QSO:  7041 CW 2019-11-23 1635 VU2VTI        599 22     SO4M          599 15
QSO:  7036 CW 2019-11-23 1638 VU2VTI        599 22     RZ9W          599 16
QSO:  7031 CW 2019-11-23 1639 VU2VTI        599 22     SN5T          599 15
QSO: 14011 CW 2019-11-24 1316 VU2VTI        599 22     7A2A          599 28
QSO: 14028 CW 2019-11-24 1320 VU2VTI        599 22     RT6A          599 16
QSO: 14040 CW 2019-11-24 1321 VU2VTI        599 22     DR1A          599 14
QSO: 14042 CW 2019-11-24 1322 VU2VTI        599 22     R2AA          599 16
QSO: 14052 CW 2019-11-24 1328 VU2VTI        599 22     P33W          599 20
QSO: 14054 CW 2019-11-24 1329 VU2VTI        599 22     SN7Q          599 15
QSO: 14034 CW 2019-11-24 1333 VU2VTI        599 22     ZL3X          599 32
QSO: 14032 CW 2019-11-24 1334 VU2VTI        599 22     IR4X          599 15
QSO:  7015 CW 2019-11-24 1623 VU2VTI        599 22     OM7M          599 15
QSO:  7019 CW 2019-11-24 1628 VU2VTI        599 22     YL7X          599 15
QSO:  7008 CW 2019-11-24 1632 VU2VTI        599 22     HG6N          599 15
QSO:  7005 CW 2019-11-24 1636 VU2VTI        599 22     LZ5R          599 20
QSO:  7004 CW 2019-11-24 1638 VU2VTI        599 22     4O3A          599 15
QSO:  7005 CW 2019-11-24 1644 VU2VTI        599 22     EF8R          599 33
QSO:  7006 CW 2019-11-24 1647 VU2VTI        599 22     OL9Z          599 15
QSO:  7013 CW 2019-11-24 1651 VU2VTI        599 22     JE6RPM        599 25
QSO:  7017 CW 2019-11-24 1652 VU2VTI        599 22     LN8W          599 14
QSO:  7024 CW 2019-11-24 1654 VU2VTI        599 22     YT7KM         599 15
QSO:  7025 CW 2019-11-24 1655 VU2VTI        599 22     HG5A          599 15
QSO:  7023 CW 2019-11-24 1656 VU2VTI        599 22     OM0M          599 15
QSO:  7027 CW 2019-11-24 1658 VU2VTI        599 22     JA3YBK        599 25
QSO:  7047 CW 2019-11-24 1703 VU2VTI        599 22     SO9M          599 15
QSO:  7020 CW 2019-11-24 1711 VU2VTI        599 22     9A3XV         599 15
QSO:  7019 CW 2019-11-24 1712 VU2VTI        599 22     9A7A          599 15
QSO:  7005 CW 2019-11-24 1714 VU2VTI        599 22     EF8F          599 33
QSO:  7014 CW 2019-11-24 1736 VU2VTI        599 22     RT3F          599 16
QSO:  7022 CW 2019-11-24 1738 VU2VTI        599 22     EM2Q          599 16
QSO:  7028 CW 2019-11-24 1742 VU2VTI        599 22     7A2A          599 28
QSO:  7031 CW 2019-11-24 1743 VU2VTI        599 22     RT6A          599 16
QSO:  7047 CW 2019-11-24 1752 VU2VTI        599 22     A44A          599 21
QSO:  7043 CW 2019-11-24 1754 VU2VTI        599 22     HG7T          599 15
QSO:  7039 CW 2019-11-24 1805 VU2VTI        599 22     JR2GRX        599 25
QSO:  7027 CW 2019-11-24 1808 VU2VTI        599 22     P33W          599 20
END-OF-LOG:
